date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Friday, Apr 15",None,CIN,None,CHC,T,5,5,None,1-0,2, 0.5,None,None,None,None,None,None,+,None
"Saturday, Apr 16",None,CIN,None,CHC,L,7,10,None,1-1,3, 1.5,None,None,None,None,None,None,-,None
"Sunday, Apr 17",None,CIN,None,CHC,W,12,3,None,2-1,2, 1.0,None,None,None,None,None,None,+,None
"Monday, Apr 18",None,CIN,None,PIT,L,5,6,None,2-2,2, 2.0,None,None,None,None,None,None,-,None
"Tuesday, Apr 19",None,CIN,None,PIT,W,18,4,None,3-2,2, 1.5,None,None,None,None,None,None,+,None
"Wednesday, Apr 20",None,CIN,None,PIT,W,6,4,None,4-2,2, 1.0,None,None,None,None,None,None,++,None
"Thursday, Apr 21",None,CIN,@,PIT,L,4,5,None,4-3,2, 1.0,None,None,None,None,None,None,-,None
"Friday, Apr 22",None,CIN,@,PIT,W,10,4,None,5-3,2, 1.0,None,None,None,None,None,None,+,None
"Saturday, Apr 23",None,CIN,@,PIT,L,5,6,None,5-4,2, 2.0,None,None,None,None,None,None,-,None
"Sunday, Apr 24",None,CIN,None,PIT,W,6,5,None,6-4,2, 1.5,None,None,None,None,None,None,+,None
"Wednesday, Apr 27",None,CIN,@,CHC,L,2,5,None,6-5,3, 2.0,None,None,None,None,None,None,-,None
"Thursday, Apr 28",None,CIN,@,STL,L,2,6,None,6-6,4, 2.5,None,None,None,None,None,None,--,None
"Friday, Apr 29",None,CIN,@,STL,W,4,3,None,7-6,3, 2.5,None,None,None,None,None,None,+,None
"Saturday, Apr 30",None,CIN,@,STL,W,7,1,None,8-6,2, 2.5,None,None,None,None,None,None,++,None
"Sunday, May 1",None,CIN,@,STL,L,3,4,None,8-7,3, 3.0,None,None,None,None,None,None,-,None
"Monday, May 2",None,CIN,None,STL,W,8,5,None,9-7,2, 3.0,None,None,None,None,None,None,+,None
"Wednesday, May 4",None,CIN,None,STL,W,6,3,None,10-7,3, 2.5,None,None,None,None,None,None,++,None
"Thursday, May 5",None,CIN,None,STL,W,3,0,None,11-7,3, 2.5,None,None,None,None,None,None,+++,None
"Friday, May 6",None,CIN,None,STL,W,7,4,None,12-7,2, 2.0,None,None,None,None,None,None,++++,1904-05-03 (Wet grounds)
"Saturday, May 7",None,CIN,None,BRO,W,6,4,None,13-7,2, 2.0,None,None,None,None,None,None,+++++,None
"Sunday, May 8",None,CIN,None,BRO,W,4,1,None,14-7,2, 1.5,None,None,None,None,None,None,++++++,None
"Monday, May 9",None,CIN,None,BRO,W,3,2,None,15-7,2, 1.5,None,None,None,None,None,None,+++++++,None
"Tuesday, May 10",None,CIN,None,BRO,W,9,7,None,16-7,2, 0.5,None,None,None,None,None,None,++++++++,None
"Wednesday, May 11",None,CIN,None,NYG,L,10,14,None,16-8,2, 1.5,None,None,None,None,None,None,-,None
"Thursday, May 12",None,CIN,None,NYG,W,13,7,None,17-8,2, 0.5,None,None,None,None,None,None,+,None
"Saturday, May 14",None,CIN,None,NYG,L,0,3,None,17-9,2, 1.5,None,None,None,None,None,None,-,None
"Sunday, May 15",None,CIN,None,NYG,W,13,2,None,18-9,2, 0.5,None,None,None,None,None,None,+,None
"Monday, May 16",None,CIN,None,BSN,L,1,2,None,18-10,2, 0.5,None,None,None,None,None,None,-,None
"Friday, May 20",None,CIN,None,PHI,W,10,0,None,19-10,1, Tied,None,None,None,None,None,None,+,None
"Saturday, May 21",None,CIN,None,PHI,W,10,8,None,20-10,1,up 0.5,None,None,None,None,None,None,++,None
"Sunday, May 22",None,CIN,None,PHI,W,4,3,None,21-10,1,up 1.0,None,None,None,None,None,None,+++,None
"Monday, May 23",None,CIN,None,PHI,W,5,1,None,22-10,1,up 1.5,None,None,None,None,None,None,++++,None
"Thursday, May 26",None,CIN,@,PIT,W,9,1,None,23-10,1,up 1.5,None,None,None,None,None,None,+++++,None
"Friday, May 27",None,CIN,@,PIT,L,0,2,None,23-11,1,up 0.5,None,None,None,None,None,None,-,None
"Saturday, May 28",None,CIN,@,PIT,W,9,4,None,24-11,1,up 0.5,None,None,None,None,None,None,+,None
"Sunday, May 29",None,CIN,None,STL,W,2,1,None,25-11,1,up 0.5,None,None,None,None,None,None,++,None
"Monday, May 30",None,CIN,None,CHC,W,7,4,None,26-11,1,up 0.5,None,None,None,None,None,None,+++,None
"Monday, May 30",None,CIN,None,CHC,L,2,5,None,26-12,1,up 0.5,None,None,None,None,None,None,-,None
"Thursday, Jun 2",None,CIN,@,NYG,L,1,2,None,26-13,2, 1.0,None,None,None,None,None,None,--,None
"Friday, Jun 3",None,CIN,@,NYG,W,3,2,None,27-13,1, Tied,None,None,None,None,None,None,+,None
"Saturday, Jun 4",None,CIN,@,NYG,T,2,2,None,27-13,2, 0.5,None,None,None,None,None,None,+,None
"Monday, Jun 6",None,CIN,@,BSN,W,9,7,None,28-13,1, Tied,None,None,None,None,None,None,++,None
"Tuesday, Jun 7",None,CIN,@,BSN,L,0,2,None,28-14,2, 0.5,None,None,None,None,None,None,-,None
"Wednesday, Jun 8",None,CIN,@,BSN,L,5,6,None,28-15,3, 1.0,None,None,None,None,None,None,--,None
