date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 11",boxscore,CLE,None,CAL,L,5,7,None,1-1,4, 1.0,Locke,Tiant,Rojas,3:34,D,"29,241",-,None
"Saturday, Apr 13",boxscore,CLE,None,BOS,L,1,3,None,1-2,7, 2.0,Waslewski,Hargan,Stange,2:29,D,"6,816",--,None
"Sunday, Apr 14",boxscore,CLE,None,BOS,W,7,4,None,2-2,4, 2.0,Siebert,Stephenson,Fisher,2:43,D,"6,025",+,None
"Tuesday, Apr 16",boxscore,CLE,None,CHW,W,3,1,None,3-2,3, 2.0,Tiant,Horlen,None,2:41,D,"5,108",++,None
"Wednesday, Apr 17",boxscore,CLE,@,DET,L-wo,3,4,10,3-3,4, 3.0,Warden,Fisher,None,3:09,D,"9,970",-,None
"Thursday, Apr 18",boxscore,CLE,@,DET,L,0,5,None,3-4,6, 3.0,Sparma,Hargan,None,2:38,D,"9,753",--,None
"Friday, Apr 19",boxscore,CLE,@,BOS,L,2,9,None,3-5,8, 3.5,Waslewski,Siebert,None,3:15,D,"34,863",---,None
"Saturday, Apr 20",boxscore,CLE,@,BOS,L,2,3,None,3-6,8, 4.5,Stephenson,Tiant,None,2:36,D,"28,955",----,None
"Sunday, Apr 21",boxscore,CLE,@,BOS,W,7,0,None,4-6,7, 5.0,McDowell,Culp,None,3:31,D,"19,814",+,None
"Wednesday, Apr 24",boxscore,CLE,None,DET,W,2,0,None,5-6,7, 4.0,Hargan,Sparma,None,2:16,N,"4,636",++,None
"Friday, Apr 26",boxscore,CLE,@,WSA,L-wo,4,5,14,5-7,7, 4.0,Higgins,Gramly,None,4:25,N,"10,922",-,None
"Saturday, Apr 27",boxscore,CLE,@,WSA,L,1,2,8,5-8,8, 5.0,Pascual,McDowell,Baldwin,2:12,D,"2,284",--,None
"Sunday, Apr 28",boxscore,CLE,@,WSA,L,0,1,None,5-9,8, 5.0,Ortega,Williams,None,2:22,D,None,---,None
"Sunday, Apr 28",boxscore,CLE,@,WSA,W,2,0,None,6-9,8, 5.0,Tiant,Moore,None,2:12,D,"23,739",+,None
"Monday, Apr 29",boxscore,CLE,None,CAL,L,2,3,None,6-10,9, 6.0,McGlothlin,Hargan,Hamilton,2:48,N,"4,430",-,None
"Tuesday, Apr 30",boxscore,CLE,None,CAL,L,3,5,None,6-11,9, 6.0,Brunet,Siebert,Wright,2:43,N,"3,638",--,None
"Wednesday, May 1",boxscore,CLE,None,OAK,W,3,1,None,7-11,9, 6.0,McDowell,Odom,None,2:11,N,"3,864",+,None
"Friday, May 3",boxscore,CLE,None,MIN,W,4,0,None,8-11,9, 5.0,Tiant,Perry,None,2:12,N,"5,106",++,None
"Saturday, May 4",boxscore,CLE,None,MIN,W,2,0,None,9-11,7, 5.0,Hargan,Boswell,None,2:30,D,"4,420",+++,None
"Sunday, May 5",boxscore,CLE,None,MIN,W,2,1,None,10-11,6, 5.0,Siebert,Worthington,Williams,2:43,D,"7,888",++++,None
"Monday, May 6",boxscore,CLE,@,NYY,W,3,2,None,11-11,5, 5.0,McDowell,Stottlemyre,None,2:34,N,"6,237",+++++,None
"Tuesday, May 7",boxscore,CLE,@,NYY,W,8,0,None,12-11,4, 4.0,Tiant,Bouton,None,2:44,N,"6,630",++++++,None
"Wednesday, May 8",boxscore,CLE,@,NYY,L-wo,1,2,None,12-12,5, 4.0,Verbanic,Fisher,None,2:30,D,"4,436",-,None
"Friday, May 10",boxscore,CLE,@,BAL,W,12,0,None,13-12,4, 3.5,Siebert,Hardin,None,2:40,N,"10,964",+,None
"Saturday, May 11",boxscore,CLE,@,BAL,W,4,3,None,14-12,3, 3.5,McDowell,Watt,None,2:53,D,"6,511",++,None
"Sunday, May 12",boxscore,CLE,@,BAL,W,2,0,None,15-12,2, 2.0,Tiant,Phoebus,None,2:36,D,None,+++,None
