date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Friday, Jun 1*boxscore*PHI*None*NYM*L*0*4*None*24-21*3* 4.0*Viola*Cook*None*2:35*N*34,457*-----*None
Saturday, Jun 2*boxscore*PHI*None*NYM*W*5*4*None*25-21*2* 4.0*Howell*Gooden*McDowell*2:48*N*41,950*+*None
Sunday, Jun 3*boxscore*PHI*None*NYM*W*8*3*None*26-21*2* 3.0*Combs*Fernandez*None*2:35*D*43,643*++*None
Monday, Jun 4*boxscore*PHI*@*STL*L-wo*2*3*11*26-22*3* 4.0*DiPino*Freeman*None*3:38*N*29,937*-*None
Tuesday, Jun 5*boxscore*PHI*@*STL*W*9*6*None*27-22*2* 4.0*Carman*Terry*None*3:09*N*26,522*+*None
Wednesday, Jun 6*boxscore*PHI*@*STL*L-wo*11*12*10*27-23*2* 5.0*DiPino*McDowell*None*4:08*N*28,319*-*None
Thursday, Jun 7*boxscore*PHI*@*CHC*W*3*1*None*28-23*2* 5.0*Howell*Bielecki*None*2:47*N*29,271*+*None
Friday, Jun 8*boxscore*PHI*@*CHC*L*2*15*None*28-24*3* 5.0*Pico*Mulholland*None*2:57*D*32,219*-*None
Saturday, Jun 9*boxscore*PHI*@*CHC*L-wo*3*4*11*28-25*3* 5.0*Lancaster*Parrett*None*3:15*D*33,266*--*None
Sunday, Jun 10*boxscore*PHI*@*CHC*L*3*7*None*28-26*3* 5.0*Wilson*Ruffin*Lancaster*2:29*D*32,187*---*None
Monday, Jun 11*boxscore*PHI*None*MON*L*0*5*None*28-27*3* 6.5*Gross*Cook*None*3:03*N*None*----*None
Monday, Jun 11*boxscore*PHI*None*MON*L*2*3*None*28-28*3* 6.5*Hall*Parrett*Schmidt*3:03*N*22,700*-----*1990-04-07 (Strike)
Tuesday, Jun 12*boxscore*PHI*None*MON*W*7*2*None*29-28*3* 6.5*Howell*Smith*None*2:20*N*19,169*+*None
Wednesday, Jun 13*boxscore*PHI*None*MON*L*3*4*10*29-29*4* 7.5*Schmidt*McDowell*Hall*3:24*N*18,655*-*None
