date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Jul 15",boxscore,SEA,@,CHW,W,4,3,None,45-47,3, 16.5,Hernandez,Swarzak,Diaz,3:26,N,"21,743",+++,None
"Sunday, Jul 16",boxscore,SEA,@,CHW,W,7,6,10,46-47,2, 16.5,Vincent,Beck,Diaz,3:22,D,"24,502",++++,None
"Monday, Jul 17",boxscore,SEA,@,HOU,W,9,7,10,47-47,2, 15.5,Gallardo,Sipp,Diaz,3:49,N,"24,701",+++++,None
"Tuesday, Jul 18",boxscore,SEA,@,HOU,L,2,6,None,47-48,2, 16.5,Peacock,Gaviglio,Gregerson,3:02,N,"27,111",-,None
"Wednesday, Jul 19",boxscore,SEA,@,HOU,W,4,1,None,48-48,2, 15.5,Paxton,Morton,Diaz,2:51,D,"35,191",+,None
"Thursday, Jul 20",boxscore,SEA,None,NYY,L,1,4,None,48-49,2, 16.0,Severino,Hernandez,None,3:14,N,"35,175",-,None
"Friday, Jul 21",boxscore,SEA,None,NYY,L,1,5,None,48-50,2, 17.0,Sabathia,Moore,None,2:50,N,"34,073",--,None
"Saturday, Jul 22",boxscore,SEA,None,NYY,W-wo,6,5,10,49-50,2, 17.0,Zych,Warren,None,3:28,N,"46,197",+,None
"Sunday, Jul 23",boxscore,SEA,None,NYY,L,4,6,None,49-51,2, 17.0,Green,Pazos,Chapman,3:13,D,"38,503",-,None
"Monday, Jul 24",boxscore,SEA,None,BOS,W,4,0,None,50-51,2, 17.0,Paxton,Rodriguez,None,2:40,N,"29,262",+,None
"Tuesday, Jul 25",boxscore,SEA,None,BOS,W-wo,6,5,13,51-51,2, 17.0,Zych,Fister,None,4:59,N,"28,992",++,None
"Wednesday, Jul 26",boxscore,SEA,None,BOS,L,0,4,None,51-52,2, 17.0,Sale,Moore,Kimbrel,2:53,D,"39,797",-,None
"Friday, Jul 28",boxscore,SEA,None,NYM,L,5,7,None,51-53,2, 18.0,Blevins,Phelps,Reed,3:21,N,"34,543",--,None
"Saturday, Jul 29",boxscore,SEA,None,NYM,W,3,2,None,52-53,2, 17.0,Gallardo,deGrom,Diaz,3:12,D,"33,519",+,None
"Sunday, Jul 30",boxscore,SEA,None,NYM,W,9,1,None,53-53,2, 16.0,Paxton,Lugo,None,2:55,D,"31,162",++,None
"Monday, Jul 31",boxscore,SEA,@,TEX,W,6,4,None,54-53,2, 16.0,Phelps,Claudio,Diaz,3:16,N,"22,294",+++,None
"Tuesday, Aug 1",boxscore,SEA,@,TEX,W,8,7,None,55-53,2, 15.0,Lawrence,Martinez,Diaz,3:30,N,"21,200",++++,None
"Wednesday, Aug 2",boxscore,SEA,@,TEX,L,1,5,None,55-54,2, 15.0,Cashner,Miranda,None,2:53,N,"23,041",-,None
