date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Apr 6",boxscore,NYM,@,FLA,W,12,3,None,1-1,1, Tied,Reed,Hernandez,Watson,2:54,N,"18,075",+,None
"Wednesday, Apr 7",boxscore,NYM,@,FLA,W,6,0,None,2-1,1, Tied,Jones,Sanchez,None,3:04,N,"13,845",++,None
"Thursday, Apr 8",boxscore,NYM,@,MON,L,1,5,None,2-2,2, 1.0,Batista,Hershiser,Urbina,2:52,N,"43,918",-,None
"Friday, Apr 9",boxscore,NYM,@,MON,W,10,3,None,3-2,1, Tied,Yoshii,Thurman,None,2:55,N,"12,386",+,None
"Saturday, Apr 10",boxscore,NYM,@,MON,W,4,3,11,4-2,1,up 1.0,Cook,Telford,Franco,3:23,D,"16,173",++,None
"Sunday, Apr 11",boxscore,NYM,@,MON,W,6,3,None,5-2,1,up 1.0,Watson,Pavano,Franco,3:10,D,"10,366",+++,None
"Monday, Apr 12",boxscore,NYM,None,FLA,W,8,1,None,6-2,1,up 1.0,Jones,Hernandez,None,2:32,D,"52,052",++++,None
"Wednesday, Apr 14",boxscore,NYM,None,FLA,W,4,1,None,7-2,1,up 1.0,Hershiser,Sanchez,Franco,2:45,N,"15,729",+++++,None
"Thursday, Apr 15",boxscore,NYM,None,FLA,L,4,11,None,7-3,1,up 0.5,Meadows,Yoshii,None,3:20,N,"14,165",-,None
"Friday, Apr 16",boxscore,NYM,None,MON,L,4,6,None,7-4,1, Tied,Hermanson,Leiter,Urbina,2:49,N,"17,900",--,None
"Saturday, Apr 17",boxscore,NYM,None,MON,W,3,2,None,8-4,1,up 1.0,Jones,Pavano,Franco,2:48,D,"34,784",+,None
"Sunday, Apr 18",boxscore,NYM,None,MON,L,2,4,None,8-5,1, Tied,Vazquez,Watson,Urbina,2:30,D,"26,020",-,None
"Tuesday, Apr 20",boxscore,NYM,@,CIN,W,3,2,None,9-5,1,up 0.5,Cook,Harnisch,Franco,2:40,N,"14,006",+,None
"Wednesday, Apr 21",boxscore,NYM,@,CIN,L,4,7,None,9-6,2, 0.5,Sullivan,Yoshii,Graves,2:27,N,"15,040",-,None
"Thursday, Apr 22",boxscore,NYM,@,CIN,W,4,1,None,10-6,1, Tied,Leiter,Tomko,Franco,3:00,N,"14,783",+,None
"Friday, Apr 23",boxscore,NYM,@,CHC,W,6,5,None,11-6,1,up 1.0,Cook,Beck,Franco,3:21,D,"20,828",++,None
"Saturday, Apr 24",boxscore,NYM,@,CHC,L,0,2,None,11-7,1, Tied,Mulholland,Watson,Beck,2:34,D,"38,516",-,None
"Sunday, Apr 25",boxscore,NYM,@,CHC,L,4,8,None,11-8,2, 1.0,Myers,Hershiser,None,3:00,D,"39,265",--,None
"Tuesday, Apr 27",boxscore,NYM,None,SDP,L,2,6,None,11-9,3, 1.5,Ashby,Yoshii,None,3:13,N,"25,113",---,None
"Wednesday, Apr 28",boxscore,NYM,None,SDP,W-wo,4,3,None,12-9,2, 1.5,Wendell,Hoffman,None,3:07,N,"22,581",+,None
"Thursday, Apr 29",boxscore,NYM,None,SDP,W,8,5,None,13-9,2, 1.5,Cook,Boehringer,Franco,2:56,D,"18,442",++,None
"Friday, Apr 30",boxscore,NYM,None,SFG,W,7,2,None,14-9,2, 1.5,Watson,Estes,Wendell,3:21,N,"32,427",+++,None
"Saturday, May 1",boxscore,NYM,None,SFG,W,9,4,None,15-9,2, 1.5,Hershiser,Brock,None,2:57,D,"33,825",++++,None
"Sunday, May 2",boxscore,NYM,None,SFG,W,2,0,None,16-9,2, 1.5,Cook,Johnstone,Franco,2:33,D,"37,431",+++++,None
"Monday, May 3",boxscore,NYM,None,HOU,W,5,3,None,17-9,2, 1.5,Reed,Holt,Franco,2:39,N,"14,878",++++++,None
"Tuesday, May 4",boxscore,NYM,None,HOU,L,1,6,None,17-10,2, 1.5,Hampton,Leiter,None,2:55,N,"27,192",-,None
"Wednesday, May 5",boxscore,NYM,None,HOU,L,4,5,None,17-11,2, 2.5,Powell,Benitez,Wagner,3:02,N,"25,026",--,None
"Friday, May 7",boxscore,NYM,@,ARI,L,7,14,None,17-12,2, 2.5,Stottlemyre,Hershiser,None,3:11,N,"38,154",---,None
"Saturday, May 8",boxscore,NYM,@,ARI,W,4,2,None,18-12,2, 2.5,Yoshii,Benes,Benitez,2:42,D,"37,593",+,None
"Sunday, May 9",boxscore,NYM,@,ARI,L,6,11,None,18-13,2, 2.5,Daal,Reed,None,2:45,D,"38,250",-,None
"Monday, May 10",boxscore,NYM,@,COL,L,3,10,None,18-14,2, 2.5,Astacio,Leiter,None,2:51,N,"40,021",--,None
"Tuesday, May 11",boxscore,NYM,@,COL,L,5,8,None,18-15,3, 3.5,Jones,Jones,None,2:38,N,"40,032",---,None
"Wednesday, May 12",boxscore,NYM,@,COL,W,10,5,None,19-15,3, 2.5,Reed,Thomson,None,3:17,D,"41,011",+,None
"Friday, May 14",boxscore,NYM,@,PHI,W,7,3,None,20-15,2, 1.5,Yoshii,Ogea,None,2:55,N,"21,074",++,None
"Saturday, May 15",boxscore,NYM,@,PHI,W,9,7,None,21-15,2, 0.5,Mahomes,Ryan,Franco,3:53,N,"27,039",+++,None
"Sunday, May 16",boxscore,NYM,@,PHI,L,2,5,None,21-16,2, 1.5,Byrd,Hershiser,Brantley,3:03,D,"28,422",-,None
"Monday, May 17",boxscore,NYM,None,MIL,L,6,7,None,21-17,3, 2.5,Karl,Jones,Wickman,3:51,N,"16,326",--,None
"Tuesday, May 18",boxscore,NYM,None,MIL,L,2,4,None,21-18,3, 3.5,Weathers,Cook,Wickman,3:18,N,"26,411",---,None
"Thursday, May 20",boxscore,NYM,None,MIL,W,11,10,None,22-18,2, 2.5,Leiter,Abbott,Franco,3:29,D,None,+,None
"Thursday, May 20",boxscore,NYM,None,MIL,W,10,1,None,23-18,2, 2.5,Yoshii,Woodard,None,2:55,N,"19,542",++,1999-05-19 (Rain)
"Friday, May 21",boxscore,NYM,None,PHI,W,7,5,None,24-18,2, 1.5,Hershiser,Loewer,Franco,2:55,N,"24,554",+++,None
"Saturday, May 22",boxscore,NYM,None,PHI,L,3,9,None,24-19,2, 2.5,Byrd,Jones,None,3:15,D,"34,575",-,None
"Sunday, May 23",boxscore,NYM,None,PHI,W-wo,5,4,None,25-19,2, 1.5,Beltran,Schilling,None,2:48,D,"34,950",+,None
"Monday, May 24",boxscore,NYM,@,PIT,L,4,7,None,25-20,2, 1.5,Silva,Isringhausen,Williams,3:12,N,"11,880",-,None
