date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Monday, Jul 23",boxscore,ATL,None,CIN,L,4,5,None,56-43,1,up 2.0,Sullivan,Remlinger,Graves,3:00,N,"37,052",-,None
"Tuesday, Jul 24",boxscore,ATL,None,CIN,L,3,11,None,56-44,1,up 1.0,Brower,Burkett,None,2:47,N,"34,955",--,None
"Wednesday, Jul 25",boxscore,ATL,None,CIN,W,11,3,None,57-44,1,up 1.0,Millwood,Acevedo,None,3:03,D,"37,015",+,None
"Thursday, Jul 26",boxscore,ATL,@,MON,L-wo,2,3,10,57-45,1, Tied,Urbina,Reed,None,3:06,N,"7,635",-,None
"Friday, Jul 27",boxscore,ATL,@,MON,W,7,3,None,58-45,1,up 1.0,Maddux,Mattes,None,2:22,N,"8,299",+,None
"Saturday, Jul 28",boxscore,ATL,@,MON,W,10,5,None,59-45,1,up 2.0,Glavine,Vazquez,None,2:46,N,"9,390",++,None
"Sunday, Jul 29",boxscore,ATL,@,MON,W,8,1,None,60-45,1,up 3.0,Burkett,Armas,None,2:50,D,"9,802",+++,None
"Tuesday, Jul 31",boxscore,ATL,@,STL,L,2,6,None,60-46,1,up 3.0,Hermanson,Reed,None,2:50,N,"39,012",-,None
"Wednesday, Aug 1",boxscore,ATL,@,STL,L,0,4,None,60-47,1,up 2.0,Kile,Maddux,None,2:31,N,"37,633",--,None
"Thursday, Aug 2",boxscore,ATL,@,STL,W,2,1,None,61-47,1,up 2.0,Glavine,Smith,Karsay,2:32,N,"38,394",+,None
"Friday, Aug 3",boxscore,ATL,@,MIL,L-wo,2,3,11,61-48,1,up 2.0,Painter,Cabrera,None,3:41,N,"42,259",-,None
"Saturday, Aug 4",boxscore,ATL,@,MIL,W,14,2,None,62-48,1,up 2.0,Burkett,Quevedo,None,2:57,D,"42,646",+,None
"Sunday, Aug 5",boxscore,ATL,@,MIL,W,12,8,None,63-48,1,up 3.0,Cabrera,Sheets,None,3:14,D,"42,263",++,None
"Tuesday, Aug 7",boxscore,ATL,None,HOU,W,6,5,None,64-48,1,up 3.0,Maddux,Cruz,Karsay,2:44,N,"35,648",+++,None
"Wednesday, Aug 8",boxscore,ATL,None,HOU,L,1,2,12,64-49,1,up 2.0,Jackson,Cabrera,Wagner,3:34,N,"31,201",-,None
"Thursday, Aug 9",boxscore,ATL,None,HOU,L,5,6,None,64-50,1,up 2.0,Dotel,Ligtenberg,None,3:04,N,"30,499",--,None
"Friday, Aug 10",boxscore,ATL,None,ARI,L,0,7,None,64-51,1,up 1.0,Schilling,Millwood,None,2:47,N,"40,101",---,None
"Saturday, Aug 11",boxscore,ATL,None,ARI,L,1,3,None,64-52,1, Tied,Batista,Marquis,Kim,3:04,D,"48,367",----,None
"Sunday, Aug 12",boxscore,ATL,None,ARI,L,1,9,None,64-53,2, 1.0,Lopez,Maddux,None,2:40,D,"34,702",-----,None
"Tuesday, Aug 14",boxscore,ATL,@,COL,L-wo,4,5,10,64-54,2, 2.0,Jimenez,Karsay,None,3:25,N,"40,677",------,None
"Wednesday, Aug 15",boxscore,ATL,@,COL,W,7,2,None,65-54,2, 2.0,Burkett,Hampton,None,2:40,N,"37,962",+,None
"Thursday, Aug 16",boxscore,ATL,@,COL,W,4,1,None,66-54,2, 1.0,Millwood,Chacon,Karsay,2:31,N,"37,086",++,None
"Friday, Aug 17",boxscore,ATL,@,SFG,W,2,1,None,67-54,1, Tied,Maddux,Hernandez,Smoltz,2:36,N,"41,718",+++,None
"Saturday, Aug 18",boxscore,ATL,@,SFG,W,3,1,None,68-54,1,up 1.0,Marquis,Rueter,Karsay,2:39,D,"41,722",++++,None
"Sunday, Aug 19",boxscore,ATL,@,SFG,L,1,4,None,68-55,1,up 1.0,Schmidt,Glavine,Nen,2:55,N,"41,527",-,None
"Tuesday, Aug 21",boxscore,ATL,None,SDP,L,1,3,10,68-56,1,up 1.0,Nunez,Karsay,Hoffman,3:16,N,"26,756",--,None
"Wednesday, Aug 22",boxscore,ATL,None,SDP,W,6,3,None,69-56,1,up 1.0,Maddux,Tollberg,Remlinger,2:19,N,"22,787",+,None
"Thursday, Aug 23",boxscore,ATL,None,SDP,W,3,2,None,70-56,1,up 2.0,Millwood,Lawrence,Smoltz,2:43,N,"26,043",++,None
