date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Sunday, May 27*boxscore*CHC*None*HOU*W*11*6*None*20-24*5* 6.5*Bielecki*Portugal*None*3:01*D*36,395*+*None
Monday, May 28*boxscore*CHC*None*SFG*W*5*1*None*21-24*5* 6.5*Harkey*Knepper*Lancaster*3:00*D*33,822*++*None
Tuesday, May 29*boxscore*CHC*None*SFG*L*2*6*None*21-25*5* 7.5*Robinson*Blankenship*Brantley*2:54*N*28,925*-*None
Wednesday, May 30*boxscore*CHC*None*SFG*L*1*4*None*21-26*5* 8.5*Burkett*Boskie*Bedrosian*2:18*D*29,109*--*None
Friday, Jun 1*boxscore*CHC*@*STL*L*4*6*None*21-27*5* 8.5*DeLeon*Maddux*Smith*2:49*N*43,773*---*None
Saturday, Jun 2*boxscore*CHC*@*STL*W*7*6*None*22-27*5* 8.5*Lancaster*Smith*Williams*3:25*N*48,051*+*None
Sunday, Jun 3*boxscore*CHC*@*STL*L*4*7*None*22-28*5* 8.5*Smith*Blankenship*None*2:42*D*45,393*-*None
Monday, Jun 4*boxscore*CHC*@*PIT*L*2*6*None*22-29*6* 9.5*Patterson*Boskie*Landrum*2:49*N*9,257*--*None
Tuesday, Jun 5*boxscore*CHC*@*PIT*L-wo*5*6*None*22-30*6* 10.5*Belinda*Williams*None*2:48*N*20,642*---*None
Wednesday, Jun 6*boxscore*CHC*@*PIT*L*1*6*7*22-31*6* 11.5*Drabek*Maddux*None*1:56*N*21,164*----*None
Thursday, Jun 7*boxscore*CHC*None*PHI*L*1*3*None*22-32*6* 12.5*Howell*Bielecki*None*2:47*N*29,271*-----*None
Friday, Jun 8*boxscore*CHC*None*PHI*W*15*2*None*23-32*6* 11.5*Pico*Mulholland*None*2:57*D*32,219*+*None
Saturday, Jun 9*boxscore*CHC*None*PHI*W-wo*4*3*11*24-32*5* 10.5*Lancaster*Parrett*None*3:15*D*33,266*++*None
Sunday, Jun 10*boxscore*CHC*None*PHI*W*7*3*None*25-32*5* 9.5*Wilson*Ruffin*Lancaster*2:29*D*32,187*+++*None
Monday, Jun 11*boxscore*CHC*None*NYM*W*8*5*None*26-32*5* 9.5*Williams*Pena*Assenmacher*2:27*N*33,059*++++*None
Tuesday, Jun 12*boxscore*CHC*None*NYM*L*8*19*None*26-33*5* 10.5*Gooden*Bielecki*None*3:12*D*34,893*-*None
Wednesday, Jun 13*boxscore*CHC*None*NYM*L*10*15*None*26-34*5* 12.0*Franco*Lancaster*None*3:20*D*None*--*None
Wednesday, Jun 13*boxscore*CHC*None*NYM*L*6*9*None*26-35*5* 12.0*Darling*Harkey*None*3:08*D*34,241*---*1990-04-07 (Strike)
Friday, Jun 15*boxscore*CHC*@*PHI*L-wo*5*6*10*26-36*5* 12.5*Akerfelds*Nunez*None*3:02*N*None*----*None
Friday, Jun 15*boxscore*CHC*@*PHI*L*0*7*None*26-37*5* 12.5*Ruffin*Bielecki*None*2:11*N*26,098*-----*1990-06-14 (Rain)
Saturday, Jun 16*boxscore*CHC*@*PHI*L*1*2*None*26-38*6* 13.5*Akerfelds*Maddux*None*2:37*N*32,023*------*None
Sunday, Jun 17*boxscore*CHC*@*PHI*W*5*3*None*27-38*6* 12.5*Pico*Parrett*Lancaster*2:42*N*30,338*+*None
Monday, Jun 18*boxscore*CHC*@*MON*L*1*5*None*27-39*6* 13.0*Martinez*Harkey*None*2:35*N*15,898*-*None
Tuesday, Jun 19*boxscore*CHC*@*MON*W*2*1*None*28-39*5* 12.0*Boskie*Gardner*Lancaster*2:41*N*20,306*+*None
Wednesday, Jun 20*boxscore*CHC*@*MON*L*2*3*None*28-40*5* 12.0*Mohorcic*Maddux*Schmidt*2:31*N*22,058*-*None
Friday, Jun 22*boxscore*CHC*None*STL*L*0*7*None*28-41*6* 12.0*Magrane*Wilson*None*2:57*D*30,764*--*None
Saturday, Jun 23*boxscore*CHC*None*STL*L*7*8*None*28-42*6* 12.5*Tewksbury*Bielecki*Smith*2:50*D*33,721*---*None
Sunday, Jun 24*boxscore*CHC*None*STL*W-wo*3*2*10*29-42*6* 12.0*Assenmacher*Niedenfuer*None*3:12*D*34,229*+*None
Monday, Jun 25*boxscore*CHC*None*MON*L*3*7*None*29-43*6* 13.0*Gardner*Boskie*Sampen*2:56*N*32,231*-*None
Tuesday, Jun 26*boxscore*CHC*None*MON*L*5*6*None*29-44*6* 14.0*Schmidt*Lancaster*Frey*2:51*D*31,676*--*None
Wednesday, Jun 27*boxscore*CHC*None*MON*W*5*3*None*30-44*5* 14.0*Pico*Gross*Wilson*2:48*D*32,830*+*None
Thursday, Jun 28*boxscore*CHC*None*MON*W-wo*3*2*None*31-44*5* 13.0*Lancaster*Sampen*None*2:40*D*31,974*++*None
Friday, Jun 29*boxscore*CHC*@*SDP*W*3*2*None*32-44*5* 12.0*Long*Harris*Assenmacher*2:38*N*43,005*+++*None
Saturday, Jun 30*boxscore*CHC*@*SDP*W*7*3*None*33-44*5* 12.0*Wilson*Benes*None*3:07*N*31,852*++++*None
Sunday, Jul 1*boxscore*CHC*@*SDP*W*11*10*None*34-44*5* 12.0*Lancaster*Lefferts*Long*3:08*D*30,968*+++++*None
Monday, Jul 2*boxscore*CHC*@*LAD*L*1*3*None*34-45*5* 13.0*Belcher*Pico*None*2:08*N*32,600*-*None
Tuesday, Jul 3*boxscore*CHC*@*LAD*L-wo*6*7*None*34-46*5* 14.0*Hartley*Assenmacher*None*3:04*N*40,235*--*None
Wednesday, Jul 4*boxscore*CHC*@*LAD*W*5*3*None*35-46*5* 13.0*Harkey*Valenzuela*Lancaster*2:49*N*46,811*+*None
Friday, Jul 6*boxscore*CHC*@*SFG*W*5*2*None*36-46*5* 13.5*Boskie*Garrelts*Long*2:58*N*28,517*++*None
Saturday, Jul 7*boxscore*CHC*@*SFG*L-wo*9*10*None*36-47*5* 13.5*Brantley*Lancaster*None*3:31*D*36,005*-*None
Sunday, Jul 8*boxscore*CHC*@*SFG*L*3*5*None*36-48*5* 15.0*Wilson*Pico*Brantley*2:45*D*None*--*None
Sunday, Jul 8*boxscore*CHC*@*SFG*L*4*10*None*36-49*5* 15.0*Burkett*Bielecki*None*2:28*N*45,669*---*None
Thursday, Jul 12*boxscore*CHC*None*LAD*L*3*6*None*36-50*5* 16.0*Valenzuela*Harkey*Howell*2:52*N*31,518*----*None
Friday, Jul 13*boxscore*CHC*None*LAD*L*2*5*None*36-51*5* 17.0*Martinez*Boskie*Howell*2:55*D*31,438*-----*None
Saturday, Jul 14*boxscore*CHC*None*LAD*L*0*7*None*36-52*6* 18.0*Morgan*Maddux*None*2:07*D*31,919*------*None
Sunday, Jul 15*boxscore*CHC*None*LAD*W*5*1*None*37-52*5* 17.0*Wilson*Belcher*None*2:31*D*29,266*+*None
Monday, Jul 16*boxscore*CHC*None*SDP*W*4*3*None*38-52*5* 16.0*Harkey*Show*Williams*2:39*N*31,523*++*None
Tuesday, Jul 17*boxscore*CHC*None*SDP*W*7*2*None*39-52*5* 15.0*Boskie*Benes*None*2:33*D*32,923*+++*None
Wednesday, Jul 18*boxscore*CHC*None*SDP*W*4*2*None*40-52*5* 15.0*Maddux*Rasmussen*Pico*2:24*D*33,856*++++*None
Friday, Jul 20*boxscore*CHC*None*SFG*W-wo*5*4*None*41-52*5* 15.0*Bielecki*Brantley*None*3:02*D*30,532*+++++*None
Saturday, Jul 21*boxscore*CHC*None*SFG*W*3*2*None*42-52*5* 14.0*Harkey*Brantley*None*2:31*D*34,463*++++++*None
Sunday, Jul 22*boxscore*CHC*None*SFG*W*4*2*None*43-52*5* 14.0*Assenmacher*Hammaker*Pico*2:30*D*33,708*+++++++*None
Monday, Jul 23*boxscore*CHC*@*STL*W*3*1*None*44-52*5* 13.0*Maddux*DeLeon*Williams*2:28*N*40,534*++++++++*None
Tuesday, Jul 24*boxscore*CHC*@*STL*L*4*9*None*44-53*5* 14.0*Terry*Wilson*None*2:50*N*38,974*-*None
Wednesday, Jul 25*boxscore*CHC*@*STL*L*0*9*None*44-54*5* 14.0*Tudor*Harkey*None*2:28*N*37,826*--*None
Thursday, Jul 26*boxscore*CHC*@*MON*L-wo*2*3*10*44-55*5* 14.0*Burke*Williams*None*2:43*N*19,129*---*None
Friday, Jul 27*boxscore*CHC*@*MON*W*2*0*10*45-55*5* 14.0*Maddux*Sampen*Long*2:24*N*21,980*+*None
Saturday, Jul 28*boxscore*CHC*@*MON*W*10*7*None*46-55*5* 13.0*Long*Burke*None*3:18*N*24,808*++*None
Sunday, Jul 29*boxscore*CHC*@*MON*W*2*1*None*47-55*5* 13.0*Harkey*Gross*Williams*2:33*D*24,333*+++*None
Tuesday, Jul 31*boxscore*CHC*None*PIT*L*1*9*None*47-56*5* 13.0*Patterson*Boskie*None*2:37*N*35,126*-*None
Wednesday, Aug 1*boxscore*CHC*None*PIT*W*5*0*None*48-56*5* 13.0*Maddux*Reed*None*2:20*D*34,542*+*None
Thursday, Aug 2*boxscore*CHC*None*PIT*L*5*8*None*48-57*5* 14.0*Smiley*Wilson*Walk*2:47*D*34,493*-*None
Friday, Aug 3*boxscore*CHC*None*MON*W*10*4*None*49-57*5* 14.0*Harkey*Gardner*None*2:42*D*33,318*+*None
Saturday, Aug 4*boxscore*CHC*None*MON*W*10*2*None*50-57*5* 13.0*Boskie*Gross*None*2:55*N*35,176*++*None
Sunday, Aug 5*boxscore*CHC*None*MON*W*3*1*None*51-57*5* 12.0*Maddux*Boyd*None*2:18*D*33,481*+++*None
Tuesday, Aug 7*boxscore*CHC*None*STL*W*5*3*None*52-57*5* 13.0*Assenmacher*Terry*Williams*2:20*N*34,271*++++*None
Wednesday, Aug 8*boxscore*CHC*None*STL*W-wo*4*3*15*53-57*4* 12.0*Long*Niedenfuer*None*4:52*D*34,977*+++++*None
Thursday, Aug 9*boxscore*CHC*None*STL*L*1*3*None*53-58*4* 12.0*Hill*Dickson*Smith*2:34*D*36,328*-*None
Friday, Aug 10*boxscore*CHC*@*NYM*L*1*5*None*53-59*4* 12.5*Fernandez*Maddux*None*2:33*N*34,090*--*None
Saturday, Aug 11*boxscore*CHC*@*NYM*W*6*3*None*54-59*4* 11.5*Wilson*Darling*Assenmacher*2:57*N*45,710*+*None
Sunday, Aug 12*boxscore*CHC*@*NYM*W*10*2*None*55-59*4* 10.5*Harkey*Viola*None*2:34*D*46,538*++*None
Monday, Aug 13*boxscore*CHC*None*HOU*L*2*7*None*55-60*4* 11.0*Portugal*Dickson*None*2:30*N*34,087*-*None
Tuesday, Aug 14*boxscore*CHC*None*HOU*W*5*2*None*56-60*4* 11.0*Maddux*Scott*Long*2:31*D*34,843*+*None
Wednesday, Aug 15*boxscore*CHC*None*HOU*L*4*8*10*56-61*4* 11.0*Smith*Pico*None*3:12*D*34,307*-*None
Friday, Aug 17*boxscore*CHC*None*ATL*W*7*0*None*57-61*4* 12.0*Harkey*Smoltz*None*2:02*D*29,893*+*None
Saturday, Aug 18*boxscore*CHC*None*ATL*L*6*17*None*57-62*4* 13.0*Leibrandt*Dickson*None*3:30*D*36,226*-*None
Sunday, Aug 19*boxscore*CHC*None*ATL*W*5*4*None*58-62*4* 13.0*Maddux*Mercker*Assenmacher*2:25*D*33,284*+*None
Monday, Aug 20*boxscore*CHC*@*CIN*W*3*1*9*59-62*4* 13.0*Bielecki*Charlton*Long*2:13*N*26,011*++*None
Tuesday, Aug 21*boxscore*CHC*@*CIN*L*1*8*None*59-63*4* 13.0*Mahler*Harkey*None*2:42*N*22,759*-*None
Wednesday, Aug 22*boxscore*CHC*@*CIN*L*1*4*None*59-64*4* 14.0*Rijo*Pico*None*1:57*N*28,707*--*None
Friday, Aug 24*boxscore*CHC*@*ATL*L*0*3*None*59-65*4* 14.5*Avery*Maddux*None*2:14*N*20,922*---*None
Saturday, Aug 25*boxscore*CHC*@*ATL*W*6*3*None*60-65*4* 13.5*Bielecki*Glavine*Assenmacher*2:52*N*29,359*+*None
Sunday, Aug 26*boxscore*CHC*@*ATL*L-wo*3*4*None*60-66*4* 13.5*Smoltz*Williams*None*2:53*D*14,178*-*None
Tuesday, Aug 28*boxscore*CHC*@*HOU*W*5*2*None*61-66*4* 12.5*Maddux*Gullickson*None*2:27*N*12,150*+*None
Wednesday, Aug 29*boxscore*CHC*@*HOU*L*0*1*None*61-67*4* 13.5*Portugal*Sutcliffe*Andersen*2:36*N*11,211*-*None
Thursday, Aug 30*boxscore*CHC*None*CIN*L*5*6*None*61-68*4* 14.0*Jackson*Bielecki*Myers*3:11*N*30,778*--*None
Friday, Aug 31*boxscore*CHC*None*CIN*W-wo*4*3*None*62-68*4* 13.0*Long*Myers*None*2:25*D*31,042*+*None
Saturday, Sep 1*boxscore*CHC*None*CIN*L*1*8*None*62-69*4* 13.5*Mahler*Nunez*None*2:17*D*34,388*-*None
Sunday, Sep 2*boxscore*CHC*None*CIN*L*2*6*None*62-70*4* 14.5*Rijo*Maddux*None*2:32*D*35,043*--*None
Monday, Sep 3*boxscore*CHC*@*MON*L-wo*2*3*12*62-71*4* 15.5*Frey*Kramer*None*3:31*D*22,629*---*None
Tuesday, Sep 4*boxscore*CHC*@*MON*W*3*1*None*63-71*4* 15.0*Bielecki*Martinez*Assenmacher*2:48*N*10,605*+*None
Wednesday, Sep 5*boxscore*CHC*@*PHI*L*1*4*None*63-72*4* 16.5*Mulholland*Wilson*McDowell*2:18*N*16,177*-*None
Thursday, Sep 6*boxscore*CHC*@*PHI*W*5*2*None*64-72*4* 16.5*Nunez*Grimsley*Williams*2:37*N*13,849*+*None
Friday, Sep 7*boxscore*CHC*None*STL*L*3*4*None*64-73*4* 16.5*Tewksbury*Maddux*Smith*2:18*D*23,353*-*None
Saturday, Sep 8*boxscore*CHC*None*STL*W*5*4*None*65-73*4* 16.5*Pavlas*Dayley*Assenmacher*2:44*D*32,039*+*None
Sunday, Sep 9*boxscore*CHC*None*STL*L*2*9*None*65-74*4* 16.5*Tudor*Bielecki*None*2:48*N*27,362*-*None
Monday, Sep 10*boxscore*CHC*None*MON*L*4*7*None*65-75*4* 17.5*Nabholz*Long*Burke*3:00*N*26,774*--*None
Tuesday, Sep 11*boxscore*CHC*None*MON*W*11*6*None*66-75*4* 17.5*Pavlas*Gross*None*2:55*D*18,984*+*None
Wednesday, Sep 12*boxscore*CHC*None*PHI*W*9*3*None*67-75*4* 16.5*Maddux*de Jesus*None*2:32*D*16,258*++*None
