date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 20",boxscore,PIT,@,STL,L,3,5,None,0-2,7, 2.5,Munger,Rescigno,None,1:58,D,"2,272",--,None
"Friday, Apr 21",boxscore,PIT,None,CIN,L,2,4,None,0-3,7, 3.5,Beggs,Sewell,None,1:48,D,"10,877",---,None
"Wednesday, Apr 26",boxscore,PIT,None,CHC,W,6,1,None,1-3,6, 3.0,Roe,Fleming,None,1:46,D,"3,463",+,None
"Friday, Apr 28",boxscore,PIT,@,CIN,L,0,2,None,1-4,6, 4.0,Heusser,Butcher,None,1:34,D,"1,080",-,None
"Saturday, Apr 29",boxscore,PIT,@,CIN,W,7,3,None,2-4,6, 3.5,Sewell,Ferguson,None,2:04,D,"2,695",+,None
"Sunday, Apr 30",boxscore,PIT,@,CIN,W,7,1,None,3-4,6, 4.5,Strincevich,Riddle,None,1:45,D,None,++,None
"Sunday, Apr 30",boxscore,PIT,@,CIN,L,1,4,None,3-5,6, 4.5,Walters,Rescigno,None,1:34,D,"16,060",-,None
"Tuesday, May 2",boxscore,PIT,None,STL,W,3,1,None,4-5,6, 3.5,Roe,Jurisich,Cuccurullo,2:23,D,"4,895",+,None
"Wednesday, May 3",boxscore,PIT,None,STL,L,1,5,None,4-6,6, 4.5,Gumbert,Sewell,None,1:37,D,"5,007",-,None
"Thursday, May 4",boxscore,PIT,None,STL,W,6,3,None,5-6,6, 3.5,Butcher,Cooper,None,2:09,D,"3,877",+,None
"Sunday, May 7",boxscore,PIT,@,CHC,W,6,5,14,6-6,4, 3.0,Sewell,Derringer,None,3:03,D,None,++,None
"Sunday, May 7",boxscore,PIT,@,CHC,W,3,2,11,7-6,4, 3.0,Rescigno,Wyse,Butcher,2:14,D,"19,067",+++,None
"Wednesday, May 10",boxscore,PIT,None,BSN,W,4,2,None,8-6,4, 3.0,Strincevich,Barrett,Cuccurullo,2:03,N,"23,011",++++,None
"Thursday, May 11",boxscore,PIT,None,BSN,L,2,7,None,8-7,4, 3.0,Tobin,Butcher,None,2:09,D,"2,509",-,None
"Friday, May 12",boxscore,PIT,None,BSN,L,3,10,None,8-8,4, 4.0,Andrews,Roe,None,1:50,D,"2,302",--,None
"Saturday, May 13",boxscore,PIT,None,BSN,L,2,16,None,8-9,4, 5.0,Barrett,Rescigno,None,1:54,D,"4,037",---,None
"Sunday, May 14",boxscore,PIT,None,NYG,W-wo,1,0,10,9-9,4, 5.0,Sewell,Voiselle,None,None,None,None,+,None
"Sunday, May 14",boxscore,PIT,None,NYG,W,8,2,None,10-9,4, 5.0,Strincevich,Pyle,None,None,None,"23,771",++,None
"Monday, May 15",boxscore,PIT,None,NYG,L,7,8,None,10-10,4, 6.0,Adams,Cuccurullo,Polli,None,None,"1,699",-,None
"Wednesday, May 17",boxscore,PIT,None,BRO,W,8,5,6,11-10,4, 4.5,Roe,McLish,None,1:54,N,"18,748",+,None
"Thursday, May 18",boxscore,PIT,None,BRO,W-wo,4,3,None,12-10,4, 4.5,Butcher,Melton,None,2:25,D,"3,361",++,None
"Friday, May 19",boxscore,PIT,None,BRO,W,5,2,None,13-10,3, 3.5,Sewell,Webber,None,2:35,D,"2,520",+++,None
