date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Friday, Apr 13",None,CIN,None,CHC,L,1,5,None,0-2,7, 2.0,None,None,None,None,None,"2,000",--,None
"Saturday, Apr 14",None,CIN,None,CHC,W,1,0,None,1-2,5, 2.0,None,None,None,None,None,None,+,None
"Sunday, Apr 15",None,CIN,None,CHC,L,5,8,None,1-3,6, 3.0,None,None,None,None,None,None,-,None
"Monday, Apr 16",None,CIN,None,CHC,W,3,2,None,2-3,6, 2.5,None,None,None,None,None,None,+,1906-06-01 (Rain)
"Tuesday, Apr 17",None,CIN,@,PIT,L,2,3,None,2-4,7, 2.5,None,None,None,None,None,"17,036",-,None
"Wednesday, Apr 18",None,CIN,@,PIT,W,7,4,None,3-4,6, 2.0,None,None,None,None,None,"5,590",+,None
"Thursday, Apr 19",None,CIN,@,PIT,W,8,2,None,4-4,5, 1.0,None,None,None,None,None,None,++,None
"Friday, Apr 20",None,CIN,@,PIT,L,4,6,None,4-5,6, 2.0,None,None,None,None,None,"2,315",-,None
"Saturday, Apr 21",None,CIN,@,PIT,L,3,5,None,4-6,6, 2.5,None,None,None,None,None,"12,252",--,None
"Sunday, Apr 22",None,CIN,None,STL,L,6,7,None,4-7,7, 3.0,None,None,None,None,None,"12,000",---,None
"Monday, Apr 23",None,CIN,None,STL,L,5,7,None,4-8,7, 3.5,None,None,None,None,None,"1,000",----,None
"Tuesday, Apr 24",None,CIN,None,STL,L,3,9,None,4-9,7, 4.5,None,None,None,None,None,None,-----,None
"Wednesday, Apr 25",None,CIN,None,STL,W,8,5,None,5-9,7, 4.5,None,None,None,None,None,"1,000",+,None
"Thursday, Apr 26",None,CIN,@,CHC,L,2,4,None,5-10,7, 5.5,None,None,None,None,None,None,-,None
"Friday, Apr 27",None,CIN,@,CHC,L,6,7,None,5-11,7, 6.5,None,None,None,None,None,None,--,None
"Saturday, Apr 28",None,CIN,@,CHC,L,0,1,None,5-12,7, 7.5,None,None,None,None,None,None,---,None
"Sunday, Apr 29",None,CIN,None,PIT,W,11,6,None,6-12,7, 7.0,None,None,None,None,None,None,+,None
