date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Apr 11",boxscore,SFG,@,STL,W,5,2,None,2-0,1, Tied,Jones,Broglio,None,2:47,N,"8,518",++,None
"Sunday, Apr 12",boxscore,SFG,@,STL,W,6,3,None,3-0,1,up 0.5,Worthington,Mizell,None,2:39,D,"12,177",+++,None
"Tuesday, Apr 14",boxscore,SFG,None,CHC,L,2,5,None,3-1,2, 0.5,Hillman,Sanford,Elston,2:37,D,"22,522",-,None
"Wednesday, Apr 15",boxscore,SFG,None,CHC,W,7,1,None,4-1,1, Tied,Antonelli,Drabowsky,None,2:44,N,"15,479",+,None
"Thursday, Apr 16",boxscore,SFG,None,CHC,L,3,11,None,4-2,2, 1.0,Hobbie,Jones,Elston,2:56,D,"11,056",-,None
"Friday, Apr 17",boxscore,SFG,None,STL,L,1,4,None,4-3,3, 1.5,Mizell,McCormick,None,2:46,N,"19,945",--,None
"Saturday, Apr 18",boxscore,SFG,None,STL,W,8,1,None,5-3,2, 0.5,Sanford,McDaniel,None,2:23,D,"19,393",+,None
"Sunday, Apr 19",boxscore,SFG,None,STL,W,3,1,None,6-3,1, Tied,Antonelli,Jackson,None,2:05,D,"22,785",++,None
"Monday, Apr 20",boxscore,SFG,@,LAD,L-wo,1,2,None,6-4,3, 0.5,Drysdale,Jones,None,2:03,N,"32,946",-,None
"Tuesday, Apr 21",boxscore,SFG,@,LAD,L-wo,7,9,11,6-5,3, 1.5,Fowler,Worthington,None,3:47,N,"30,423",--,None
"Wednesday, Apr 22",boxscore,SFG,@,LAD,W,6,3,None,7-5,3, 1.5,Sanford,Erskine,Jones,2:55,N,"38,036",+,None
"Friday, Apr 24",boxscore,SFG,@,CHC,W,4,3,11,8-5,3, 1.0,Miller,Buzhardt,None,3:22,D,"3,511",++,None
"Saturday, Apr 25",boxscore,SFG,@,CHC,L,3,5,None,8-6,3, 1.0,Anderson,Jones,Elston,2:10,D,"13,873",-,None
"Sunday, Apr 26",boxscore,SFG,@,CHC,W,3,2,None,9-6,2, 0.5,Sanford,Hobbie,None,2:12,D,"8,427",+,None
"Wednesday, Apr 29",boxscore,SFG,@,PIT,L,2,3,None,9-7,3, 1.0,Kline,Antonelli,None,2:02,N,"19,799",-,None
"Friday, May 1",boxscore,SFG,@,MLN,W,6,4,None,10-7,3, 0.5,Jones,Willey,Miller,2:32,N,"16,900",+,None
"Saturday, May 2",boxscore,SFG,@,MLN,W,8,5,None,11-7,1,up 0.5,Sanford,Jay,Jones,2:47,D,"20,127",++,None
"Sunday, May 3",boxscore,SFG,@,MLN,L,4,9,None,11-8,2, 0.5,Burdette,Antonelli,None,2:09,D,"22,911",-,None
"Monday, May 4",boxscore,SFG,@,CIN,W,6,5,None,12-8,1, Tied,Jones,Purkey,Sanford,3:09,N,"5,932",+,None
"Tuesday, May 5",boxscore,SFG,@,CIN,L,2,5,None,12-9,2, 0.5,Newcombe,Jones,None,2:10,N,"13,822",-,None
"Thursday, May 7",boxscore,SFG,None,LAD,L,1,2,None,12-10,4, 1.5,Williams,Sanford,None,2:34,D,"14,216",--,None
"Friday, May 8",boxscore,SFG,None,LAD,W,9,3,None,13-10,3, 0.5,Antonelli,McDevitt,None,2:34,N,"22,706",+,None
"Saturday, May 9",boxscore,SFG,None,LAD,L,5,6,11,13-11,4, 1.5,Labine,Jones,None,3:01,D,"22,679",-,None
"Sunday, May 10",boxscore,SFG,None,LAD,L,2,3,None,13-12,4, 2.0,Podres,McCormick,Labine,2:18,D,"22,641",--,None
"Monday, May 11",boxscore,SFG,None,PIT,W,14,4,None,14-12,4, 2.0,Sanford,Daniels,None,2:37,N,"13,789",+,None
"Tuesday, May 12",boxscore,SFG,None,PIT,L,5,6,12,14-13,4, 2.5,Daniels,Jones,None,3:51,D,"8,084",-,None
"Wednesday, May 13",boxscore,SFG,None,PHI,W,6,0,None,15-13,3, 2.0,Jones,Gomez,None,2:16,D,"5,128",+,None
"Thursday, May 14",boxscore,SFG,None,PHI,W,8,0,None,16-13,3, 2.0,McCormick,Semproch,None,2:23,D,"6,235",++,None
"Friday, May 15",boxscore,SFG,None,CIN,L,2,5,None,16-14,4, 2.5,Newcombe,Sanford,None,2:37,N,"21,614",-,None
"Saturday, May 16",boxscore,SFG,None,CIN,W,9,2,None,17-14,2, 2.5,Antonelli,Lawrence,None,2:19,D,"18,911",+,None
"Sunday, May 17",boxscore,SFG,None,CIN,W,9,1,None,18-14,2, 2.5,Miller,Purkey,None,2:20,D,"22,725",++,None
"Monday, May 18",boxscore,SFG,None,MLN,L,2,4,None,18-15,2, 3.5,Spahn,Jones,None,2:39,D,"17,524",-,None
"Tuesday, May 19",boxscore,SFG,None,MLN,L,1,8,None,18-16,2, 4.5,Jay,Sanford,None,2:32,N,"22,910",--,None
"Wednesday, May 20",boxscore,SFG,None,MLN,W,6,3,None,19-16,2, 3.5,McCormick,Buhl,Jones,2:15,D,"17,825",+,None
"Friday, May 22",boxscore,SFG,@,LAD,L-wo,1,2,13,19-17,3, 4.5,Drysdale,Worthington,None,3:34,N,"31,014",-,None
"Saturday, May 23",boxscore,SFG,@,LAD,W,4,2,None,20-17,2, 3.5,Jones,Williams,None,2:40,N,"37,258",+,None
"Sunday, May 24",boxscore,SFG,@,LAD,W,6,1,None,21-17,2, 3.0,Sanford,McDevitt,None,2:11,D,"30,518",++,None
"Monday, May 25",boxscore,SFG,None,LAD,L,0,8,None,21-18,2, 3.0,Podres,McCormick,None,2:19,D,"9,173",-,None
"Tuesday, May 26",boxscore,SFG,None,LAD,W-wo,6,4,None,22-18,2, 3.0,Jones,Koufax,None,2:22,N,"18,471",+,None
"Wednesday, May 27",boxscore,SFG,None,STL,W,9,4,None,23-18,2, 3.0,Antonelli,Blaylock,Worthington,2:11,D,"8,017",++,None
"Thursday, May 28",boxscore,SFG,None,STL,W,5,4,None,24-18,2, 2.0,Miller,McDaniel,McCormick,2:51,D,"7,814",+++,None
"Friday, May 29",boxscore,SFG,None,STL,L,2,4,None,24-19,2, 3.0,Mizell,Sanford,McDaniel,2:38,N,"20,199",-,None
"Saturday, May 30",boxscore,SFG,None,CHC,W,5,2,None,25-19,2, 3.0,McCormick,Anderson,None,2:25,D,"21,890",+,None
"Sunday, May 31",boxscore,SFG,None,CHC,W,6,3,None,26-19,2, 2.5,Antonelli,Hobbie,Miller,2:25,D,"21,828",++,None
"Monday, Jun 1",boxscore,SFG,@,MLN,W,11,2,None,27-19,2, 1.5,Jones,Jay,None,2:44,N,"16,666",+++,None
"Tuesday, Jun 2",boxscore,SFG,@,MLN,L,0,3,None,27-20,2, 2.5,Rush,Miller,None,2:34,N,"20,364",-,None
"Wednesday, Jun 3",boxscore,SFG,@,MLN,L,4,7,None,27-21,2, 3.5,Buhl,Sanford,McMahon,2:27,N,"23,071",--,None
"Thursday, Jun 4",boxscore,SFG,@,MLN,W,11,5,None,28-21,2, 2.5,Jones,Burdette,Miller,3:04,D,"16,713",+,None
"Friday, Jun 5",boxscore,SFG,@,CIN,L,2,7,None,28-22,2, 2.5,Newcombe,Antonelli,None,2:30,N,"18,930",-,None
"Saturday, Jun 6",boxscore,SFG,@,CIN,W,13,3,None,29-22,2, 1.5,Jones,Purkey,None,2:54,D,"9,956",+,None
"Sunday, Jun 7",boxscore,SFG,@,CIN,W,5,3,None,30-22,2, 2.0,Sanford,Lawrence,None,2:37,D,None,++,None
"Sunday, Jun 7",boxscore,SFG,@,CIN,L,1,7,None,30-23,2, 2.0,Pena,McCormick,None,2:34,D,"25,557",-,None
"Monday, Jun 8",boxscore,SFG,@,PIT,L-wo,9,12,11,30-24,2, 3.0,Face,McCormick,None,4:13,N,"19,080",--,None
"Tuesday, Jun 9",boxscore,SFG,@,PIT,W,6,2,None,31-24,2, 2.0,Antonelli,Law,None,2:45,N,"24,272",+,None
