Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Friday May 27,boxscore,CLE,,BAL,L,4,6,,25-21,2,0.5,Bundy,McAllister,Britton,3:09,N,21054,-,
47,Saturday May 28,boxscore,CLE,,BAL,W,11,4,,26-21,1,up 0.5,Salazar,Jimenez,,3:02,D,21110,+,
48,Sunday May 29,boxscore,CLE,,BAL,L,4,6,,26-22,2,0.5,Tillman,Manship,Britton,3:14,D,18565,-,
49,Monday May 30,boxscore,CLE,,TEX,L,2,9,,26-23,2,1.5,Holland,Tomlin,Ramos,2:36,N,14514,--,
50,Tuesday May 31,boxscore,CLE,,TEX,L,3,7,,26-24,3,2.5,Lewis,Kluber,Dyson,2:51,N,10428,---,
51,Wednesday Jun 1,boxscore,CLE,,TEX,W-wo,5,4,11,27-24,3,2.5,Gorzelanny,Claudio,,3:30,N,10524,+,
52,Thursday Jun 2,boxscore,CLE,,KCR,W-wo,5,4,,28-24,2,1.5,Hunter,Soria,,2:54,N,11131,++,
53,Friday Jun 3,boxscore,CLE,,KCR,W,6,1,,29-24,2,0.5,Salazar,Volquez,,2:25,N,24753,+++,
54,Saturday Jun 4,boxscore,CLE,,KCR,W,7,1,,30-24,1,up 0.5,Tomlin,Kennedy,,2:48,N,23258,++++,
55,Sunday Jun 5,boxscore,CLE,,KCR,W,7,0,,31-24,1,up 1.5,Kluber,Young,,2:21,D,16747,+++++,
56,Monday Jun 6,boxscore,CLE,@,SEA,W,3,1,,32-24,1,up 2.5,Bauer,Paxton,Allen,2:30,N,15824,++++++,
57,Tuesday Jun 7,boxscore,CLE,@,SEA,L,1,7,,32-25,1,up 2.5,Miley,Anderson,,2:38,N,16944,-,
58,Wednesday Jun 8,boxscore,CLE,@,SEA,L,0,5,,32-26,1,up 2.5,Walker,Carrasco,,2:41,N,15337,--,
59,Thursday Jun 9,boxscore,CLE,@,SEA,W,5,3,,33-26,1,up 3.0,Otero,Benoit,Allen,3:39,N,19901,+,
60,Friday Jun 10,boxscore,CLE,@,LAA,W,6,2,,34-26,1,up 3.5,Kluber,Santiago,,2:34,N,39487,++,
61,Saturday Jun 11,boxscore,CLE,@,LAA,L-wo,3,4,,34-27,1,up 3.0,Salas,Shaw,,2:59,N,38296,-,
62,Sunday Jun 12,boxscore,CLE,@,LAA,W,8,3,,35-27,1,up 3.0,Salazar,Huff,,3:28,D,36383,+,
63,Monday Jun 13,boxscore,CLE,@,KCR,L,1,2,,35-28,1,up 2.0,Volquez,Carrasco,Davis,2:42,N,31269,-,
64,Tuesday Jun 14,boxscore,CLE,@,KCR,L,2,3,,35-29,1,up 1.0,Soria,Shaw,,2:55,N,29293,--,
65,Wednesday Jun 15,boxscore,CLE,@,KCR,L,4,9,,35-30,1,Tied,Kennedy,Kluber,,2:47,N,33546,---,
66,Friday Jun 17,boxscore,CLE,,CHW,W-wo,3,2,,36-30,1,up 0.5,Allen,Jones,,2:47,N,27912,+,
67,Saturday Jun 18,boxscore,CLE,,CHW,W,13,2,,37-30,1,up 0.5,Salazar,Shields,,3:00,N,31066,++,
68,Sunday Jun 19,boxscore,CLE,,CHW,W-wo,3,2,10,38-30,1,up 0.5,Otero,Robertson,,3:12,D,25269,+++,
