date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Apr 24",None,STL,None,PIT,W,5,1,None,1-1,6, 2.0,None,None,None,None,None,None,+,None
"Monday, Apr 26",None,STL,None,CHC,L,2,9,None,1-2,7, 2.5,None,None,None,None,None,None,-,None
"Tuesday, Apr 27",None,STL,None,CHC,W,10,4,None,2-2,6, 2.5,None,None,None,None,None,None,+,None
"Wednesday, Apr 28",None,STL,None,CHC,L,5,6,None,2-3,7, 3.5,None,None,None,None,None,None,-,None
"Thursday, Apr 29",None,STL,None,CLV,T,6,6,None,2-3,6, 3.0,None,None,None,None,None,None,-,None
"Friday, Apr 30",None,STL,None,CLV,L,4,12,None,2-4,6, 4.0,None,None,None,None,None,None,--,None
"Saturday, May 1",None,STL,None,CLV,L,3,8,None,2-5,7, 5.0,None,None,None,None,None,None,---,None
"Sunday, May 2",None,STL,None,CLV,L,1,3,None,2-6,10, 5.5,None,None,None,None,None,None,----,None
"Tuesday, May 4",None,STL,@,CHC,L,2,5,None,2-7,12, 6.0,None,None,None,None,None,None,-----,None
"Wednesday, May 5",None,STL,@,CHC,W,9,7,None,3-7,10, 5.0,None,None,None,None,None,None,+,None
"Friday, May 7",None,STL,@,LOU,L,7,11,None,3-8,10, 6.5,None,None,None,None,None,None,-,1897-05-06 (Train delay (LS3))
"Saturday, May 8",None,STL,@,LOU,W,4,2,None,4-8,9, 6.5,None,None,None,None,None,None,+,None
"Sunday, May 9",None,STL,@,LOU,L,2,4,None,4-9,9, 7.0,None,None,None,None,None,None,-,None
"Monday, May 10",None,STL,None,PHI,L,1,13,None,4-10,11, 7.0,None,None,None,None,None,None,--,None
"Wednesday, May 12",None,STL,None,PHI,L,2,3,None,4-11,12, 9.0,None,None,None,None,None,None,---,None
"Wednesday, May 12",None,STL,None,PHI,L,4,5,None,4-12,12, 9.0,None,None,None,None,None,None,----,1897-05-11 (Rain)
"Friday, May 14",None,STL,None,BLN,L,7,11,None,4-13,12, 10.0,None,None,None,None,None,None,-----,None
"Saturday, May 15",None,STL,None,BLN,L,3,20,None,4-14,12, 11.0,None,None,None,None,None,None,------,None
"Sunday, May 16",None,STL,None,BLN,L,5,14,None,4-15,12, 12.0,None,None,None,None,None,None,-------,None
"Monday, May 17",None,STL,None,BRO,L,5,15,None,4-16,12, 13.0,None,None,None,None,None,None,--------,None
"Tuesday, May 18",None,STL,None,BRO,L,3,6,None,4-17,12, 14.0,None,None,None,None,None,None,---------,None
"Wednesday, May 19",None,STL,None,BRO,W,3,1,None,5-17,12, 14.0,None,None,None,None,None,None,+,None
"Thursday, May 20",None,STL,None,BSN,L,4,11,None,5-18,12, 14.0,None,None,None,None,None,None,-,None
"Friday, May 21",None,STL,None,BSN,L,1,11,None,5-19,12, 14.0,None,None,None,None,None,None,--,None
"Saturday, May 22",None,STL,None,BSN,L,4,11,None,5-20,12, 14.0,None,None,None,None,None,None,---,None
"Sunday, May 23",None,STL,None,LOU,L,6,14,None,5-21,12, 14.5,None,None,None,None,None,None,----,None
"Monday, May 24",None,STL,None,WHS,L,7,13,None,5-22,12, 15.0,None,None,None,None,None,None,-----,None
"Tuesday, May 25",None,STL,None,WHS,W,8,6,None,6-22,12, 15.0,None,None,None,None,None,None,+,None
"Friday, May 28",None,STL,@,NYG,L,2,8,None,6-23,12, 15.5,None,None,None,None,None,None,-,1897-05-28 (Site change)
"Saturday, May 29",None,STL,@,NYG,L,6,7,None,6-24,12, 17.0,None,None,None,None,None,None,--,1897-05-29 (Site change)
"Saturday, May 29",None,STL,@,NYG,L,5,8,None,6-25,12, 17.0,None,None,None,None,None,None,---,1897-05-27 (Schedule change; Site change)
"Monday, May 31",None,STL,@,BSN,L,5,25,None,6-26,12, 17.5,None,None,None,None,None,None,----,None
"Tuesday, Jun 1",None,STL,@,BSN,L,6,14,None,6-27,12, 18.5,None,None,None,None,None,None,-----,1897-05-31 (Wet grounds)
"Tuesday, Jun 1",None,STL,@,BSN,L,3,12,None,6-28,12, 18.5,None,None,None,None,None,None,------,None
"Wednesday, Jun 2",None,STL,@,BRO,L,1,10,None,6-29,12, 19.5,None,None,None,None,None,None,-------,None
"Thursday, Jun 3",None,STL,@,BRO,W,1,0,None,7-29,12, 19.0,None,None,None,None,None,None,+,None
"Friday, Jun 4",None,STL,@,BRO,L,4,8,None,7-30,12, 19.5,None,None,None,None,None,None,-,None
"Saturday, Jun 5",None,STL,@,BLN,W,6,4,None,8-30,12, 18.5,None,None,None,None,None,None,+,None
"Monday, Jun 7",None,STL,@,BLN,L,2,4,None,8-31,12, 19.5,None,None,None,None,None,None,-,None
"Wednesday, Jun 9",None,STL,@,WHS,L,0,6,None,8-32,12, 20.5,None,None,None,None,None,None,--,None
"Thursday, Jun 10",None,STL,@,WHS,L,3,9,None,8-33,12, 21.5,None,None,None,None,None,None,---,None
"Friday, Jun 11",None,STL,@,WHS,L,3,6,None,8-34,12, 22.5,None,None,None,None,None,None,----,None
"Saturday, Jun 12",None,STL,@,NYG,L,2,9,None,8-35,12, 23.5,None,None,None,None,None,None,-----,None
"Monday, Jun 14",None,STL,@,NYG,L,4,7,None,8-36,12, 24.5,None,None,None,None,None,None,------,None
"Tuesday, Jun 15",None,STL,@,NYG,L,3,9,None,8-37,12, 25.5,None,None,None,None,None,None,-------,None
"Wednesday, Jun 16",None,STL,@,PHI,L,7,8,None,8-38,12, 26.5,None,None,None,None,None,None,--------,None
"Friday, Jun 18",None,STL,@,PHI,W,9,4,None,9-38,12, 26.5,None,None,None,None,None,None,+,1897-06-17 (Rain)
"Saturday, Jun 19",None,STL,@,PHI,W,5,4,None,10-38,12, 25.5,None,None,None,None,None,None,++,None
"Monday, Jun 21",None,STL,@,CIN,L,3,8,None,10-39,12, 25.5,None,None,None,None,None,None,-,None
"Tuesday, Jun 22",None,STL,@,CIN,L,3,7,None,10-40,12, 26.0,None,None,None,None,None,None,--,None
"Wednesday, Jun 23",None,STL,@,CIN,L,1,5,None,10-41,12, 26.5,None,None,None,None,None,None,---,None
"Thursday, Jun 24",None,STL,@,PIT,W,7,6,None,11-41,12, 26.5,None,None,None,None,None,None,+,None
"Friday, Jun 25",None,STL,@,PIT,L,4,6,None,11-42,12, 27.5,None,None,None,None,None,None,-,None
"Saturday, Jun 26",None,STL,@,PIT,L,3,5,None,11-43,12, 27.5,None,None,None,None,None,None,--,None
"Wednesday, Jun 30",None,STL,None,CIN,L,0,3,None,11-44,12, 29.5,None,None,None,None,None,None,---,None
"Thursday, Jul 1",None,STL,@,CLV,L,2,6,None,11-45,12, 30.5,None,None,None,None,None,None,----,None
"Friday, Jul 2",None,STL,@,CLV,L,1,13,None,11-46,12, 31.0,None,None,None,None,None,None,-----,1897-07-04 (Schedule change)
"Saturday, Jul 3",None,STL,@,CLV,L,4,8,None,11-47,12, 32.0,None,None,None,None,None,None,------,None
"Sunday, Jul 4",None,STL,@,LOU,L,3,6,None,11-48,12, 32.5,None,None,None,None,None,None,-------,1897-07-05 (Schedule change)
"Monday, Jul 5",None,STL,@,LOU,L,6,7,None,11-49,12, 34.0,None,None,None,None,None,None,--------,None
"Thursday, Jul 8",None,STL,None,BRO,L,0,1,None,11-50,12, 34.5,None,None,None,None,None,None,---------,None
"Friday, Jul 9",None,STL,None,BRO,W,8,3,None,12-50,12, 33.5,None,None,None,None,None,None,+,None
"Saturday, Jul 10",None,STL,None,BRO,W,4,3,None,13-50,12, 32.5,None,None,None,None,None,None,++,None
"Sunday, Jul 11",None,STL,None,BLN,L,4,22,None,13-51,12, 33.0,None,None,None,None,None,None,-,None
"Monday, Jul 12",None,STL,None,BLN,L,5,9,None,13-52,12, 34.0,None,None,None,None,None,None,--,None
"Tuesday, Jul 13",None,STL,None,BLN,L,5,10,None,13-53,12, 34.0,None,None,None,None,None,None,---,None
"Thursday, Jul 15",None,STL,None,PHI,L,0,2,None,13-54,12, 34.5,None,None,None,None,None,None,----,None
"Friday, Jul 16",None,STL,None,PHI,W,10,9,None,14-54,12, 33.5,None,None,None,None,None,None,+,None
"Saturday, Jul 17",None,STL,None,PHI,W,10,5,None,15-54,12, 33.5,None,None,None,None,None,None,++,None
"Sunday, Jul 18",None,STL,@,LOU,L,7,10,None,15-55,12, 34.0,None,None,None,None,None,None,-,None
"Monday, Jul 19",None,STL,None,NYG,L,6,11,None,15-56,12, 35.0,None,None,None,None,None,None,--,None
"Wednesday, Jul 21",None,STL,None,NYG,L,8,10,None,15-57,12, 36.5,None,None,None,None,None,None,---,None
"Wednesday, Jul 21",None,STL,None,NYG,L,2,18,None,15-58,12, 36.5,None,None,None,None,None,None,----,1897-07-20 (Rain)
"Thursday, Jul 22",None,STL,None,WHS,L,8,9,None,15-59,12, 37.5,None,None,None,None,None,None,-----,None
"Saturday, Jul 24",None,STL,None,WHS,W,7,5,None,16-59,12, 37.0,None,None,None,None,None,None,+,None
"Sunday, Jul 25",None,STL,None,WHS,W,4,3,None,17-59,12, 37.0,None,None,None,2:25,None,None,++,None
"Sunday, Jul 25",None,STL,None,WHS,L,0,8,None,17-60,12, 37.0,None,None,None,2:30,None,"10,000",-,1897-05-26 (Rain)
"Monday, Jul 26",None,STL,None,BSN,W,3,2,None,18-60,12, 36.0,None,None,None,None,None,None,+,None
"Tuesday, Jul 27",None,STL,None,BSN,W,5,2,None,19-60,12, 35.0,None,None,None,None,None,None,++,None
"Wednesday, Jul 28",None,STL,None,BSN,L,1,8,None,19-61,12, 36.0,None,None,None,None,None,None,-,None
"Friday, Jul 30",None,STL,None,LOU,W,7,6,None,20-61,12, 36.0,None,None,None,None,None,None,+,None
"Saturday, Jul 31",None,STL,None,LOU,L,6,11,None,20-62,12, 36.5,None,None,None,None,None,None,-,None
"Saturday, Jul 31",None,STL,None,LOU,W,7,5,None,21-62,12, 36.5,None,None,None,None,None,None,+,1897-09-21 (Schedule change)
"Sunday, Aug 1",None,STL,None,LOU,L,1,5,None,21-63,12, 37.0,None,None,None,None,None,None,-,None
"Sunday, Aug 1",None,STL,None,LOU,*T,4,5,None,21-63,12, 37.0,None,None,None,None,None,None,-,1897-09-22 (Schedule change)
"Monday, Aug 2",None,STL,@,CHC,L,1,10,None,21-64,12, 38.0,None,None,None,None,None,None,--,None
"Monday, Aug 2",None,STL,@,CHC,L,5,9,None,21-65,12, 38.0,None,None,None,None,None,None,---,1897-05-03 (Wet grounds)
"Tuesday, Aug 3",None,STL,@,CHC,L,2,7,None,21-66,12, 38.5,None,None,None,None,None,None,----,None
"Wednesday, Aug 4",None,STL,@,CHC,W,13,12,None,22-66,12, 38.0,None,None,None,None,None,None,+,None
"Thursday, Aug 5",None,STL,None,PIT,W,8,7,None,23-66,12, 37.0,None,None,None,None,None,None,++,None
"Friday, Aug 6",None,STL,None,PIT,L,4,5,None,23-67,12, 38.0,None,None,None,None,None,None,-,None
"Saturday, Aug 7",None,STL,None,PIT,W,7,5,None,24-67,12, 38.5,None,None,None,None,None,None,+,None
"Saturday, Aug 7",None,STL,None,PIT,L,3,12,None,24-68,12, 38.5,None,None,None,None,None,None,-,1897-04-23 (Rain)
"Tuesday, Aug 10",None,STL,@,CIN,L,6,8,None,24-69,12, 39.0,None,None,None,None,None,None,--,None
"Wednesday, Aug 11",None,STL,@,CIN,L,5,6,None,24-70,12, 40.0,None,None,None,None,None,None,---,None
"Friday, Aug 13",None,STL,@,CLV,L,5,6,None,24-71,12, 41.0,None,None,None,None,None,None,----,1897-08-16 (Schedule change)
"Saturday, Aug 14",None,STL,@,CLV,W,10,5,None,25-71,12, 40.0,None,None,None,None,None,None,+,None
"Sunday, Aug 15",None,STL,@,CLV,L,3,13,None,25-72,12, 40.5,None,None,None,None,None,None,-,None
"Thursday, Aug 19",None,STL,@,BRO,L,5,13,None,25-73,12, 42.0,None,None,None,None,None,None,--,None
"Friday, Aug 20",None,STL,@,BRO,L,7,12,None,25-74,12, 43.0,None,None,None,None,None,None,---,None
"Saturday, Aug 21",None,STL,@,BRO,W,4,3,None,26-74,12, 43.0,None,None,None,None,None,None,+,None
"Tuesday, Aug 24",None,STL,@,PHI,L,7,8,None,26-75,12, 45.0,None,None,None,None,None,None,-,None
"Tuesday, Aug 24",None,STL,@,PHI,L,2,14,None,26-76,12, 45.0,None,None,None,None,None,None,--,1897-08-23 (Rain)
"Wednesday, Aug 25",None,STL,@,PHI,L,2,8,None,26-77,12, 45.5,None,None,None,None,None,None,---,None
"Thursday, Aug 26",None,STL,@,WHS,L,1,6,None,26-78,12, 45.5,None,None,None,None,None,None,----,None
"Friday, Aug 27",None,STL,@,WHS,L,0,3,None,26-79,12, 45.5,None,None,None,None,None,None,-----,None
"Saturday, Aug 28",None,STL,@,WHS,L,11,16,None,26-80,12, 46.5,None,None,None,None,None,None,------,None
"Tuesday, Aug 31",None,STL,@,BLN,L,5,12,None,26-81,12, 47.5,None,None,None,None,None,None,-------,None
"Wednesday, Sep 1",None,STL,@,BLN,L,5,11,None,26-82,12, 48.5,None,None,None,None,None,None,--------,None
"Thursday, Sep 2",None,STL,@,BLN,W,4,3,None,27-82,12, 48.0,None,None,None,None,None,None,+,None
"Friday, Sep 3",None,STL,@,BLN,L,1,22,None,27-83,12, 49.5,None,None,None,None,None,None,-,1897-06-08 (Rain)
"Saturday, Sep 4",None,STL,@,NYG,L,3,9,None,27-84,12, 50.5,None,None,None,None,None,None,--,None
