date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Thursday, Jun 12*boxscore*NYY*@*DET*W*10*4*None*26-19*1* Tied*Pennock*Cole*None*2:18*D*18,000*+*None
Friday, Jun 13*boxscore*NYY*@*DET**V*10*6*9*27-19*1* Tied*Gaston*Cole*None*2:06*D*18,000*++*None
Saturday, Jun 14*boxscore*NYY*@*DET*W*6*2*None*28-19*1*up 1.0*Hoyt*Collins*None*2:05*D*40,000*+++*None
Sunday, Jun 15*boxscore*NYY*@*CLE*L*3*10*None*28-20*1*up 1.0*Shaute*Shawkey*None*2:00*D*30,000*-*None
Monday, Jun 16*boxscore*NYY*@*CLE*L*1*2*None*28-21*1*up 1.0*Coveleski*Bush*None*1:50*D*10,000*--*None
Tuesday, Jun 17*boxscore*NYY*@*CLE*W*7*5*None*29-21*1*up 1.0*Jones*Shaute*None*1:55*D*8,000*+*None
Wednesday, Jun 18*boxscore*NYY*@*CLE*L*5*6*None*29-22*1* Tied*Smith*Bush*None*1:55*D*8,000*-*None
Saturday, Jun 21*boxscore*NYY*None*BOS*W*5*3*None*30-22*1*up 0.5*Shawkey*Quinn*None*1:45*D*20,000*+*None
Saturday, Jun 21*boxscore*NYY*None*BOS*T*3*3*5*30-22*1*up 0.5*None*None*None*1:35*D*40,000*+*1924-06-20 (Rain)
Sunday, Jun 22*boxscore*NYY*None*BOS*L*2*6*None*30-23*1*up 0.5*Ehmke*Bush*None*1:45*D*30,000*-*None
Monday, Jun 23*boxscore*NYY*None*WSH*L*3*5*None*30-24*2* 0.5*Mogridge*Jones*None*1:50*D*10,000*--*None
Monday, Jun 23*boxscore*NYY*None*WSH*L*2*4*None*30-25*2* 0.5*Zachary*Shawkey*None*1:50*D*20,000*---*1924-05-09 (Rain)
Tuesday, Jun 24*boxscore*NYY*None*WSH*L*3*4*10*30-26*2* 1.0*Russell*Pennock*None*2:20*D*10,000*----*None
Wednesday, Jun 25*boxscore*NYY*None*WSH*L*2*3*7*30-27*3* 2.0*Marberry*Bush*None*1:33*D*8,000*-----*None
Thursday, Jun 26*boxscore*NYY*@*BOS*L*5*8*None*30-28*4* 2.5*Ehmke*Markle*None*2:05*D*5,000*------*None
Friday, Jun 27*boxscore*NYY*@*BOS*W*12*7*None*31-28*3* 1.5*Shawkey*Murray*Jones*2:25*D*10,000*+*None
Friday, Jun 27*boxscore*NYY*@*BOS*W*10*5*None*32-28*3* 1.5*Hoyt*Ross*None*1:49*D*16,000*++*1924-04-18 (Cold)
Saturday, Jun 28*boxscore*NYY*@*BOS*W*4*3*12*33-28*3* 2.0*Pennock*Ferguson*None*2:49*D*22,000*+++*None
Monday, Jun 30*boxscore*NYY*@*PHA*W*10*4*None*34-28*2* 2.5*Bush*Meeker*None*1:50*D*8,000*++++*None
Monday, Jun 30*boxscore*NYY*@*PHA*L*3*10*None*34-29*2* 2.5*Rommel*Markle*None*1:58*D*20,000*-*1924-04-29 (Rain)
Tuesday, Jul 1*boxscore*NYY*@*PHA*W*7*0*None*35-29*2* 3.0*Hoyt*Burns*None*1:40*D*None*+*None
Wednesday, Jul 2*boxscore*NYY*@*PHA*L*8*9*None*35-30*3* 3.5*Rommel*Bush*None*2:52*D*10,000*-*None
Wednesday, Jul 2*boxscore*NYY*@*PHA*W*10*1*None*36-30*3* 3.5*Pennock*Heimach*None*2:34*D*15,000*+*1924-04-30 (Rain)
Thursday, Jul 3*boxscore*NYY*@*PHA*L*5*10*None*36-31*3* 4.0*Gray*Pipgras*None*1:50*D*7,000*-*None
Friday, Jul 4*boxscore*NYY*@*WSH*W*4*2*None*37-31*2* 2.0*Bush*Zachary*None*1:47*D*12,000*+*None
Friday, Jul 4*boxscore*NYY*@*WSH*W*2*0*None*38-31*2* 2.0*Jones*Mogridge*None*1:37*D*20,000*++*None
Saturday, Jul 5*boxscore*NYY*@*WSH*W*2*0*None*39-31*2* 2.0*Pennock*Johnson*None*1:57*D*20,000*+++*None
Saturday, Jul 5*boxscore*NYY*@*WSH*L*2*7*None*39-32*2* 2.0*Marberry*Hoyt*None*1:59*D*25,000*-*1924-05-29 (Rain)
Sunday, Jul 6*boxscore*NYY*@*WSH*W*7*4*None*40-32*2* 1.0*Shawkey*Martina*Bush*2:05*D*12,000*+*None
