date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Aug 23",boxscore,STL,None,ATL,W,7,2,None,68-59,3, 3.0,Denny,Niekro,None,2:12,N,"30,930",+,None
"Sunday, Aug 24",boxscore,STL,None,ATL,W,6,2,None,69-59,2, 3.0,Forsch,Morton,Hrabosky,2:17,D,"24,786",++,None
"Monday, Aug 25",boxscore,STL,None,HOU,T,3,3,10,69-59,3, 3.5,None,None,None,2:54,N,"11,267",++,None
"Tuesday, Aug 26",boxscore,STL,None,HOU,W-wo,10,9,12,70-59,2, 3.0,Hrabosky,Sosa,None,3:33,N,None,+++,None
"Tuesday, Aug 26",boxscore,STL,None,HOU,W,2,1,None,71-59,2, 3.0,Rasmussen,Konieczny,None,2:07,N,"19,185",++++,None
"Wednesday, Aug 27",boxscore,STL,None,HOU,L,1,5,None,71-60,2, 3.0,York,Denny,None,2:06,N,"13,778",-,None
"Thursday, Aug 28",boxscore,STL,@,CIN,L,0,4,None,71-61,2, 3.5,Gullett,Garman,None,2:15,N,"30,345",--,None
"Friday, Aug 29",boxscore,STL,@,CIN,L,2,6,None,71-62,3, 4.0,Nolan,McGlothen,McEnaney,2:14,N,"33,290",---,None
"Saturday, Aug 30",boxscore,STL,@,CIN,L-wo,2,3,10,71-63,3, 4.0,Eastwick,Garman,None,2:32,N,"45,064",----,None
"Sunday, Aug 31",boxscore,STL,@,CIN,W,5,3,None,72-63,2, 4.0,Rasmussen,Billingham,Curtis,2:22,D,"43,470",+,None
"Monday, Sep 1",boxscore,STL,None,CHC,W,6,3,None,73-63,2, 3.0,Forsch,Bonham,Hrabosky,2:28,D,"48,435",++,None
"Tuesday, Sep 2",boxscore,STL,None,CHC,L,3,5,None,73-64,2, 4.0,Burris,McGlothen,Reuschel,2:24,N,"13,049",-,None
"Wednesday, Sep 3",boxscore,STL,None,CHC,L,6,11,None,73-65,2, 5.0,Schultz,Gibson,Reuschel,2:46,N,"14,119",--,None
"Friday, Sep 5",boxscore,STL,@,NYM,L,2,5,None,73-66,3, 5.5,Seaver,Rasmussen,Apodaca,2:23,N,"27,093",---,None
"Saturday, Sep 6",boxscore,STL,@,NYM,W,6,3,None,74-66,2, 5.5,Forsch,Koosman,Hrabosky,2:59,D,"17,032",+,None
"Sunday, Sep 7",boxscore,STL,@,NYM,W,12,4,None,75-66,2, 5.5,McGlothen,Matlack,None,2:30,D,"25,810",++,None
"Monday, Sep 8",boxscore,STL,@,PHI,&H,3,6,None,75-67,2, 6.5,Underwood,Reed,McGraw,2:37,N,"22,768",-,None
"Tuesday, Sep 9",boxscore,STL,@,PHI,L,2,6,None,75-68,3, 6.5,Carlton,Denny,None,2:18,N,"13,764",--,None
"Wednesday, Sep 10",boxscore,STL,@,CHC,L,5,7,None,75-69,3, 7.5,Schultz,Rasmussen,Knowles,2:50,D,"5,031",---,None
"Thursday, Sep 11",boxscore,STL,@,CHC,L,6,12,None,75-70,3, 7.5,Zamora,Forsch,Knowles,2:35,D,"3,635",----,None
"Friday, Sep 12",boxscore,STL,None,NYM,W,5,1,None,76-70,3, 7.5,McGlothen,Matlack,None,2:06,N,"14,731",+,None
"Saturday, Sep 13",boxscore,STL,None,NYM,L,2,6,None,76-71,3, 7.5,Webb,Reed,None,2:23,N,"27,627",-,None
"Sunday, Sep 14",boxscore,STL,None,NYM,W,6,2,None,77-71,3, 7.5,Denny,Seaver,Garman,2:16,D,"50,548",+,None
"Monday, Sep 15",boxscore,STL,None,PHI,W,7,6,None,78-71,3, 7.0,Hrabosky,Garber,Parker,2:37,N,"9,955",++,None
"Tuesday, Sep 16",boxscore,STL,None,PHI,L,3,4,13,78-72,3, 8.0,Hilgendorf,Garman,Garber,3:36,N,"11,239",-,None
"Wednesday, Sep 17",boxscore,STL,None,MON,L,3,6,None,78-73,3, 9.0,Warthen,McGlothen,None,2:18,N,"5,883",--,None
"Thursday, Sep 18",boxscore,STL,None,MON,L,0,5,None,78-74,3, 9.0,Renko,Reed,None,2:04,N,"6,392",---,None
"Friday, Sep 19",boxscore,STL,@,PIT,L,1,7,None,78-75,3, 10.0,Brett,Denny,None,2:15,N,"19,671",----,None
"Saturday, Sep 20",boxscore,STL,@,PIT,W,8,2,None,79-75,3, 9.0,Rasmussen,Rooker,Hrabosky,3:00,D,"13,493",+,None
"Sunday, Sep 21",boxscore,STL,@,PIT,L,3,5,None,79-76,3, 10.0,Reuss,Garman,Tekulve,2:11,D,"35,648",-,None
"Monday, Sep 22",boxscore,STL,@,MON,W,6,4,12,80-76,3, 10.5,Hrabosky,Fryman,None,3:18,N,None,+,None
"Monday, Sep 22",boxscore,STL,@,MON,L,5,8,None,80-77,3, 10.5,Scherman,Reed,None,2:21,N,"6,123",-,None
"Tuesday, Sep 23",boxscore,STL,@,MON,L,0,7,None,80-78,4, 11.5,Rogers,Denny,None,2:11,N,"5,520",--,None
"Wednesday, Sep 24",boxscore,STL,@,MON,L,2,6,None,80-79,4, 11.5,Carrithers,Rasmussen,None,2:16,N,"9,356",---,None
"Friday, Sep 26",boxscore,STL,None,PIT,W,1,0,None,81-79,3, 10.5,Forsch,Rooker,None,1:52,N,"23,496",+,None
"Saturday, Sep 27",boxscore,STL,None,PIT,L,2,4,None,81-80,3, 11.5,Reuss,McGlothen,Tekulve,2:05,D,"19,180",-,None
"Sunday, Sep 28",boxscore,STL,None,PIT,W,6,2,None,82-80,3, 10.5,Reed,Candelaria,None,1:45,D,"20,909",+,None
