date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 10",boxscore,SFG,None,SDP,L,0,3,None,1-1,2, 0.5,Show,LaPoint,None,2:20,D,"8,211",-,None
"Friday, Apr 12",boxscore,SFG,@,LAD,W,4,1,None,2-1,1, Tied,Krukow,Honeycutt,None,2:32,D,"46,910",+,None
"Saturday, Apr 13",boxscore,SFG,@,LAD,L,0,1,None,2-2,3, 1.0,Valenzuela,Davis,None,2:23,N,"49,861",-,None
"Sunday, Apr 14",boxscore,SFG,@,LAD,W,8,4,None,3-2,2, 1.0,Gott,Reuss,Garrelts,3:10,D,"48,995",+,None
"Monday, Apr 15",boxscore,SFG,@,SDP,L,3,8,None,3-3,3, 1.0,Show,Hammaker,None,2:34,N,"54,490",-,None
"Tuesday, Apr 16",boxscore,SFG,@,SDP,L,1,2,None,3-4,5, 1.0,Hawkins,LaPoint,Gossage,2:06,N,"26,547",--,None
"Thursday, Apr 18",boxscore,SFG,@,CIN,L-wo,3,4,10,3-5,6, 2.0,Willis,Minton,None,2:59,N,"12,410",---,None
"Friday, Apr 19",boxscore,SFG,@,CIN,L,2,4,None,3-6,6, 2.5,Stuper,Laskey,Power,2:14,N,"24,839",----,None
"Saturday, Apr 20",boxscore,SFG,@,CIN,L-wo,1,2,None,3-7,6, 3.5,Soto,Williams,None,2:27,D,"18,115",-----,None
"Sunday, Apr 21",boxscore,SFG,@,CIN,L,0,1,None,3-8,6, 4.5,Browning,Hammaker,Power,2:16,D,"29,418",------,None
"Monday, Apr 22",boxscore,SFG,None,LAD,L,2,3,10,3-9,6, 4.5,Niedenfuer,LaPoint,None,2:36,N,"24,512",-------,None
"Tuesday, Apr 23",boxscore,SFG,None,LAD,W,2,1,None,4-9,6, 3.5,Krukow,Valenzuela,None,2:10,D,"19,022",+,None
"Wednesday, Apr 24",boxscore,SFG,None,LAD,L,2,4,None,4-10,6, 4.5,Brennan,Laskey,Howell,2:59,D,"19,891",-,None
"Thursday, Apr 25",boxscore,SFG,None,CIN,W,7,3,None,5-10,6, 4.0,Davis,Hume,None,2:16,D,"4,056",+,None
"Friday, Apr 26",boxscore,SFG,None,CIN,W-wo,7,6,None,6-10,6, 4.0,Blue,Power,None,2:42,N,"12,534",++,None
"Saturday, Apr 27",boxscore,SFG,None,CIN,L,1,2,None,6-11,6, 4.0,Stuper,LaPoint,None,2:10,D,"14,480",-,None
"Sunday, Apr 28",boxscore,SFG,None,CIN,W-wo,2,1,11,7-11,6, 3.0,Minton,Hume,None,3:04,D,"32,963",+,None
"Tuesday, Apr 30",boxscore,SFG,@,CHC,L,1,3,None,7-12,6, 3.0,Trout,Laskey,Smith,2:32,D,"12,647",-,None
"Wednesday, May 1",boxscore,SFG,@,CHC,L-wo,3,4,None,7-13,6, 4.0,Eckersley,Garrelts,None,2:30,D,"14,490",--,None
"Friday, May 3",boxscore,SFG,@,STL,L,1,8,None,7-14,6, 5.0,Tudor,Krukow,None,2:27,N,"32,441",---,None
"Saturday, May 4",boxscore,SFG,@,STL,L,4,6,None,7-15,6, 5.0,Kepshire,Hammaker,Lahti,2:27,N,"41,410",----,None
"Sunday, May 5",boxscore,SFG,@,STL,W,5,0,None,8-15,6, 4.0,LaPoint,Andujar,None,2:22,D,"31,322",+,None
"Monday, May 6",boxscore,SFG,@,PIT,W,7,5,None,9-15,6, 4.0,Laskey,DeLeon,Garrelts,2:46,N,"4,533",++,None
