"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Jun 3","None","NYY","None","BOS","L",3,9,"None","15-21",7,"None","None","None","None","None",NA,"-----","None",1903,-6.5,-6,133,163,-30,15,20,-5,0.428571428571429,NA
"Thursday, Jun 4","None","NYY","None","CLE","L",3,6,"None","15-22",7,"None","None","None","None","None",NA,"------","None",1903,-7.5,-3,136,169,-33,15,21,-6,0.416666666666667,NA
"Friday, Jun 5","None","NYY","None","CLE","W",8,7,"None","16-22",7,"None","None","None","None","None",NA,"+","None",1903,-7.5,1,144,176,-32,16,21,-5,0.432432432432432,NA
"Saturday, Jun 6","None","NYY","None","CLE","L",4,8,"None","16-23",7,"None","None","None","None","None",NA,"-","None",1903,-8.5,-4,148,184,-36,16,22,-6,0.421052631578947,NA
"Tuesday, Jun 9","None","NYY","None","SLB","W",3,1,"None","17-23",7,"None","None","None","None","None",NA,"+","None",1903,-8,2,151,185,-34,17,22,-5,0.435897435897436,NA
"Thursday, Jun 11","None","NYY","None","DET","W",4,3,"None","18-23",7,"None","None","None","None","None",NA,"++","None",1903,-7.5,1,155,188,-33,18,22,-4,0.45,NA
"Saturday, Jun 13","None","NYY","None","DET","W",3,2,"None","19-23",6,"None","None","None","None","None",NA,"+++","None",1903,-7.5,1,158,190,-32,19,22,-3,0.463414634146341,NA
"Tuesday, Jun 16","None","NYY","None","CHW","W",1,0,"None","20-23",6,"None","None","None","None","None",NA,"++++","None",1903,-7.5,1,159,190,-31,20,22,-2,0.476190476190476,NA
"Wednesday, Jun 17","None","NYY","None","CHW","W",1,0,"None","21-23",5,"None","None","None","None","None",NA,"+++++","None",1903,-7.5,1,160,190,-30,21,22,-1,0.488372093023256,NA
"Friday, Jun 19","None","NYY","@","DET","L",0,7,"None","21-24",6,"None","None","None","None","None",NA,"-","None",1903,-7.5,-7,160,197,-37,21,23,-2,0.477272727272727,NA
