"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Friday, May 25","boxscore","HOU","None","PIT","L","3","4","13","16-25","8"," 12.5","Face","Tiefenauer","Sturdivant","3:51","N","11,350","--","None",1962
"Saturday, May 26","boxscore","HOU","None","PIT","W","2","0","None","17-25","7"," 12.5","Golden","Friend","None","2:01","N","13,909","+","None",1962
"Sunday, May 27","boxscore","HOU","None","PIT","L","2","7","None","17-26","7"," 14.0","Law","Johnson","None","2:12","D","11,793","-","None",1962
"Monday, May 28","boxscore","HOU","@","CIN","L","6","9","None","17-27","7"," 14.5","Jay","Farrell","None","2:29","N","8,979","--","None",1962
"Wednesday, May 30","boxscore","HOU","@","CHC","W","8","6","14","18-27","7"," 15.0","Giusti","Schultz","None","4:30","D","17,842","+","None",1962
"Thursday, May 31","boxscore","HOU","@","CHC","W","10","6","None","19-27","7"," 14.0","McMahon","Elston","None","2:52","D","3,722","++","None",1962
"Friday, Jun 1","boxscore","HOU","@","PIT","L","4","8","None","19-28","7"," 15.0","Face","Golden","None","2:37","N","14,961","-","None",1962
"Saturday, Jun 2","boxscore","HOU","@","PIT","L","2","9","None","19-29","7"," 16.5","Law","Farrell","None","2:07","D","11,703","--","None",1962
"Sunday, Jun 3","boxscore","HOU","@","PIT","W","10","6","None","20-29","7"," 16.0","Tiefenauer","Sturdivant","McMahon","3:07","D","None","+","None",1962
"Sunday, Jun 3","boxscore","HOU","@","PIT","W","10","3","None","21-29","7"," 16.0","Johnson","McBean","None","2:10","D","24,282","++","None",1962
"Tuesday, Jun 5","boxscore","HOU","None","MLN","W","7","1","None","22-29","7"," 16.0","Bruce","Piche","None","2:44","N","11,593","+++","None",1962
"Wednesday, Jun 6","boxscore","HOU","None","MLN","L","3","6","None","22-30","7"," 16.0","Burdette","Golden","None","2:41","N","11,569","-","None",1962
