"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Sunday, Aug 8","boxscore","HOU","@","MLN","L","5","8","None","46-63","9"," 17.5","Blasingame","Nottebart","O'Dell","2:14","D","None","-","None",1965
"Sunday, Aug 8","boxscore","HOU","@","MLN","L","3","8","None","46-64","9"," 17.5","O'Dell","Dierker","None","2:28","D","20,882","--","None",1965
"Monday, Aug 9","boxscore","HOU","None","PHI","W","8","0","None","47-64","9"," 17.0","Roberts","Burdette","None","2:35","N","31,209","+","None",1965
"Tuesday, Aug 10","boxscore","HOU","None","PHI","L","0","2","None","47-65","9"," 18.0","Bunning","Bruce","None","2:19","N","24,533","-","None",1965
"Wednesday, Aug 11","boxscore","HOU","None","PHI","L","1","5","None","47-66","9"," 19.0","Culp","Coombs","None","2:17","N","28,224","--","None",1965
"Thursday, Aug 12","boxscore","HOU","None","PHI","L","3","7","None","47-67","9"," 19.5","Short","Farrell","Roebuck","2:13","N","22,011","---","None",1965
"Friday, Aug 13","boxscore","HOU","None","NYM","W-wo","3","2","None","48-67","9"," 19.5","Nottebart","Fisher","None","1:55","N","27,978","+","None",1965
"Saturday, Aug 14","boxscore","HOU","None","NYM","L","0","1","10","48-68","9"," 20.5","Sutherland","Giusti","None","2:48","N","41,732","-","None",1965
"Sunday, Aug 15","boxscore","HOU","None","NYM","L","0","3","None","48-69","9"," 20.5","Jackson","Bruce","None","2:14","D","33,952","--","None",1965
"Monday, Aug 16","boxscore","HOU","None","PIT","W","3","0","None","49-69","9"," 19.5","Roberts","Friend","None","1:58","N","26,549","+","None",1965
"Tuesday, Aug 17","boxscore","HOU","None","PIT","L","6","8","None","49-70","9"," 20.5","Law","Farrell","McBean","2:41","N","24,863","-","None",1965
"Wednesday, Aug 18","boxscore","HOU","None","PIT","L","7","8","None","49-71","9"," 21.0","Veale","Nottebart","McBean","2:54","N","30,470","--","None",1965
"Friday, Aug 20","boxscore","HOU","@","CHC","W","7","4","None","50-71","9"," 21.0","Bruce","Abernathy","None","2:30","D","None","+","None",1965
"Friday, Aug 20","boxscore","HOU","@","CHC","L","0","2","None","50-72","9"," 21.0","Faul","Dierker","None","2:13","D","7,936","-","1965-06-29 (Rain)",1965
"Saturday, Aug 21","boxscore","HOU","@","CHC","W","9","2","None","51-72","9"," 20.5","Roberts","Ellsworth","None","2:22","D","6,362","+","None",1965
"Sunday, Aug 22","boxscore","HOU","@","CHC","L","1","3","None","51-73","9"," 20.5","Hoeft","Farrell","None","1:50","D","9,106","-","None",1965
"Tuesday, Aug 24","boxscore","HOU","@","PHI","W","4","3","None","52-73","9"," 20.0","Nottebart","Wagner","None","2:31","N","13,863","+","None",1965
"Wednesday, Aug 25","boxscore","HOU","@","PHI","W","7","6","None","53-73","9"," 19.0","Taylor","Baldschun","Owens","3:07","N","11,066","++","None",1965
"Thursday, Aug 26","boxscore","HOU","@","PHI","W","6","4","None","54-73","9"," 18.0","Giusti","Wagner","Owens","3:04","N","21,805","+++","None",1965
"Friday, Aug 27","boxscore","HOU","@","PIT","L-wo","9","10","11","54-74","9"," 19.0","McBean","Cuellar","None","3:13","N","12,917","-","None",1965
"Saturday, Aug 28","boxscore","HOU","@","PIT","W","9","6","None","55-74","9"," 19.0","Dierker","Schwall","Giusti","2:51","D","7,051","+","None",1965
"Sunday, Aug 29","boxscore","HOU","@","PIT","L","2","4","None","55-75","9"," 19.0","Wood","Nottebart","Gibbon","2:34","D","30,002","-","None",1965
"Tuesday, Aug 31","boxscore","HOU","@","NYM","W","4","3","None","56-75","9"," 18.0","Roberts","Miller","Owens","2:04","N","None","+","1965-07-11 (Rain)",1965
"Tuesday, Aug 31","boxscore","HOU","@","NYM","W","3","2","None","57-75","9"," 18.0","Bruce","McGraw","None","1:56","N","25,562","++","None",1965
"Wednesday, Sep 1","boxscore","HOU","@","NYM","L","1","4","None","57-76","9"," 17.0","Jackson","Coombs","None","2:20","D","None","-","None",1965
"Wednesday, Sep 1","boxscore","HOU","@","NYM","W","8","5","None","58-76","9"," 17.0","Farrell","Gardner","Giusti","2:43","D","13,880","+","1965-07-11 (Rain)",1965
"Thursday, Sep 2","boxscore","HOU","@","NYM","W","4","3","None","59-76","9"," 17.0","Dierker","Fisher","Raymond","2:56","D","11,430","++","None",1965
"Friday, Sep 3","boxscore","HOU","None","LAD","L","0","3","None","59-77","9"," 18.0","Willhite","Nottebart","Perranoski","2:14","N","31,154","-","None",1965
"Saturday, Sep 4","boxscore","HOU","None","LAD","L","0","5","None","59-78","9"," 19.0","Podres","Bruce","Perranoski","2:13","D","41,951","--","None",1965
"Sunday, Sep 5","boxscore","HOU","None","LAD","L","2","4","None","59-79","9"," 20.0","Reed","Roberts","None","2:05","D","49,442","---","None",1965
"Monday, Sep 6","boxscore","HOU","None","CHC","W","2","1","None","60-79","9"," 19.0","Farrell","Jackson","None","1:51","N","31,814","+","None",1965
"Wednesday, Sep 8","boxscore","HOU","@","SFG","L","3","12","None","60-80","9"," 19.5","Bolin","Nottebart","None","2:27","D","8,922","-","None",1965
"Thursday, Sep 9","boxscore","HOU","@","SFG","L","0","4","None","60-81","9"," 20.5","Marichal","Bruce","None","1:55","D","20,076","--","None",1965
"Friday, Sep 10","boxscore","HOU","@","LAD","L","2","5","None","60-82","9"," 21.5","Drysdale","Roberts","Perranoski","2:00","N","30,200","---","None",1965
"Saturday, Sep 11","boxscore","HOU","@","LAD","L","3","8","None","60-83","9"," 22.5","Osteen","Farrell","Perranoski","2:32","N","30,278","----","None",1965
"Sunday, Sep 12","boxscore","HOU","@","LAD","W","3","2","None","61-83","9"," 23.0","Owens","Perranoski","Raymond","2:40","D","21,918","+","None",1965
"Monday, Sep 13","boxscore","HOU","None","SFG","L","1","5","None","61-84","9"," 24.0","Marichal","Nottebart","None","2:10","N","19,827","-","None",1965
"Tuesday, Sep 14","boxscore","HOU","None","SFG","L","5","7","10","61-85","9"," 25.0","Priddy","Owens","Bolin","3:19","N","15,415","--","None",1965
"Wednesday, Sep 15","boxscore","HOU","None","SFG","L","2","3","None","61-86","9"," 26.0","Linzy","Giusti","None","2:16","N","19,176","---","None",1965
"Thursday, Sep 16","boxscore","HOU","None","SFG","L","1","5","None","61-87","9"," 27.0","Bolin","Farrell","None","1:56","N","15,187","----","None",1965
"Friday, Sep 17","boxscore","HOU","@","CIN","L","2","4","None","61-88","9"," 27.0","Ellis","Dierker","McCool","2:37","N","10,431","-----","None",1965
"Sunday, Sep 19","boxscore","HOU","@","CIN","W","8","6","None","62-88","9"," 28.0","Raymond","Davidson","None","2:49","D","None","+","None",1965
"Sunday, Sep 19","boxscore","HOU","@","CIN","L","3","4","None","62-89","9"," 28.0","Nuxhall","Lamabe","McCool","2:15","D","19,907","-","None",1965
"Tuesday, Sep 21","boxscore","HOU","@","STL","L","0","3","None","62-90","9"," 28.5","Sadecki","Zachary","Woodeshick","2:12","N","4,348","--","None",1965
"Wednesday, Sep 22","boxscore","HOU","@","STL","L","1","4","None","62-91","9"," 28.5","Jaster","Ray","None","2:19","N","5,896","---","None",1965
"Saturday, Sep 25","boxscore","HOU","None","CIN","L","0","1","None","62-92","9"," 29.0","Maloney","Giusti","None","2:16","N","24,443","----","None",1965
"Sunday, Sep 26","boxscore","HOU","None","CIN","W-wo","4","2","None","63-92","9"," 28.0","Farrell","McCool","None","2:29","D","15,540","+","None",1965
"Monday, Sep 27","boxscore","HOU","None","MLN","W-wo","4","3","10","64-92","9"," 28.0","Giusti","Osinski","None","3:15","N","8,380","++","None",1965
"Tuesday, Sep 28","boxscore","HOU","None","MLN","L","1","7","None","64-93","9"," 29.0","Cloninger","Zachary","None","2:15","N","9,809","-","None",1965
"Wednesday, Sep 29","boxscore","HOU","None","MLN","L","1","5","None","64-94","9"," 30.0","Johnson","Lamabe","None","1:56","N","8,895","--","None",1965
"Thursday, Sep 30","boxscore","HOU","None","STL","L","8","19","None","64-95","9"," 31.0","Briles","Ray","Aust","2:49","N","7,494","---","None",1965
"Friday, Oct 1","boxscore","HOU","None","STL","W","4","2","None","65-95","9"," 30.0","Roberts","Sadecki","Raymond","1:47","N","10,247","+","None",1965
"Saturday, Oct 2","boxscore","HOU","None","STL","L","3","6","None","65-96","9"," 31.0","Jaster","Taylor","None","2:07","D","12,698","-","None",1965
"Sunday, Oct 3","boxscore","HOU","None","STL","L","2","5","None","65-97","9"," 32.0","Gibson","Sembera","None","1:54","D","13,535","--","None",1965
"Wednesday, Apr 13","boxscore","HOU","@","LAD","W","7","6","None","1-1","4","1","Owens","Perranoski","None","2:38","N","24,049","+","None",1966
"Thursday, Apr 14","boxscore","HOU","@","LAD","W","4","2","None","2-1","3","0.5","Bruce","Sutton","Sembera","2:33","N","18,550","++","None",1966
"Friday, Apr 15","boxscore","HOU","@","SFG","L","2","6","None","2-2","4","1.5","Shaw","Farrell","Linzy","2:21","N","20,274","-","None",1966
"Saturday, Apr 16","boxscore","HOU","@","SFG","L","1","7","None","2-3","7","2","Marichal","Giusti","None","2:22","D","18,472","--","None",1966
"Sunday, Apr 17","boxscore","HOU","@","SFG","L","1","3","None","2-4","7","3","Bolin","Latman","Linzy","2:08","D","23,403","---","None",1966
"Monday, Apr 18","boxscore","HOU","None","LAD","L","3","6","None","2-5","7","3.5","Sutton","Roberts","Regan","2:33","N","25,182","----","None",1966
"Tuesday, Apr 19","boxscore","HOU","None","LAD","W","8","5","None","3-5","6","3.5","Cuellar","Drysdale","None","2:28","N","12,827","+","None",1966
"Wednesday, Apr 20","boxscore","HOU","None","LAD","L","2","3","None","3-6","8","4.5","Osteen","Bruce","None","2:28","N","16,222","-","None",1966
"Friday, Apr 22","boxscore","HOU","None","SFG","W","2","0","None","4-6","7","4","Giusti","Shaw","None","2:10","N","20,094","+","None",1966
"Saturday, Apr 23","boxscore","HOU","None","SFG","W","4","0","None","5-6","7","4.5","Latman","Bolin","None","2:02","D","11,963","++","None",1966
"Saturday, Apr 23","boxscore","HOU","None","SFG","L","1","2","None","5-7","7","4.5","Perry","Roberts","None","1:57","N","28,041","-","None",1966
"Sunday, Apr 24","boxscore","HOU","None","SFG","L","2","4","None","5-8","7","4.5","Gibbon","Owens","Linzy","2:14","D","20,197","--","None",1966
"Monday, Apr 25","boxscore","HOU","None","CIN","W","2","1","None","6-8","7","3.5","Cuellar","Jay","None","2:17","D","10,378","+","None",1966
"Wednesday, Apr 27","boxscore","HOU","None","STL","W","3","1","None","7-8","6","3","Giusti","Washburn","None","2:02","N","14,666","++","None",1966
"Thursday, Apr 28","boxscore","HOU","None","STL","W","4","2","None","8-8","6","3","Roberts","Briles","Raymond","2:31","N","12,503","+++","None",1966
"Friday, Apr 29","boxscore","HOU","@","ATL","L-wo","3","4","None","8-9","6","3","O'Dell","Sembera","None","2:51","N","14,405","-","None",1966
"Saturday, Apr 30","boxscore","HOU","@","ATL","W","5","4","None","9-9","6","2.5","Owens","Niekro","None","2:40","N","18,891","+","None",1966
"Sunday, May 1","boxscore","HOU","@","ATL","W","7","1","None","10-9","5","2.5","Cuellar","Cloninger","None","2:17","D","16,216","++","None",1966
"Tuesday, May 3","boxscore","HOU","None","CHC","W","10","2","None","11-9","4","2.5","Giusti","Hands","None","2:31","N","14,460","+++","None",1966
"Wednesday, May 4","boxscore","HOU","None","CHC","W","4","0","None","12-9","3","2.5","Roberts","Ellsworth","None","2:14","N","14,947","++++","None",1966
"Thursday, May 5","boxscore","HOU","None","CHC","W-wo","4","3","13","13-9","3","2","Carpin","Abernathy","None","3:29","N","11,494","+++++","None",1966
"Friday, May 6","boxscore","HOU","None","ATL","L","0","6","None","13-10","3","3","Lemaster","Latman","None","2:41","N","22,948","-","None",1966
"Saturday, May 7","boxscore","HOU","None","ATL","W","3","0","None","14-10","3","3","Dierker","Blasingame","Raymond","2:27","N","28,809","+","None",1966
"Sunday, May 8","boxscore","HOU","None","ATL","W-wo","5","4","None","15-10","3","3","Owens","Niekro","None","2:22","D","23,304","++","None",1966
"Tuesday, May 10","boxscore","HOU","@","NYM","L","4","7","None","15-11","3","4","Selma","Giusti","None","2:37","N","8,298","-","None",1966
"Wednesday, May 11","boxscore","HOU","@","NYM","W","6","4","None","16-11","2","4","Latman","McGraw","Owens","2:28","N","9,842","+","None",1966
"Friday, May 13","boxscore","HOU","@","PHI","W","1","0","None","17-11","2","4.5","Farrell","Short","Raymond","2:11","N","10,559","++","None",1966
"Saturday, May 14","boxscore","HOU","@","PHI","W","6","5","11","18-11","2","3.5","Lee","Fox","Raymond","3:37","D","3,957","+++","None",1966
"Sunday, May 15","boxscore","HOU","@","PHI","L","2","5","None","18-12","2","3.5","Jackson","Latman","Bunning","2:37","D","9,208","-","None",1966
"Wednesday, May 18","boxscore","HOU","@","CHC","W","5","1","None","19-12","2","2.5","Giusti","Broglio","None","2:16","D","None","+","None",1966
"Wednesday, May 18","boxscore","HOU","@","CHC","W","4","2","None","20-12","2","2.5","Roberts","Ellsworth","Raymond","2:12","D","3,813","++","1966-05-17 (Rain)",1966
"Thursday, May 19","boxscore","HOU","@","CHC","L","1","7","None","20-13","2","2.5","Hands","Farrell","Abernathy","2:26","D","3,952","-","None",1966
"Friday, May 20","boxscore","HOU","None","PHI","L","5","6","10","20-14","2","2.5","Knowles","Owens","None","3:24","N","29,763","--","None",1966
"Saturday, May 21","boxscore","HOU","None","PHI","W-wo","4","3","11","21-14","2","2.5","Lee","Buhl","None","3:21","N","30,229","+","None",1966
"Sunday, May 22","boxscore","HOU","None","PHI","L","1","6","None","21-15","2","3","Bunning","Latman","None","2:55","D","20,991","-","None",1966
"Monday, May 23","boxscore","HOU","None","PHI","L","0","9","None","21-16","2","3.5","Jackson","Giusti","None","2:39","N","12,384","--","None",1966
"Tuesday, May 24","boxscore","HOU","None","NYM","W","5","3","None","22-16","2","3.5","Raymond","Fisher","None","2:30","N","12,447","+","None",1966
"Wednesday, May 25","boxscore","HOU","None","NYM","W","7","1","None","23-16","2","2.5","Dierker","Gardner","None","2:27","N","17,461","++","None",1966
"Thursday, May 26","boxscore","HOU","None","PIT","L","2","3","None","23-17","2","3.5","Blass","Farrell","Mikkelsen","2:10","N","14,440","-","None",1966
"Friday, May 27","boxscore","HOU","None","PIT","L","0","6","None","23-18","3","3.5","Veale","Latman","Mikkelsen","2:17","N","18,104","--","None",1966
"Saturday, May 28","boxscore","HOU","None","PIT","W","2","1","None","24-18","3","3","Giusti","Cardwell","Raymond","2:25","D","13,235","+","None",1966
"Saturday, May 28","boxscore","HOU","None","PIT","L","2","5","None","24-19","3","3","Fryman","Roberts","None","2:17","N","30,383","-","None",1966
"Sunday, May 29","boxscore","HOU","None","PIT","W-wo","3","2","11","25-19","3","3","Raymond","Face","None","2:44","N","25,404","+","None",1966
"Monday, May 30","boxscore","HOU","@","STL","L","1","3","None","25-20","3","4","Gibson","Farrell","None","1:55","N","14,196","-","None",1966
"Tuesday, May 31","boxscore","HOU","@","STL","L","0","3","None","25-21","3","5","Washburn","Taylor","Woodeshick","2:19","N","13,749","--","None",1966
"Wednesday, Jun 1","boxscore","HOU","@","CIN","W","2","0","None","26-21","3","5","Giusti","Maloney","Raymond","2:15","N","5,106","+","None",1966
"Thursday, Jun 2","boxscore","HOU","@","CIN","W","11","4","12","27-21","3","5","Raymond","Baldschun","Monteagudo","3:49","N","5,152","++","None",1966
"Friday, Jun 3","boxscore","HOU","@","PIT","L","2","7","None","27-22","5","5","Fryman","Dierker","None","2:18","N","11,263","-","None",1966
"Saturday, Jun 4","boxscore","HOU","@","PIT","L","6","9","None","27-23","5","5","Schwall","Raymond","Mikkelsen","2:43","N","6,946","--","None",1966
"Sunday, Jun 5","boxscore","HOU","@","PIT","L","5","10","None","27-24","5","6","Mikkelsen","Bruce","None","2:40","D","27,370","---","None",1966
"Tuesday, Jun 7","boxscore","HOU","None","SFG","W","10","9","None","28-24","5","4.5","Giusti","McDaniel","Raymond","2:47","N","28,467","+","None",1966
"Wednesday, Jun 8","boxscore","HOU","None","SFG","W","6","1","None","29-24","5","3.5","Cuellar","Marichal","None","2:23","N","42,925","++","None",1966
"Thursday, Jun 9","boxscore","HOU","None","SFG","L","1","3","11","29-25","5","4.5","Henry","Owens","None","2:59","N","25,901","-","None",1966
"Friday, Jun 10","boxscore","HOU","None","CHC","W-wo","1","0","10","30-25","5","3.5","Taylor","Holtzman","None","2:28","N","16,691","+","None",1966
"Saturday, Jun 11","boxscore","HOU","None","CHC","L","2","8","None","30-26","5","4.5","Hands","Bruce","Hoeft","2:42","N","29,877","-","None",1966
"Sunday, Jun 12","boxscore","HOU","None","CHC","W","8","4","None","31-26","5","3.5","Giusti","Ellsworth","None","2:42","D","21,314","+","None",1966
"Monday, Jun 13","boxscore","HOU","@","LAD","W","9","6","11","32-26","5","3.5","Owens","Brewer","Roberts","3:21","N","23,710","++","None",1966
"Tuesday, Jun 14","boxscore","HOU","@","LAD","W","3","0","None","33-26","5","3.5","Dierker","Koufax","None","1:56","N","32,165","+++","None",1966
"Wednesday, Jun 15","boxscore","HOU","@","SFG","L","0","4","None","33-27","4","4.5","Gibbon","Farrell","Linzy","1:59","D","9,788","-","None",1966
"Thursday, Jun 16","boxscore","HOU","@","SFG","L","1","2","None","33-28","5","5.5","Marichal","Bruce","None","1:45","D","12,087","--","None",1966
"Saturday, Jun 18","boxscore","HOU","@","CHC","W","13","5","None","34-28","5","5","Giusti","Jenkins","None","2:40","D","10,757","+","None",1966
"Sunday, Jun 19","boxscore","HOU","@","CHC","L","8","9","None","34-29","5","5.5","Hendley","Raymond","Broglio","2:40","D","None","-","None",1966
"Sunday, Jun 19","boxscore","HOU","@","CHC","L","2","8","None","34-30","5","5.5","Holtzman","Dierker","None","2:20","D","21,292","--","None",1966
"Monday, Jun 20","boxscore","HOU","None","LAD","W","4","2","None","35-30","4","5","Cuellar","Drysdale","Owens","1:57","N","33,437","+","None",1966
"Tuesday, Jun 21","boxscore","HOU","None","LAD","W","7","4","None","36-30","4","5","Farrell","Sutton","Cuellar","2:25","N","27,525","++","None",1966
"Wednesday, Jun 22","boxscore","HOU","None","LAD","L","2","5","None","36-31","4","6.5","Koufax","Bruce","None","2:23","N","50,908","-","None",1966
"Thursday, Jun 23","boxscore","HOU","None","STL","L","1","2","None","36-32","4","7.5","Gibson","Giusti","None","2:11","N","23,064","--","None",1966
"Friday, Jun 24","boxscore","HOU","None","STL","W","4","1","None","37-32","4","6.5","Dierker","Briles","None","2:38","N","23,271","+","None",1966
"Saturday, Jun 25","boxscore","HOU","None","STL","W","3","2","None","38-32","4","5.5","Cuellar","Washburn","None","1:59","N","36,825","++","None",1966
"Sunday, Jun 26","boxscore","HOU","None","STL","W-wo","6","3","11","39-32","4","5.5","Raymond","Stallard","None","2:59","D","36,176","+++","None",1966
"Monday, Jun 27","boxscore","HOU","@","PIT","L","5","8","None","39-33","4","6.5","Blass","Bruce","Face","2:26","N","11,679","-","None",1966
"Tuesday, Jun 28","boxscore","HOU","@","PIT","L","3","4","None","39-34","4","7.5","Veale","Giusti","None","2:13","N","11,713","--","None",1966
"Wednesday, Jun 29","boxscore","HOU","@","PIT","L-wo","5","6","None","39-35","5","7.5","O'Dell","Owens","None","2:31","N","12,500","---","None",1966
"Thursday, Jun 30","boxscore","HOU","@","PIT","L","0","9","None","39-36","5","8.5","Law","Roberts","None","2:15","N","15,183","----","None",1966
"Friday, Jul 1","boxscore","HOU","None","CIN","W-wo","2","1","12","40-36","5","8.5","Raymond","McCool","None","2:55","N","19,063","+","None",1966
"Saturday, Jul 2","boxscore","HOU","None","CIN","W","8","5","None","41-36","5","7","Farrell","Osteen","Raymond","2:25","D","13,782","++","None",1966
"Saturday, Jul 2","boxscore","HOU","None","CIN","W","6","3","None","42-36","5","7","Taylor","Ellis","None","2:23","N","30,930","+++","None",1966
"Sunday, Jul 3","boxscore","HOU","None","CIN","W","3","1","None","43-36","5","6","Dierker","Fischer","None","2:10","D","32,670","++++","None",1966
"Monday, Jul 4","boxscore","HOU","None","ATL","L","2","3","None","43-37","5","6.5","Johnson","Giusti","None","1:55","N","26,679","-","None",1966
"Tuesday, Jul 5","boxscore","HOU","None","ATL","L","4","9","None","43-38","5","6.5","Lemaster","Cuellar","None","2:16","N","20,004","--","None",1966
"Wednesday, Jul 6","boxscore","HOU","None","ATL","L","1","8","None","43-39","5","7.5","Schwall","Farrell","Carroll","2:24","N","28,533","---","None",1966
"Friday, Jul 8","boxscore","HOU","@","STL","W","6","1","None","44-39","5","8","Bruce","Gibson","Raymond","2:26","N","30,044","+","None",1966
"Saturday, Jul 9","boxscore","HOU","@","STL","L","1","7","None","44-40","5","9","Washburn","Dierker","None","2:09","N","47,696","-","None",1966
"Sunday, Jul 10","boxscore","HOU","@","STL","W","6","5","None","45-40","5","8","Cuellar","Jackson","None","2:57","D","18,387","+","None",1966
"Thursday, Jul 14","boxscore","HOU","@","ATL","L-wo","6","7","None","45-41","5","8","Olivo","Raymond","None","2:45","N","15,903","-","None",1966
"Saturday, Jul 16","boxscore","HOU","@","ATL","T","1","1","6","45-41","5","8","None","None","None","1:11","D","13,914","-","None",1966
"Sunday, Jul 17","boxscore","HOU","@","NYM","L","2","4","None","45-42","5","9","Arrigo","Dierker","Ribant","2:29","D","None","--","None",1966
"Sunday, Jul 17","boxscore","HOU","@","NYM","L","5","7","None","45-43","5","9","Friend","Giusti","None","2:18","D","28,566","---","None",1966
"Monday, Jul 18","boxscore","HOU","@","NYM","L","1","4","None","45-44","5","9.5","Hamilton","Cuellar","None","2:23","D","None","----","None",1966
"Monday, Jul 18","boxscore","HOU","@","NYM","L","3","6","None","45-45","5","9.5","Shaw","Bruce","Hamilton","2:37","D","20,690","-----","1966-05-12 (Rain)",1966
"Tuesday, Jul 19","boxscore","HOU","None","PHI","W","8","2","None","46-45","5","9","Farrell","Bunning","None","2:25","N","27,648","+","None",1966
"Wednesday, Jul 20","boxscore","HOU","None","PHI","L","9","13","None","46-46","5","10","Herbert","Arlich","Knowles","3:14","N","27,266","-","None",1966
"Thursday, Jul 21","boxscore","HOU","None","PHI","W","3","2","None","47-46","5","9","Giusti","Short","Cuellar","2:35","N","20,002","+","None",1966
"Friday, Jul 22","boxscore","HOU","None","PIT","W","5","2","None","48-46","5","8","Dierker","Blass","None","2:17","N","28,942","++","None",1966
"Saturday, Jul 23","boxscore","HOU","None","PIT","L","3","4","None","48-47","6","9","McBean","Raymond","Mikkelsen","2:30","N","43,825","-","None",1966
"Sunday, Jul 24","boxscore","HOU","None","PIT","L","6","11","None","48-48","6","10","Cardwell","Taylor","Face","3:00","D","34,556","--","None",1966
"Monday, Jul 25","boxscore","HOU","None","NYM","L","4","6","None","48-49","6","10","Ribant","Farrell","Hamilton","2:42","N","18,642","---","None",1966
"Tuesday, Jul 26","boxscore","HOU","None","NYM","L","4","5","None","48-50","6","11","Shaw","Giusti","Gardner","2:23","N","19,943","----","None",1966
"Wednesday, Jul 27","boxscore","HOU","None","NYM","L","2","3","None","48-51","6","11","Friend","Dierker","Hamilton","2:29","N","23,201","-----","None",1966
"Friday, Jul 29","boxscore","HOU","@","CIN","L","3","4","None","48-52","6","12","Maloney","Bruce","None","2:16","N","12,654","------","None",1966
"Saturday, Jul 30","boxscore","HOU","@","CIN","L","1","5","None","48-53","7","12","Ellis","Cuellar","None","2:19","D","4,824","-------","None",1966
"Sunday, Jul 31","boxscore","HOU","@","CIN","W","7","0","None","49-53","7","11","Giusti","Pappas","None","2:24","D","None","+","None",1966
"Sunday, Jul 31","boxscore","HOU","@","CIN","L","6","10","None","49-54","7","11","Davidson","Owens","Nottebart","2:51","D","16,559","-","None",1966
"Monday, Aug 1","boxscore","HOU","@","PHI","L-wo","5","6","10","49-55","7","12","Fox","Owens","None","2:55","N","11,602","--","None",1966
"Tuesday, Aug 2","boxscore","HOU","@","PHI","L","3","4","None","49-56","7","13","Wise","Latman","Fox","2:42","N","10,949","---","None",1966
"Wednesday, Aug 3","boxscore","HOU","@","PHI","L","6","7","None","49-57","7","14","Jackson","Sembera","Knowles","2:44","N","14,918","----","None",1966
"Thursday, Aug 4","boxscore","HOU","@","PHI","L","2","12","None","49-58","7","14","Bunning","Giusti","None","2:34","N","15,389","-----","None",1966
"Friday, Aug 5","boxscore","HOU","None","LAD","L","1","12","None","49-59","8","14","Koufax","Bruce","Miller","2:36","N","46,555","------","None",1966
"Saturday, Aug 6","boxscore","HOU","None","LAD","L","3","4","None","49-60","8","15","Drysdale","Cuellar","Regan","2:24","N","49,003","-------","None",1966
"Sunday, Aug 7","boxscore","HOU","None","LAD","L","3","14","None","49-61","8","15","Moeller","Farrell","Brewer","2:53","D","46,558","--------","None",1966
"Tuesday, Aug 9","boxscore","HOU","@","CHC","W","8","5","None","50-61","8","15","Sembera","Koonce","None","2:23","D","8,170","+","None",1966
"Thursday, Aug 11","boxscore","HOU","@","CHC","L-wo","8","9","11","50-62","8","16","Koonce","Owens","None","2:49","D","None","-","None",1966
"Thursday, Aug 11","boxscore","HOU","@","CHC","W","9","8","None","51-62","8","16","Zachary","Hands","Raymond","2:59","D","11,860","+","1966-08-10 (Rain)",1966
"Friday, Aug 12","boxscore","HOU","@","SFG","L-wo","0","1","None","51-63","8","17","Perry","Cuellar","None","1:52","N","16,934","-","None",1966
"Saturday, Aug 13","boxscore","HOU","@","SFG","W","3","0","None","52-63","8","16","Giusti","Marichal","None","1:59","D","19,599","+","None",1966
"Sunday, Aug 14","boxscore","HOU","@","SFG","L","2","5","None","52-64","8","17.5","Bolin","Latman","None","2:09","D","None","-","None",1966
"Sunday, Aug 14","boxscore","HOU","@","SFG","L","3","5","None","52-65","8","17.5","McDaniel","Raymond","Linzy","2:27","D","35,144","--","None",1966
"Monday, Aug 15","boxscore","HOU","None","ATL","L","2","4","None","52-66","8","18","Cloninger","Zachary","None","2:32","N","21,244","---","None",1966
"Tuesday, Aug 16","boxscore","HOU","None","ATL","L","2","4","None","52-67","8","19","Kelley","Cuellar","Abernathy","2:40","N","18,520","----","None",1966
"Wednesday, Aug 17","boxscore","HOU","None","ATL","L","1","6","None","52-68","9","19","Jarvis","Giusti","Carroll","2:10","N","19,777","-----","None",1966
"Thursday, Aug 18","boxscore","HOU","None","CIN","W","5","4","None","53-68","9","18","Farrell","Nottebart","None","2:38","N","15,290","+","None",1966
"Friday, Aug 19","boxscore","HOU","None","CIN","W-wo","4","3","None","54-68","8","17","Raymond","McCool","None","2:48","N","17,348","++","None",1966
"Saturday, Aug 20","boxscore","HOU","None","CIN","W","5","2","None","55-68","8","17","Cuellar","O'Toole","None","2:23","N","40,765","+++","None",1966
"Sunday, Aug 21","boxscore","HOU","None","CIN","W","11","0","None","56-68","8","17","Giusti","Nuxhall","None","2:31","N","21,589","++++","None",1966
"Monday, Aug 22","boxscore","HOU","None","STL","L","0","3","None","56-69","8","18","Carlton","Bruce","None","2:22","N","19,597","-","None",1966
"Tuesday, Aug 23","boxscore","HOU","None","STL","L","0","3","None","56-70","8","19","Gibson","Dierker","None","2:05","N","17,511","--","None",1966
"Wednesday, Aug 24","boxscore","HOU","None","STL","W","7","2","None","57-70","8","18","Cuellar","Jaster","None","2:34","N","21,507","+","None",1966
"Friday, Aug 26","boxscore","HOU","None","CHC","W-wo","7","4","None","58-70","8","17.5","Farrell","Hendley","None","2:37","N","23,139","++","None",1966
"Saturday, Aug 27","boxscore","HOU","None","CHC","W-wo","5","4","None","59-70","8","17","Raymond","Simmons","None","2:32","N","26,004","+++","None",1966
"Sunday, Aug 28","boxscore","HOU","None","CHC","W","4","3","None","60-70","8","16","Dierker","Hands","Farrell","2:18","D","19,195","++++","None",1966
