date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Tuesday, Jun 18",boxscore,KCR,@,MIL,L,1,9,None,30-41,5, 15.5,Karl,Linton,Potts,2:20,N,"9,116",---,None
"Wednesday, Jun 19",boxscore,KCR,@,MIL,W,8,4,10,31-41,5, 15.5,Pichardo,Mercedes,None,3:06,D,"13,431",+,None
"Friday, Jun 21",boxscore,KCR,@,BAL,L,3,9,None,31-42,5, 15.5,Rhodes,Haney,None,2:58,N,"47,644",-,None
"Saturday, Jun 22",boxscore,KCR,@,BAL,L-wo,3,5,None,31-43,5, 15.5,Erickson,Montgomery,None,2:26,D,"47,534",--,None
"Sunday, Jun 23",boxscore,KCR,@,BAL,W,4,0,None,32-43,5, 14.5,Appier,Krivda,None,2:44,D,"47,608",+,None
"Tuesday, Jun 25",boxscore,KCR,None,MIL,L,3,5,None,32-44,5, 15.5,Bones,Gubicza,Fetters,2:38,N,"14,448",-,None
"Wednesday, Jun 26",boxscore,KCR,None,MIL,W,7,3,None,33-44,5, 14.5,Haney,Givens,None,2:21,N,"14,560",+,None
"Thursday, Jun 27",boxscore,KCR,None,MIL,L,2,6,None,33-45,5, 14.5,McDonald,Belcher,None,2:45,N,"17,670",-,None
"Friday, Jun 28",boxscore,KCR,None,MIN,W,6,2,None,34-45,5, 13.5,Appier,Radke,None,2:28,N,"21,515",+,None
"Saturday, Jun 29",boxscore,KCR,None,MIN,L,7,12,None,34-46,5, 14.5,Trombley,Linton,None,3:26,N,"23,232",-,None
"Sunday, Jun 30",boxscore,KCR,None,MIN,L,2,5,None,34-47,5, 15.5,Rodriguez,Gubicza,Stevens,2:15,D,"28,246",--,None
"Monday, Jul 1",boxscore,KCR,@,CLE,W,4,2,None,35-47,5, 14.5,Haney,Nagy,None,2:23,N,"40,814",+,None
"Tuesday, Jul 2",boxscore,KCR,@,CLE,L-wo,2,3,None,35-48,5, 15.5,Poole,Belcher,None,2:30,N,"42,283",-,None
"Wednesday, Jul 3",boxscore,KCR,@,CLE,L,4,6,None,35-49,5, 16.5,Tavarez,Magnante,Shuey,2:40,N,"42,470",--,None
"Thursday, Jul 4",boxscore,KCR,@,MIN,W,5,3,None,36-49,5, 15.5,Linton,Robertson,Montgomery,2:58,N,"37,295",+,None
"Friday, Jul 5",boxscore,KCR,@,MIN,L-wo,8,9,None,36-50,5, 15.5,Guardado,Montgomery,None,2:56,N,"18,465",-,None
"Saturday, Jul 6",boxscore,KCR,@,MIN,W,8,5,None,37-50,5, 14.5,Haney,Aguilera,Montgomery,2:40,N,"18,699",+,None
"Sunday, Jul 7",boxscore,KCR,@,MIN,W,8,2,None,38-50,5, 14.5,Belcher,Aldred,None,2:42,N,"14,251",++,None
"Thursday, Jul 11",boxscore,KCR,None,CHW,W,3,2,None,39-50,5, 14.5,Haney,Alvarez,None,2:18,N,"22,928",+++,None
"Friday, Jul 12",boxscore,KCR,None,CHW,L,6,7,None,39-51,5, 15.5,Tapani,Belcher,Hernandez,3:11,N,"18,458",-,None
"Saturday, Jul 13",boxscore,KCR,None,CHW,L,1,3,None,39-52,5, 16.5,Fernandez,Rosado,None,2:23,N,"25,363",--,None
"Sunday, Jul 14",boxscore,KCR,None,CHW,L,2,3,None,39-53,5, 16.5,Baldwin,Linton,Hernandez,2:13,D,"17,024",---,None
"Monday, Jul 15",boxscore,KCR,None,CLE,W,6,3,None,40-53,5, 15.5,Magnante,Tavarez,Montgomery,2:54,N,"22,294",+,None
"Tuesday, Jul 16",boxscore,KCR,None,CLE,L,4,10,None,40-54,5, 16.5,McDowell,Haney,None,2:53,N,"16,871",-,None
"Wednesday, Jul 17",boxscore,KCR,None,CLE,W,3,2,None,41-54,5, 15.5,Belcher,Hershiser,Montgomery,2:34,N,"19,532",+,None
"Thursday, Jul 18",boxscore,KCR,@,CHW,W,7,1,None,42-54,5, 15.5,Appier,Fernandez,Pichardo,2:43,N,"17,657",++,None
"Friday, Jul 19",boxscore,KCR,@,CHW,W,7,4,10,43-54,5, 14.5,Montgomery,Hernandez,None,3:34,N,"19,604",+++,None
"Saturday, Jul 20",boxscore,KCR,@,CHW,W,7,5,None,44-54,5, 14.5,Linton,Keyser,Montgomery,3:05,N,"32,282",++++,None
"Sunday, Jul 21",boxscore,KCR,@,CHW,L,3,6,None,44-55,5, 15.5,Alvarez,Haney,Hernandez,2:30,D,"21,253",-,None
"Monday, Jul 22",boxscore,KCR,@,BOS,W,5,2,None,45-55,5, 15.5,Belcher,Gordon,None,2:22,N,"28,109",+,None
"Tuesday, Jul 23",boxscore,KCR,@,BOS,W,7,5,None,46-55,5, 14.5,Appier,Sele,None,3:13,N,"23,711",++,None
"Wednesday, Jul 24",boxscore,KCR,@,BOS,L,2,12,None,46-56,5, 15.5,Moyer,Linton,None,3:09,N,"33,381",-,None
"Thursday, Jul 25",boxscore,KCR,@,NYY,W,7,0,None,47-56,5, 15.5,Rosado,Hutton,None,3:06,N,"23,475",+,None
"Friday, Jul 26",boxscore,KCR,@,NYY,L,1,15,None,47-57,5, 16.5,Key,Haney,None,2:44,N,"23,782",-,None
"Saturday, Jul 27",boxscore,KCR,@,NYY,L,4,5,None,47-58,5, 16.5,Rogers,Belcher,Wetteland,3:02,D,"42,044",--,None
"Sunday, Jul 28",boxscore,KCR,@,NYY,L-wo,2,3,None,47-59,5, 17.5,Wetteland,Jacome,None,2:27,D,"35,658",---,None
