"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Friday, May 13","boxscore","TOR","@","MIN","L-wo",3,4,"11","14-18",5,"Schueler","Willis","None","2:51","N",9667,"-","None",1977,-4.5,-1,130,144,-14,13,19,0.40625,NA
"Saturday, May 14","boxscore","TOR","@","MIN","L",3,13,"None","14-19",6,"Goltz","Singer","None","2:41","D",10503,"--","None",1977,-5.5,-10,133,157,-24,13,20,0.393939393939394,NA
"Sunday, May 15","boxscore","TOR","@","MIN","L",3,5,"None","14-20",6,"Burgmeier","Garvin","Schueler","2:48","D",11401,"---","None",1977,-6,-2,136,162,-26,13,21,0.382352941176471,NA
"Tuesday, May 17","boxscore","TOR","@","MIL","W",3,1,"None","15-20",5,"Jefferson","Haas","Johnson","2:39","N",6810,"+","None",1977,-5,2,139,163,-24,14,21,0.4,NA
"Wednesday, May 18","boxscore","TOR","@","MIL","L-wo",2,3,"10","15-21",5,"Castro","Vuckovich","None","2:59","N",7208,"-","None",1977,-5.5,-1,141,166,-25,14,22,0.388888888888889,NA
"Thursday, May 19","boxscore","TOR","@","MIL","L",3,5,"None","15-22",6,"Slaton","Singer","McClure","2:33","N",8469,"--","None",1977,-6.5,-2,144,171,-27,14,23,0.378378378378378,NA
"Friday, May 20","boxscore","TOR","@","TEX","W",4,3,"None","16-22",6,"Garvin","Blyleven","None","2:26","N",21965,"+","None",1977,-5.5,1,148,174,-26,15,23,0.394736842105263,NA
"Saturday, May 21","boxscore","TOR","@","TEX","W",9,6,"None","17-22",6,"Jefferson","Briles","Willis","2:34","N",20351,"++","None",1977,-5,3,157,180,-23,16,23,0.41025641025641,NA
"Sunday, May 22","boxscore","TOR","@","TEX","L",4,7,"None","17-23",6,"Alexander","Lemanczyk","Knowles","2:56","N",21831,"-","None",1977,-5.5,-3,161,187,-26,16,24,0.4,NA
"Monday, May 23","boxscore","TOR","None","OAK","L",0,3,"None","17-24",6,"Langford","Vuckovich","None","2:11","N",27705,"--","None",1977,-6.5,-3,161,190,-29,16,25,0.390243902439024,NA
"Wednesday, May 25","boxscore","TOR","None","OAK","L",5,6,"10","17-25",7,"Giusti","Garvin","None","3:11","N",36097,"---","None",1977,-7.5,-1,166,196,-30,16,26,0.380952380952381,NA
"Friday, May 27","boxscore","TOR","None","CAL","L",1,4,"None","17-26",7,"Ross","Johnson","Hartzell","2:19","N",24779,"----","None",1977,-8.5,-3,167,200,-33,16,27,0.372093023255814,NA
"Saturday, May 28","boxscore","TOR","None","CAL","W",6,4,"None","18-26",7,"Jefferson","Simpson","Vuckovich","2:28","D",30034,"+","None",1977,-8.5,2,173,204,-31,17,27,0.386363636363636,NA
"Sunday, May 29","boxscore","TOR","None","CAL","L",2,3,"None","18-27",7,"Ryan","Lemanczyk","None","2:29","D",30009,"-","None",1977,-8.5,-1,175,207,-32,17,28,0.377777777777778,NA
"Monday, May 30","boxscore","TOR","None","KCR","L",1,4,"None","18-28",7,"Splittorff","Garvin","Littell","2:26","N",20002,"--","None",1977,-9.5,-3,176,211,-35,17,29,0.369565217391304,NA
"Wednesday, Jun 1","boxscore","TOR","None","KCR","L",3,11,"None","18-29",7,"Leonard","Singer","None","2:42","N",33004,"---","None",1977,-9,-8,179,222,-43,17,30,0.361702127659574,NA
"Friday, Jun 3","boxscore","TOR","@","OAK","L-wo",2,3,"None","18-30",7,"Lacey","Jefferson","None","2:34","N",3030,"----","None",1977,-9.5,-1,181,225,-44,17,31,0.354166666666667,NA
"Saturday, Jun 4","boxscore","TOR","@","OAK","W",4,2,"None","19-30",7,"Lemanczyk","Ellis","Vuckovich","2:27","D",4525,"+","None",1977,-9,2,185,227,-42,18,31,0.36734693877551,NA
"Sunday, Jun 5","boxscore","TOR","@","OAK","W",7,3,"None","20-30",7,"Garvin","Blue","Johnson","2:24","D",4580,"++","None",1977,-8,4,192,230,-38,19,31,0.38,NA
"Tuesday, Jun 7","boxscore","TOR","@","CAL","W",6,3,"None","21-30",7,"Willis","Hartzell","None","2:15","N",10239,"+++","None",1977,-7.5,3,198,233,-35,20,31,0.392156862745098,NA
"Wednesday, Jun 8","boxscore","TOR","@","CAL","L-wo",1,2,"13","21-31",7,"LaRoche","Bruno","None","3:45","N",11678,"-","None",1977,-8.5,-1,199,235,-36,20,32,0.384615384615385,NA
"Friday, Jun 10","boxscore","TOR","@","SEA","W",4,3,"None","22-31",7,"Lemanczyk","Montague","Willis","2:10","N",11786,"+","None",1977,-9,1,203,238,-35,21,32,0.39622641509434,NA
"Saturday, Jun 11","boxscore","TOR","@","SEA","W",5,4,"None","23-31",7,"Johnson","Romo","None","2:31","N",21318,"++","None",1977,-9,1,208,242,-34,22,32,0.407407407407407,NA
"Sunday, Jun 12","boxscore","TOR","@","SEA","L",2,5,"None","23-32",7,"Pole","Vuckovich","None","2:18","D",28412,"-","None",1977,-9,-3,210,247,-37,22,33,0.4,NA
"Tuesday, Jun 14","boxscore","TOR","@","DET","L",2,7,"None","23-33",7,"Hiller","Jefferson","None","2:01","N",11808,"--","None",1977,-10,-5,212,254,-42,22,34,0.392857142857143,NA
"Wednesday, Jun 15","boxscore","TOR","@","DET","L",0,9,"None","23-34",7,"Arroyo","Lemanczyk","None","2:07","N",11349,"---","None",1977,-10.5,-9,212,263,-51,22,35,0.385964912280702,NA
"Thursday, Jun 16","boxscore","TOR","@","DET","L",1,4,"None","23-35",7,"Fidrych","Garvin","None","1:39","N",26041,"----","None",1977,-11,-3,213,267,-54,22,36,0.379310344827586,NA
"Friday, Jun 17","boxscore","TOR","None","BAL","L",3,5,"None","23-36",7,"Martinez","Vuckovich","None","2:12","N",26183,"-----","None",1977,-11.5,-2,216,272,-56,22,37,0.372881355932203,NA
"Saturday, Jun 18","boxscore","TOR","None","BAL","L",2,4,"None","23-37",7,"Palmer","Jefferson","Martinez","2:23","N",33201,"------","None",1977,-12.5,-2,218,276,-58,22,38,0.366666666666667,NA
"Sunday, Jun 19","boxscore","TOR","None","BAL","W",7,1,"None","24-37",7,"Lemanczyk","Flanagan","None","2:09","D",34556,"+","None",1977,-12.5,6,225,277,-52,23,38,0.377049180327869,NA
"Monday, Jun 20","boxscore","TOR","None","CLE","L",5,8,"11","24-38",7,"Dobson","Willis","Kern","3:37","N",24568,"-","None",1977,-13.5,-3,230,285,-55,23,39,0.370967741935484,NA
"Tuesday, Jun 21","boxscore","TOR","None","CLE","L",0,4,"None","24-39",7,"Waits","Garvin","Kern","2:42","N",18039,"--","None",1977,-14.5,-4,230,289,-59,23,40,0.365079365079365,NA
"Wednesday, Jun 22","boxscore","TOR","None","CLE","L",5,7,"12","24-40",7,"Kern","Johnson","Monge","3:25","N",29750,"---","None",1977,-15.5,-2,235,296,-61,23,41,0.359375,NA
"Thursday, Jun 23","boxscore","TOR","None","CLE","L",0,4,"None","24-41",7,"Garland","Jefferson","None","1:47","N",16747,"----","None",1977,-16.5,-4,235,300,-65,23,42,0.353846153846154,NA
"Friday, Jun 24","boxscore","TOR","@","BAL","W",5,4,"None","25-41",7,"Lemanczyk","Holdsworth","Willis","2:36","N",8133,"+","None",1977,-15.5,1,240,304,-64,24,42,0.363636363636364,NA
"Saturday, Jun 25","boxscore","TOR","@","BAL","L",2,5,"None","25-42",7,"Martinez","Byrd","None","2:09","N",16794,"-","None",1977,-16,-3,242,309,-67,24,43,0.358208955223881,NA
"Saturday, Jun 25","boxscore","TOR","@","BAL","L",1,3,"None","25-43",7,"Grimsley","Garvin","None","2:15","N",16794,"--","None",1977,-16,-2,243,312,-69,24,44,0.352941176470588,NA
"Sunday, Jun 26","boxscore","TOR","@","BAL","W",2,0,"None","26-43",7,"Vuckovich","Palmer","None","2:33","D",16761,"+","None",1977,-15,2,245,312,-67,25,44,0.36231884057971,NA
"Monday, Jun 27","boxscore","TOR","None","NYY","W",7,6,"None","27-43",7,"Jefferson","Guidry","Johnson","2:05","N",29138,"++","None",1977,-14,1,252,318,-66,26,44,0.371428571428571,NA
"Tuesday, Jun 28","boxscore","TOR","None","NYY","W",8,5,"None","28-43",7,"Lemanczyk","Clay","None","2:18","N",40116,"+++","None",1977,-13.5,3,260,323,-63,27,44,0.380281690140845,NA
"Tuesday, Jun 28","boxscore","TOR","None","NYY","L",1,5,"11","28-44",7,"Tidrow","Johnson","None","2:27","N",40116,"-","None",1977,-13.5,-4,261,328,-67,27,45,0.375,NA
"Thursday, Jun 30","boxscore","TOR","None","NYY","L",5,11,"None","28-45",7,"Hunter","Garvin","None","2:28","N",33283,"--","None",1977,-13.5,-6,266,339,-73,27,46,0.36986301369863,NA
"Friday, Jul 1","boxscore","TOR","None","TEX","L",8,11,"None","28-46",7,"Alexander","Byrd","Devine","3:01","N",21089,"---","None",1977,-13.5,-3,274,350,-76,27,47,0.364864864864865,NA
"Saturday, Jul 2","boxscore","TOR","None","TEX","W",10,7,"None","29-46",7,"Vuckovich","Barker","None","2:53","D",19176,"+","None",1977,-13,3,284,357,-73,28,47,0.373333333333333,NA
"Sunday, Jul 3","boxscore","TOR","None","TEX","L",3,6,"10","29-47",7,"Ellis","Willis","Knowles","2:53","D",NA,"-","None",1977,-13,-3,287,363,-76,28,48,0.368421052631579,NA
"Sunday, Jul 3","boxscore","TOR","None","TEX","W",5,3,"None","30-47",7,"Jefferson","Knowles","None","2:18","D",32066,"+","None",1977,-13,2,292,366,-74,29,48,0.376623376623377,NA
"Monday, Jul 4","boxscore","TOR","@","BOS","L",6,9,"None","30-48",7,"Campbell","Hartenstein","None","2:46","D",21073,"-","None",1977,-14,-3,298,375,-77,29,49,0.371794871794872,NA
"Wednesday, Jul 6","boxscore","TOR","@","BOS","L",5,9,"None","30-49",7,"Campbell","Vuckovich","None","2:58","N",34956,"--","None",1977,-15,-4,303,384,-81,29,50,0.367088607594937,NA
"Thursday, Jul 7","boxscore","TOR","@","BOS","L",2,5,"None","30-50",7,"Stanley","Jefferson","Campbell","2:26","N",32641,"---","None",1977,-16,-3,305,389,-84,29,51,0.3625,NA
"Friday, Jul 8","boxscore","TOR","@","CLE","L",5,11,"None","30-51",7,"Eckersley","Lemanczyk","None","2:28","N",12719,"----","None",1977,-17,-6,310,400,-90,29,52,0.358024691358025,NA
"Saturday, Jul 9","boxscore","TOR","@","CLE","L-wo",2,3,"None","30-52",7,"Garland","Garvin","None","2:13","N",19594,"-----","None",1977,-17,-1,312,403,-91,29,53,0.353658536585366,NA
"Sunday, Jul 10","boxscore","TOR","@","CLE","W",5,3,"None","31-52",7,"Byrd","Dobson","Vuckovich","2:34","D",12935,"+","None",1977,-16.5,2,317,406,-89,30,53,0.36144578313253,NA
"Monday, Jul 11","boxscore","TOR","@","DET","L",7,9,"None","31-53",7,"Grilli","DeBarr","None","2:30","N",9057,"-","None",1977,-17.5,-2,324,415,-91,30,54,0.357142857142857,NA
"Tuesday, Jul 12","boxscore","TOR","@","DET","L",1,2,"None","31-54",7,"Crawford","Jefferson","None","1:59","D",25007,"--","None",1977,-17.5,-1,325,417,-92,30,55,0.352941176470588,NA
"Wednesday, Jul 13","boxscore","TOR","@","CHW","L",3,6,"None","31-55",7,"Knapp","Singer","Johnson","2:32","D",NA,"---","None",1977,-18,-3,328,423,-95,30,56,0.348837209302326,NA
"Wednesday, Jul 13","boxscore","TOR","@","CHW","W",5,3,"11","32-55",7,"Lemanczyk","Kucek","None","3:02","N",25669,"+","None",1977,-18,2,333,426,-93,31,56,0.35632183908046,NA
"Thursday, Jul 14","boxscore","TOR","@","CHW","L",1,2,"None","32-56",7,"Kravec","Garvin","None","2:02","D",15937,"-","None",1977,-19,-1,334,428,-94,31,57,0.352272727272727,NA
"Friday, Jul 15","boxscore","TOR","None","DET","W-wo",8,6,"13","33-56",7,"Vuckovich","Crawford","None","3:21","N",23749,"+","None",1977,-18.5,2,342,434,-92,32,57,0.359550561797753,NA
"Saturday, Jul 16","boxscore","TOR","None","DET","L",3,11,"None","33-57",7,"Rozema","Willis","None","2:43","D",35151,"-","None",1977,-19.5,-8,345,445,-100,32,58,0.355555555555556,NA
"Sunday, Jul 17","boxscore","TOR","None","DET","W",3,2,"None","34-57",7,"Jefferson","Arroyo","None","2:06","D",NA,"+","None",1977,-19,1,348,447,-99,33,58,0.362637362637363,NA
"Sunday, Jul 17","boxscore","TOR","None","DET","L",6,7,"11","34-58",7,"Hiller","Lemanczyk","None","2:58","D",36613,"-","None",1977,-19,-1,354,454,-100,33,59,0.358695652173913,NA
"Friday, Jul 22","boxscore","TOR","None","CHW","L",3,10,"None","34-59",7,"Wood","Garvin","LaGrow","2:35","N",33175,"--","None",1977,-19.5,-7,357,464,-107,33,60,0.354838709677419,NA
"Saturday, Jul 23","boxscore","TOR","None","CHW","L",3,10,"None","34-60",7,"Kravec","Lemanczyk","None","2:18","D",24263,"---","None",1977,-19.5,-7,360,474,-114,33,61,0.351063829787234,NA
"Sunday, Jul 24","boxscore","TOR","@","DET","L",2,6,"None","34-61",7,"Sykes","Jefferson","None","2:06","D",20177,"----","None",1977,-20.5,-4,362,480,-118,33,62,0.347368421052632,NA
"Monday, Jul 25","boxscore","TOR","@","DET","L",3,8,"None","34-62",7,"Wilcox","Byrd","Crawford","2:14","N",16911,"-----","None",1977,-21.5,-5,365,488,-123,33,63,0.34375,NA
"Tuesday, Jul 26","boxscore","TOR","None","TEX","L",0,14,"None","34-63",7,"Blyleven","Clancy","None","2:41","N",22357,"------","None",1977,-21.5,-14,365,502,-137,33,64,0.34020618556701,NA
"Thursday, Jul 28","boxscore","TOR","None","TEX","L",0,3,"None","34-64",7,"Perry","Garvin","None","2:32","N",17512,"-------","None",1977,-22,-3,365,505,-140,33,65,0.336734693877551,NA
"Friday, Jul 29","boxscore","TOR","None","MIL","L",3,7,"None","34-65",7,"Haas","Jefferson","None","2:24","N",14303,"--------","None",1977,-23,-4,368,512,-144,33,66,0.333333333333333,NA
"Saturday, Jul 30","boxscore","TOR","None","MIL","L",2,3,"None","34-66",7,"Slaton","Byrd","None","2:02","N",18639,"---------","None",1977,-24,-1,370,515,-145,33,67,0.33,NA
"Sunday, Jul 31","boxscore","TOR","None","MIL","W",4,1,"None","35-66",7,"Lemanczyk","Augustine","Murphy","2:14","D",28110,"+","None",1977,-23,3,374,516,-142,34,67,0.336633663366337,NA
"Monday, Aug 1","boxscore","TOR","None","MIL","W",3,2,"None","36-66",7,"Clancy","Sorensen","None","1:48","N",17590,"++","None",1977,-23,1,377,518,-141,35,67,0.343137254901961,NA
"Wednesday, Aug 3","boxscore","TOR","@","KCR","L",4,7,"None","36-67",7,"Splittorff","Garvin","Bird","2:24","N",16775,"-","None",1977,-24,-3,381,525,-144,35,68,0.339805825242718,NA
"Thursday, Aug 4","boxscore","TOR","@","KCR","L",0,8,"None","36-68",7,"Gura","Jefferson","None","2:22","N",17661,"--","None",1977,-25,-8,381,533,-152,35,69,0.336538461538462,NA
"Friday, Aug 5","boxscore","TOR","@","MIL","W",6,1,"None","37-68",7,"Byrd","Slaton","None","2:40","N",13609,"+","None",1977,-25,5,387,534,-147,36,69,0.342857142857143,NA
"Saturday, Aug 6","boxscore","TOR","@","MIL","W",5,3,"None","38-68",7,"Lemanczyk","Augustine","Johnson","2:27","D",12720,"++","None",1977,-25,2,392,537,-145,37,69,0.349056603773585,NA
"Sunday, Aug 7","boxscore","TOR","@","MIL","L",2,6,"None","38-69",7,"Sorensen","Garvin","McClure","2:26","D",NA,"-","None",1977,-26.5,-4,394,543,-149,37,70,0.345794392523364,NA
"Sunday, Aug 7","boxscore","TOR","@","MIL","L",5,7,"None","38-70",7,"Haas","Clancy","Hinds","3:04","D",12070,"--","None",1977,-26.5,-2,399,550,-151,37,71,0.342592592592593,NA
"Tuesday, Aug 9","boxscore","TOR","None","MIN","W",6,2,"None","39-70",7,"Jefferson","Thormodsgard","None","2:34","N",23450,"+","None",1977,-26,4,405,552,-147,38,71,0.348623853211009,NA
"Thursday, Aug 11","boxscore","TOR","None","MIN","L",3,7,"None","39-71",7,"Goltz","Byrd","Johnson","2:45","N",18430,"-","None",1977,-26.5,-4,408,559,-151,38,72,0.345454545454545,NA
"Friday, Aug 12","boxscore","TOR","None","KCR","L",8,9,"None","39-72",7,"Pattin","Lemanczyk","Bird","2:40","N",19143,"--","None",1977,-27.5,-1,416,568,-152,38,73,0.342342342342342,NA
"Saturday, Aug 13","boxscore","TOR","None","KCR","L",3,5,"None","39-73",7,"Splittorff","Clancy","Bird","2:30","N",25027,"---","None",1977,-28.5,-2,419,573,-154,38,74,0.339285714285714,NA
"Sunday, Aug 14","boxscore","TOR","None","KCR","W",6,3,"None","40-73",7,"Murphy","Leonard","Vuckovich","2:35","D",27430,"+","None",1977,-28.5,3,425,576,-151,39,74,0.345132743362832,NA
"Monday, Aug 15","boxscore","TOR","None","CAL","L",4,7,"None","40-74",7,"Tanana","Jefferson","None","2:44","N",18453,"-","None",1977,-29.5,-3,429,583,-154,39,75,0.342105263157895,NA
"Tuesday, Aug 16","boxscore","TOR","None","CAL","L",2,7,"None","40-75",7,"Hartzell","Byrd","None","2:35","N",15424,"--","None",1977,-30.5,-5,431,590,-159,39,76,0.339130434782609,NA
"Wednesday, Aug 17","boxscore","TOR","@","TEX","L-wo",5,6,"10","40-76",7,"Devine","Willis","None","3:07","N",12913,"---","None",1977,-30.5,-1,436,596,-160,39,77,0.336206896551724,NA
"Thursday, Aug 18","boxscore","TOR","@","TEX","L",0,8,"None","40-77",7,"Ellis","Clancy","None","2:24","N",15740,"----","None",1977,-31.5,-8,436,604,-168,39,78,0.333333333333333,NA
"Friday, Aug 19","boxscore","TOR","@","CAL","W",3,1,"None","41-77",7,"Garvin","Ryan","Vuckovich","3:03","N",16570,"+","None",1977,-30.5,2,439,605,-166,40,78,0.338983050847458,NA
"Saturday, Aug 20","boxscore","TOR","@","CAL","W",5,4,"None","42-77",7,"Vuckovich","LaRoche","None","2:45","N",15311,"++","None",1977,-29.5,1,444,609,-165,41,78,0.34453781512605,NA
"Sunday, Aug 21","boxscore","TOR","@","CAL","L",2,3,"None","42-78",7,"Tanana","Byrd","None","2:29","D",12421,"-","None",1977,-29.5,-1,446,612,-166,41,79,0.341666666666667,NA
"Monday, Aug 22","boxscore","TOR","@","OAK","L",2,5,"None","42-79",7,"Medich","Lemanczyk","Lacey","2:27","N",4429,"--","None",1977,-29.5,-3,448,617,-169,41,80,0.338842975206612,NA
"Tuesday, Aug 23","boxscore","TOR","@","OAK","W",8,1,"None","43-79",7,"Clancy","Umbarger","None","2:41","N",3797,"+","None",1977,-29,7,456,618,-162,42,80,0.344262295081967,NA
"Wednesday, Aug 24","boxscore","TOR","@","SEA","W",7,0,"None","44-79",7,"Garvin","Pole","None","2:31","N",NA,"++","None",1977,-28.5,7,463,618,-155,43,80,0.349593495934959,NA
"Wednesday, Aug 24","boxscore","TOR","@","SEA","W",9,3,"None","45-79",7,"Jefferson","Abbott","None","2:14","N",13253,"+++","None",1977,-28.5,6,472,621,-149,44,80,0.354838709677419,NA
"Friday, Aug 26","boxscore","TOR","None","OAK","L",4,8,"None","45-80",7,"Torrealba","Byrd","None","2:40","N",22536,"-","None",1977,-30,-4,476,629,-153,44,81,0.352,NA
"Saturday, Aug 27","boxscore","TOR","None","OAK","L",8,9,"None","45-81",7,"Medich","Lemanczyk","Bair","2:52","D",23651,"--","None",1977,-30,-1,484,638,-154,44,82,0.349206349206349,NA
"Sunday, Aug 28","boxscore","TOR","None","OAK","L",2,6,"None","45-82",7,"Blue","Clancy","None","2:12","D",24087,"---","None",1977,-31,-4,486,644,-158,44,83,0.346456692913386,NA
"Monday, Aug 29","boxscore","TOR","@","MIN","L-wo",6,7,"10","45-83",7,"Schueler","Murphy","None","2:58","N",NA,"----","None",1977,-32.5,-1,492,651,-159,44,84,0.34375,NA
"Monday, Aug 29","boxscore","TOR","@","MIN","L",5,6,"None","45-84",7,"Johnson","Willis","None","2:31","N",10364,"-----","None",1977,-32.5,-1,497,657,-160,44,85,0.341085271317829,NA
"Friday, Sep 2","boxscore","TOR","None","SEA","L",3,4,"None","45-85",7,"Abbott","Lemanczyk","None","2:17","D",13502,"------","None",1977,-34.5,-1,500,661,-161,44,86,0.338461538461538,NA
"Saturday, Sep 3","boxscore","TOR","None","SEA","L",2,6,"None","45-86",7,"Montague","Jefferson","Romo","2:43","D",15109,"-------","None",1977,-35.5,-4,502,667,-165,44,87,0.33587786259542,NA
"Sunday, Sep 4","boxscore","TOR","None","SEA","L",2,7,"None","45-87",7,"Mitchell","Garvin","None","2:15","D",17084,"--------","None",1977,-36.5,-5,504,674,-170,44,88,0.333333333333333,NA
"Monday, Sep 5","boxscore","TOR","None","BOS","L",0,8,"None","45-88",7,"Aase","Byrd","None","2:26","N",NA,"---------","None",1977,-36.5,-8,504,682,-178,44,89,0.330827067669173,NA
"Monday, Sep 5","boxscore","TOR","None","BOS","L",0,6,"None","45-89",7,"Cleveland","Clancy","None","2:15","N",30373,"----------","1977-04-23 (Rain)",1977,-36.5,-6,504,688,-184,44,90,0.328358208955224,NA
"Tuesday, Sep 6","boxscore","TOR","None","BOS","L",2,11,"None","45-90",7,"Lee","Darr","None","2:43","N",17666,"-----------","None",1977,-37.5,-9,506,699,-193,44,91,0.325925925925926,NA
