"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Sunday, May 8","boxscore","SEA","@","BAL","L",4,6,"None","9-22",7,"Palmer","Pole","McGregor","2:35","D",9638,"-----","None",1977,-10.5,-2,106,167,-61,9,21,-12,0.3,NA
"Monday, May 9","boxscore","SEA","@","TOR","L",4,10,"None","9-23",7,"Singer","Thomas","None","2:35","N",11680,"------","None",1977,-11,-6,110,177,-67,9,22,-13,0.290322580645161,NA
"Tuesday, May 10","boxscore","SEA","@","TOR","L",3,9,"None","9-24",7,"Garvin","Montague","None","2:37","N",13017,"-------","None",1977,-12,-6,113,186,-73,9,23,-14,0.28125,NA
"Wednesday, May 11","boxscore","SEA","None","NYY","W",5,2,"None","10-24",7,"Laxton","Holtzman","Romo","2:04","N",23978,"+","None",1977,-11,3,118,188,-70,10,23,-13,0.303030303030303,NA
"Thursday, May 12","boxscore","SEA","None","NYY","W",8,6,"None","11-24",7,"Moore","Hunter","None","2:39","N",42132,"++","None",1977,-10.5,2,126,194,-68,11,23,-12,0.323529411764706,NA
"Friday, May 13","boxscore","SEA","None","BOS","L",5,7,"None","11-25",7,"Willoughby","Romo","Campbell","2:33","N",20523,"-","None",1977,-11.5,-2,131,201,-70,11,24,-13,0.314285714285714,NA
"Saturday, May 14","boxscore","SEA","None","BOS","L",4,8,"None","11-26",7,"Stanley","Thomas","Campbell","2:29","N",52485,"--","None",1977,-12.5,-4,135,209,-74,11,25,-14,0.305555555555556,NA
"Sunday, May 15","boxscore","SEA","None","BOS","L",4,5,"None","11-27",7,"Lee","Jones","Campbell","2:50","D",47353,"---","None",1977,-13.5,-1,139,214,-75,11,26,-15,0.297297297297297,NA
"Monday, May 16","boxscore","SEA","None","BAL","W",8,3,"None","12-27",7,"Abbott","Palmer","Kekich","2:48","N",10388,"+","None",1977,-13.5,5,147,217,-70,12,26,-14,0.315789473684211,NA
"Tuesday, May 17","boxscore","SEA","None","BAL","&V",10,2,"None","13-27",7,"Romo","May","None","2:45","N",10920,"++","None",1977,-13.5,8,157,219,-62,13,27,-14,0.325,NA
"Thursday, May 19","boxscore","SEA","@","OAK","W",3,0,"None","14-27",7,"Pagan","Langford","None","2:22","D",2179,"+++","None",1977,-12.5,3,160,219,-59,14,27,-13,0.341463414634146,NA
"Friday, May 20","boxscore","SEA","@","OAK","L",5,14,"None","14-28",7,"Medich","Jones","None","2:33","N",2660,"-","None",1977,-12.5,-9,165,233,-68,14,28,-14,0.333333333333333,NA
