team,num_fielders,field_ra_per_game,defEff,field_games_played,field_games_started,field_games_completed,field_innings_played,defensive_chances,putouts,assists,field_errors,double_plays,fielding_pct,field_rtot,field_rtot_per_year,field_rdrs,field_rdrs_per_year
ARI,45,4.83,.683,162,1458,1131,13029.0,6073,4343,1606,124,133,.980,-4,0,-1,0
ATL,45,3.96,.686,162,1458,1121,13164.0,6198,4388,1714,96,159,.985,19,2,-5,0
BAL,48,5.41,.680,162,1458,1176,12861.0,6040,4287,1663,90,151,.985,-5,-1,-10,0
BOS,52,4.54,.678,162,1458,1126,12930.0,5844,4310,1452,82,121,.986,-24,-2,-41,-4
CHC,45,4.17,.698,161,1449,1060,13008.0,6014,4336,1573,105,144,.983,2,0,-25,0
CHW,44,4.52,.689,162,1458,1149,12957.0,6101,4319,1669,113,158,.981,-38,-3,-11,0
CIN,45,4.46,.704,162,1458,1118,13125.0,6060,4375,1596,89,161,.985,74,7,33,3
CLE,51,5.34,.681,162,1458,1189,12906.0,6050,4302,1651,97,170,.984,-21,-2,-23,0
COL,45,4.41,.688,162,1458,1065,12945.0,6167,4315,1765,87,146,.986,-12,-1,13,0
DET,44,4.57,.694,163,1467,1082,13023.0,6045,4341,1616,88,164,.985,37,3,31,0
FLA,44,4.73,.686,162,1458,1086,13017.0,5914,4339,1469,106,129,.982,-8,-1,-70,-1
HOU,42,4.75,.677,162,1458,1147,12870.0,6087,4290,1719,78,161,.987,-47,-4,3,0
KCR,43,5.20,.675,162,1458,1102,12834.0,5964,4278,1569,117,159,.980,-56,-5,-99,-9
LAA,46,4.70,.687,162,1458,1159,13005.0,6043,4335,1623,85,174,.986,0,0,71,7
LAD,46,3.77,.713,162,1458,1139,13260.0,6097,4420,1594,83,134,.986,24,2,14,1
MIL,45,5.05,.689,162,1458,1165,12915.0,5993,4305,1590,98,149,.984,-6,-1,-8,-1
MIN,41,4.69,.689,163,1467,1106,13077.0,6000,4359,1565,76,135,.987,-36,-3,-47,-4
NYM,51,4.67,.693,162,1458,1128,12834.0,5932,4278,1557,97,134,.984,12,1,13,0
NYY,44,4.65,.698,162,1458,1024,13050.0,5929,4350,1493,86,131,.985,8,1,-24,-2
OAK,50,4.70,.682,162,1458,1116,13026.0,6039,4342,1592,105,155,.983,-60,-5,-31,-3
PHI,41,4.38,.693,162,1458,1196,13101.0,6000,4367,1557,76,132,.987,17,2,10,1
PIT,49,4.77,.690,161,1449,1237,12765.0,6094,4255,1766,73,171,.988,-14,-1,30,3
SDP,54,4.75,.692,162,1458,1161,13056.0,6012,4352,1566,94,146,.984,-32,-3,-11,0
SEA,46,4.27,.712,162,1458,1217,13074.0,5988,4358,1525,105,150,.982,79,7,86,8
SFG,44,3.77,.706,162,1458,1051,13014.0,5937,4338,1511,88,138,.985,48,4,15,1
STL,42,3.95,.694,162,1458,972,12966.0,6273,4322,1855,96,167,.985,37,3,36,1
TBR,41,4.65,.695,162,1458,1105,12846.0,5891,4282,1511,98,135,.983,57,5,31,0
TEX,44,4.57,.697,162,1458,1219,12912.0,6013,4304,1603,106,168,.982,76,7,9,1
TOR,44,4.76,.681,162,1458,1206,13059.0,6169,4353,1740,76,168,.988,16,1,63,1
WSN,55,5.40,.683,162,1458,1082,12819.0,6158,4273,1742,143,155,.977,-17,-2,-48,-1
