"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Jul 5","None","STL","None","LOU","L",4,7,"None","21-14",2,"None","None","None","None","None",NA,"--","1882-06-30 (Unknown reason)",1882,-2,-3,207,190,17,20,15,5,0.571428571428571,NA
"Thursday, Jul 6","None","STL","None","LOU","W",21,17,"None","22-14",2,"None","None","None","None","None",NA,"+","1882-07-06 (Site change)",1882,-2,4,228,207,21,21,15,6,0.583333333333333,NA
"Friday, Jul 7","None","STL","@","LOU","L",3,8,"None","22-15",2,"None","None","None","None","None",NA,"-","1882-07-05 (Unknown reason)",1882,-3,-5,231,215,16,21,16,5,0.567567567567568,NA
"Saturday, Jul 8","None","STL","@","LOU","L",3,8,"None","22-16",2,"None","None","None","None","None",NA,"--","None",1882,-3,-5,234,223,11,21,17,4,0.552631578947368,NA
"Sunday, Jul 9","None","STL","@","LOU","L",4,11,"None","22-17",3,"None","None","None","None","None",NA,"---","1882-07-10 (Unknown reason)",1882,-3.5,-7,238,234,4,21,18,3,0.538461538461538,NA
"Tuesday, Jul 11","None","STL","@","PIT","L",1,6,"None","22-18",3,"None","None","None","None","None",NA,"----","None",1882,-3.5,-5,239,240,-1,21,19,2,0.525,NA
"Wednesday, Jul 12","None","STL","@","PIT","L",1,6,"None","22-19",4,"None","None","None","None","None",NA,"-----","1882-05-11 (Rain)",1882,-4,-5,240,246,-6,21,20,1,0.51219512195122,NA
"Thursday, Jul 13","None","STL","@","PIT","W",3,1,"None","23-19",3,"None","None","None","None","None",NA,"+","None",1882,-4,2,243,247,-4,22,20,2,0.523809523809524,NA
"Saturday, Jul 15","None","STL","@","PIT","L",1,10,"None","23-20",3,"None","None","None","None","None",NA,"-","None",1882,-5.5,-9,244,257,-13,22,21,1,0.511627906976744,NA
"Tuesday, Jul 18","None","STL","@","PHA","W",6,2,"None","24-20",3,"None","None","None","None","None",NA,"+","None",1882,-5,4,250,259,-9,23,21,2,0.522727272727273,NA
"Thursday, Jul 20","None","STL","@","PHA","L",5,17,"None","24-21",3,"None","None","None","None","None",NA,"-","None",1882,-5.5,-12,255,276,-21,23,22,1,0.511111111111111,NA
"Friday, Jul 21","None","STL","@","PHA","L",3,8,"None","24-22",4,"None","None","None","None","None",NA,"--","None",1882,-6.5,-5,258,284,-26,23,23,0,0.5,NA
"Saturday, Jul 22","None","STL","@","PHA","L",8,9,"None","24-23",4,"None","None","None","None","None",NA,"---","None",1882,-7.5,-1,266,293,-27,23,24,-1,0.48936170212766,NA
"Tuesday, Jul 25","None","STL","@","BAL","W",7,2,"None","25-23",3,"None","None","None","None","None",NA,"+","None",1882,-7,5,273,295,-22,24,24,0,0.5,NA
"Wednesday, Jul 26","None","STL","@","BAL","L",4,7,"None","25-24",4,"None","None","None","None","None",NA,"-","None",1882,-7.5,-3,277,302,-25,24,25,-1,0.489795918367347,NA
"Saturday, Jul 29","None","STL","@","CIN","L",3,5,"None","25-25",4,"None","None","None","None","None",NA,"--","1882-08-04 (Unknown reason)",1882,-8.5,-2,280,307,-27,24,26,-2,0.48,NA
"Tuesday, Aug 1","None","STL","@","CIN","W",1,0,"None","26-25",4,"None","None","None","None","None",NA,"+","None",1882,-7.5,1,281,307,-26,25,26,-1,0.490196078431373,NA
"Wednesday, Aug 2","None","STL","@","CIN","L",0,13,"None","26-26",4,"None","None","None","None","None",NA,"-","None",1882,-8.5,-13,281,320,-39,25,27,-2,0.480769230769231,NA
"Thursday, Aug 3","None","STL","@","CIN","L",3,8,"None","26-27",4,"None","None","None","None","None",NA,"--","None",1882,-9.5,-5,284,328,-44,25,28,-3,0.471698113207547,NA
