team,num_fielders,field_ra_per_game,defEff,field_games_played,field_games_started,field_games_completed,field_innings_played,defensive_chances,putouts,assists,field_errors,double_plays,fielding_pct,field_rtot,field_rtot_per_year,field_rdrs,field_rdrs_per_year
ARI,50,5.49,.665,162,1458,1105,13062.0,6118,4354,1663,101,143,.983,-34,-3,-17,0
ATL,59,4.84,.692,161,1449,1164,13029.0,6009,4343,1565,101,134,.983,11,1,-28,-3
BAL,46,4.41,.688,162,1458,1108,12888.0,5955,4296,1579,80,165,.987,-12,-1,-29,0
BOS,50,4.28,.695,162,1458,1143,12957.0,5821,4319,1427,75,139,.987,23,2,49,1
CHC,45,3.43,.728,162,1458,1017,13137.0,6115,4379,1635,101,116,.983,95,9,96,9
CHW,48,4.41,.687,162,1458,1223,13020.0,5971,4340,1536,95,148,.984,0,0,-19,0
CIN,52,5.27,.694,162,1458,1151,12978.0,5977,4326,1549,102,142,.983,0,0,-35,-3
CLE,48,4.20,.696,161,1454,1032,13064.0,6032,4335,1608,89,126,.985,70,6,16,1
COL,47,5.31,.667,162,1458,1125,12864.0,6147,4288,1749,110,148,.982,-3,0,5,0
DET,44,4.48,.689,161,1449,1125,12852.0,5896,4284,1537,75,148,.987,-37,-3,-59,-1
HOU,43,4.33,.681,162,1458,1102,13212.0,6080,4404,1599,77,135,.987,-12,-1,61,1
KCR,42,4.40,.687,162,1458,1188,12960.0,5940,4320,1526,94,134,.984,8,1,21,2
LAA,53,4.49,.685,162,1458,1058,12792.0,5844,4264,1483,97,148,.983,-19,-2,31,3
LAD,55,3.94,.699,162,1458,1060,13077.0,5887,4359,1448,80,101,.986,16,2,41,4
MIA,52,4.24,.683,161,1449,1056,12915.0,5897,4305,1506,86,137,.985,-10,-1,15,0
MIL,49,4.52,.680,162,1458,1117,12909.0,6110,4303,1671,136,145,.978,-1,0,7,1
MIN,49,5.49,.662,162,1458,1192,12987.0,6065,4329,1610,126,172,.979,-72,-7,-57,-1
NYM,46,3.81,.678,162,1458,1052,13023.0,5950,4341,1519,90,138,.985,-11,-1,-13,0
NYY,53,4.33,.694,162,1458,1109,12855.0,5907,4285,1536,86,116,.985,3,0,4,0
OAK,49,4.70,.685,162,1458,1122,12900.0,6027,4300,1630,97,152,.984,-57,-5,-82,-1
PHI,49,4.91,.681,162,1458,1094,12933.0,5911,4311,1503,97,142,.984,14,1,-30,-3
PIT,54,4.68,.676,162,1458,1037,13056.0,6208,4352,1745,111,172,.982,-25,-2,-13,-1
SDP,58,4.75,.687,162,1458,1107,12960.0,6052,4320,1623,109,165,.982,-16,-1,-25,-2
SEA,54,4.36,.694,162,1458,1092,13113.0,6035,4371,1575,89,158,.985,-1,0,-22,0
SFG,45,3.90,.702,162,1458,1135,13143.0,6092,4381,1639,72,136,.988,46,4,59,5
STL,40,4.40,.679,162,1458,996,13035.0,6199,4345,1747,107,169,.983,-26,-2,4,0
TBR,48,4.40,.687,162,1458,1156,12837.0,5783,4279,1410,94,129,.984,-38,-4,14,0
TEX,52,4.67,.692,162,1458,1105,12987.0,6081,4329,1655,97,190,.984,43,4,0,0
TOR,49,4.11,.703,162,1458,1087,13134.0,6088,4378,1622,88,144,.986,13,1,43,4
WSN,42,3.78,.700,162,1458,1147,13137.0,5877,4379,1425,73,142,.988,43,4,-13,-1
