team,num_fielders,field_ra_per_game,defEff,field_games_played,field_games_started,field_games_completed,field_innings_played,defensive_chances,putouts,assists,field_errors,double_plays,fielding_pct,field_rtot,field_rtot_per_year,field_rdrs,field_rdrs_per_year
ARI,41,4.36,.685,162,1458,1141,12912.0,5982,4304,1565,113,137,.981,-19,-2,-32,0
ATL,48,4.80,.692,162,1458,1147,12966.0,6220,4322,1791,107,149,.983,-6,-1,27,0
BAL,46,5.40,.687,161,1449,1112,12798.0,6027,4266,1661,100,163,.983,-3,0,-20,-2
BOS,46,4.28,.698,162,1458,1092,13017.0,6021,4339,1597,85,149,.986,22,2,14,1
CHC,42,4.17,.703,161,1449,1046,13056.0,5896,4352,1445,99,118,.983,4,0,-17,-2
CHW,38,4.47,.686,163,1467,1110,13119.0,6211,4373,1730,108,155,.983,-42,-4,-35,-3
CIN,47,4.94,.671,162,1462,1063,13019.0,6008,4327,1567,114,156,.981,-38,-4,-24,0
CLE,48,4.70,.685,162,1458,1156,12933.0,6094,4311,1689,94,182,.985,16,2,24,0
COL,49,5.07,.677,162,1458,1123,13014.0,6250,4338,1816,96,176,.985,-37,-3,-19,0
DET,46,5.29,.683,162,1458,1081,13005.0,6082,4335,1634,113,172,.981,-19,-2,-29,-3
FLA,44,4.76,.692,161,1449,1039,12918.0,5924,4306,1501,117,122,.980,-4,0,-5,0
HOU,40,4.61,.697,161,1449,1111,12828.0,5939,4276,1596,67,142,.989,14,1,14,0
KCR,43,4.82,.688,162,1458,1076,13011.0,5981,4337,1548,96,159,.984,10,1,-65,-6
LAA,41,4.30,.691,162,1458,1119,13062.0,6091,4354,1646,91,159,.985,25,2,-6,-1
LAD,46,4.00,.690,162,1458,1027,13026.0,6238,4342,1795,101,138,.984,27,3,-11,-1
MIL,42,4.25,.700,162,1458,1211,13101.0,6166,4367,1698,101,160,.984,22,2,44,4
MIN,39,4.57,.684,163,1467,1185,13131.0,6167,4377,1682,108,168,.982,-19,-2,-29,-3
NYM,49,4.41,.699,162,1458,1129,13179.0,6028,4393,1552,83,126,.986,9,1,31,3
NYY,51,4.49,.682,162,1458,1095,12975.0,5994,4325,1586,83,141,.986,10,1,-38,-1
OAK,49,4.29,.699,161,1449,1059,12915.0,5976,4305,1573,98,169,.984,23,2,58,5
PHI,38,4.20,.695,162,1458,1055,13047.0,6137,4349,1698,90,142,.985,39,4,78,7
PIT,47,5.46,.675,162,1458,1167,13095.0,6302,4365,1830,107,179,.983,-20,-2,-10,-1
SDP,59,4.72,.694,162,1458,1155,13125.0,6086,4375,1626,85,149,.986,-18,-2,-12,-1
SEA,44,5.01,.679,162,1458,1158,12918.0,6059,4306,1654,99,160,.984,-15,-1,16,0
SFG,47,4.69,.685,162,1458,1034,12978.0,5815,4326,1393,96,129,.983,7,1,-32,-3
STL,43,4.48,.694,162,1458,979,13086.0,6264,4362,1817,85,156,.986,48,4,69,1
TBR,45,4.14,.708,162,1458,1141,13119.0,5958,4373,1495,90,153,.985,26,2,15,0
TEX,54,5.97,.666,162,1458,1115,12978.0,6134,4326,1676,132,191,.978,-23,-2,-53,-1
TOR,40,3.77,.703,162,1458,1154,13020.0,6123,4340,1699,84,137,.986,19,2,52,1
WSN,50,5.12,.686,161,1449,1106,12906.0,6003,4302,1578,123,143,.980,-28,-3,-4,0
