Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Wednesday May 22,boxscore,STL,@,SDP,W,5,3,,30-16,1,up 1.5,Lyons,Smith,,2:37,N,18683,++,
47,Friday May 24,boxscore,STL,@,LAD,W,7,0,,31-16,1,up 1.5,Lynn,Capuano,,2:58,N,45134,+++,
48,Saturday May 25,boxscore,STL,@,LAD,L,3,5,,31-17,1,up 0.5,Rodriguez,Maness,League,3:30,D,49368,-,
49,Sunday May 26,boxscore,STL,@,LAD,W,5,3,,32-17,1,up 1.5,Maness,Kershaw,Mujica,3:15,D,43244,+,
50,Monday May 27,boxscore,STL,@,KCR,W,6,3,,33-17,1,up 1.5,Wainwright,Shields,Mujica,2:46,D,34746,++,
51,Tuesday May 28,boxscore,STL,@,KCR,W,4,1,,34-17,1,up 1.5,Lyons,Santana,Mujica,2:07,N,27833,+++,
52,Wednesday May 29,boxscore,STL,,KCR,W,5,3,,35-17,1,up 2.5,Choate,Crow,Mujica,2:50,N,43477,++++,
53,Thursday May 30,boxscore,STL,,KCR,L,2,4,,35-18,1,up 1.5,Coleman,Boggs,Holland,2:27,N,43916,-,
54,Saturday Jun 1 (1),boxscore,STL,,SFG,W,8,0,,36-18,1,up 2.5,Miller,Cain,,2:42,D,42359,+,
55,Saturday Jun 1 (2),boxscore,STL,,SFG,W,7,1,,37-18,1,up 2.5,Wainwright,Bumgarner,,2:33,N,42175,++,2013-05-31 (Rain)
56,Sunday Jun 2,boxscore,STL,,SFG,L,2,4,,37-19,1,up 2.5,Gaudin,Lyons,Romo,2:40,D,43817,-,
57,Monday Jun 3,boxscore,STL,,ARI,W,7,1,,38-19,1,up 2.5,Lynn,Cahill,,2:39,N,38042,+,
58,Tuesday Jun 4,boxscore,STL,,ARI,L,6,7,14,38-20,1,up 2.5,Collmenter,Marte,Bell,4:53,N,39222,-,
59,Wednesday Jun 5,boxscore,STL,,ARI,L,3,10,,38-21,1,up 2.5,Miley,Kelly,,3:04,N,40792,--,
60,Thursday Jun 6,boxscore,STL,,ARI,W,12,8,,39-21,1,up 3.0,Miller,Kennedy,Mujica,3:20,N,43798,+,
61,Friday Jun 7,boxscore,STL,@,CIN,W,9,2,,40-21,1,up 4.0,Wainwright,Leake,,3:11,N,38874,++,
62,Saturday Jun 8,boxscore,STL,@,CIN,L,2,4,,40-22,1,up 3.0,Latos,Lyons,Chapman,2:56,N,40740,-,
63,Sunday Jun 9,boxscore,STL,@,CIN,W,11,4,10,41-22,1,up 4.0,Rosenthal,Hoover,,3:52,N,38023,+,
64,Tuesday Jun 11,boxscore,STL,@,NYM,W,9,2,,42-22,1,up 3.5,Wacha,Hefner,,2:53,N,21581,++,
65,Wednesday Jun 12,boxscore,STL,@,NYM,L,1,5,,42-23,1,up 2.5,Gee,Miller,,2:33,N,23331,-,
66,Thursday Jun 13,boxscore,STL,@,NYM,W,2,1,,43-23,1,up 3.5,Wainwright,Harvey,Mujica,2:43,D,25471,+,
67,Friday Jun 14,boxscore,STL,@,MIA,L,4,5,,43-24,1,up 2.5,Fernandez,Westbrook,Cishek,2:48,N,15403,-,
68,Saturday Jun 15,boxscore,STL,@,MIA,W,13,7,,44-24,1,up 3.5,Lynn,Koehler,,3:17,D,16098,+,
69,Sunday Jun 16,boxscore,STL,@,MIA,L,2,7,,44-25,1,up 2.5,Nolasco,Lyons,Cishek,2:46,D,18468,-,
70,Monday Jun 17,boxscore,STL,,CHC,W,5,2,,45-25,1,up 2.5,Miller,Wood,Mujica,2:43,N,44172,+,
71,Tuesday Jun 18,boxscore,STL,,CHC,L,2,4,,45-26,1,up 2.5,Samardzija,Wainwright,Gregg,2:34,N,44139,-,
72,Wednesday Jun 19,boxscore,STL,,CHC,W,4,1,,46-26,1,up 2.5,Westbrook,Jackson,Mujica,2:53,N,43878,+,
73,Thursday Jun 20,boxscore,STL,,CHC,W,6,1,,47-26,1,up 3.5,Lynn,Feldman,,3:03,N,43651,++,
74,Friday Jun 21,boxscore,STL,,TEX,L,4,6,,47-27,1,up 3.0,Cotts,Rosenthal,Nathan,3:03,N,45228,-,
75,Saturday Jun 22,boxscore,STL,,TEX,L,2,4,,47-28,1,up 2.0,Perez,Miller,Nathan,2:27,N,44651,--,
