"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, May 14","boxscore","KCR","None","CLE","L",2,3,"11","15-16",4,"Pina","Drabowsky","Hamilton","3:08","N",11977,"----","None",1969,-5,-1,106,118,-12,14,16,-2,0.466666666666667,NA
"Thursday, May 15","boxscore","KCR","None","CLE","W",5,2,"None","16-16",3,"Hedlund","Tiant","Drabowsky","2:28","N",9121,"+","None",1969,-4.5,3,111,120,-9,15,16,-1,0.483870967741935,NA
"Friday, May 16","boxscore","KCR","None","BAL","L",3,5,"11","16-17",4,"Watt","Jones","None","3:02","N",15487,"-","None",1969,-5.5,-2,114,125,-11,15,17,-2,0.46875,NA
"Saturday, May 17","boxscore","KCR","None","BAL","L",2,4,"None","16-18",4,"Palmer","Butler","None","2:06","N",12441,"--","None",1969,-5.5,-2,116,129,-13,15,18,-3,0.454545454545455,NA
"Sunday, May 18","boxscore","KCR","None","BAL","L",0,5,"None","16-19",4,"Cuellar","Drago","None","1:57","D",28944,"---","None",1969,-6,-5,116,134,-18,15,19,-4,0.441176470588235,NA
"Tuesday, May 20","boxscore","KCR","@","CLE","L",1,4,"None","16-20",4,"McDowell","Hedlund","None","1:56","N",3622,"----","None",1969,-6,-3,117,138,-21,15,20,-5,0.428571428571429,NA
"Wednesday, May 21","boxscore","KCR","@","CLE","W",4,0,"None","17-20",4,"Nelson","Paul","None","2:10","N",3817,"+","None",1969,-5,4,121,138,-17,16,20,-4,0.444444444444444,NA
"Thursday, May 22","boxscore","KCR","@","CLE","L",1,4,"None","17-21",5,"Pina","Drago","Williams","2:04","N",3148,"-","None",1969,-5.5,-3,122,142,-20,16,21,-5,0.432432432432432,NA
"Friday, May 23","boxscore","KCR","@","WSA","W",4,3,"None","18-21",4,"Drabowsky","Higgins","Wickersham","2:27","N",7068,"+","None",1969,-4.5,1,126,145,-19,17,21,-4,0.447368421052632,NA
"Saturday, May 24","boxscore","KCR","@","WSA","W",5,4,"10","19-21",4,"Burgmeier","Baldwin","Bunker","2:32","D",5609,"++","None",1969,-3.5,1,131,149,-18,18,21,-3,0.461538461538462,NA
"Sunday, May 25","boxscore","KCR","@","WSA","W",3,2,"12","20-21",3,"Wickersham","Humphreys","None","2:53","D",24015,"+++","None",1969,-4,1,134,151,-17,19,21,-2,0.475,NA
"Tuesday, May 27","boxscore","KCR","None","BOS","W",5,4,"None","21-21",3,"Drago","Siebert","Wickersham","2:23","N",12985,"++++","None",1969,-3.5,1,139,155,-16,20,21,-1,0.48780487804878,NA
"Wednesday, May 28","boxscore","KCR","None","BOS","L",3,4,"None","21-22",3,"Culp","Hedlund","None","2:04","N",13443,"-","None",1969,-3.5,-1,142,159,-17,20,22,-2,0.476190476190476,NA
"Thursday, May 29","boxscore","KCR","None","BOS","L",6,8,"None","21-23",4,"Lyle","Drabowsky","Jarvis","2:35","D",9355,"--","None",1969,-4,-2,148,167,-19,20,23,-3,0.465116279069767,NA
