team,num_fielders,field_ra_per_game,defEff,field_games_played,field_games_started,field_games_completed,field_innings_played,defensive_chances,putouts,assists,field_errors,double_plays,fielding_pct,field_rtot,field_rtot_per_year,field_rdrs,field_rdrs_per_year
ARI,48,4.25,.685,162,1458,1206,12903.0,6042,4293,1661,88,146,.985,-15,-1,32,0
ATL,41,3.70,.703,162,1458,1194,13008.0,6076,4336,1654,86,147,.986,97,9,86,8
BAL,51,4.35,.699,162,1458,1153,13347.0,6235,4449,1680,106,151,.983,13,1,-4,0
BOS,56,4.98,.689,162,1458,1108,12987.0,6117,4329,1687,101,159,.983,39,4,58,5
CHC,53,4.69,.692,162,1458,1092,12723.0,5929,4241,1583,105,148,.982,11,1,-12,-1
CHW,45,4.17,.702,162,1458,1145,13011.0,5985,4337,1578,70,154,.988,54,5,8,0
CIN,38,3.63,.699,162,1458,1153,13077.0,6050,4359,1602,89,113,.985,21,2,58,1
CLE,47,5.22,.685,162,1458,1104,12978.0,6087,4326,1665,96,157,.984,-23,-2,-66,-1
COL,49,5.49,.657,162,1458,1117,12798.0,6106,4266,1718,122,139,.980,-67,-6,-115,-11
DET,46,4.14,.678,162,1458,1088,12876.0,5872,4292,1481,99,127,.983,-60,-6,-34,-1
HOU,50,4.90,.675,162,1458,1069,12810.0,6117,4270,1729,118,132,.981,-74,-7,-71,-7
KCR,45,4.60,.673,162,1458,1217,13062.0,6091,4354,1624,113,171,.981,-49,-5,1,0
LAA,43,4.31,.708,162,1458,1101,12900.0,5976,4300,1578,98,141,.984,36,3,45,4
LAD,50,3.69,.702,162,1458,1057,13047.0,6116,4349,1669,98,138,.984,9,1,-6,-1
MIA,44,4.47,.685,162,1458,1154,12966.0,6074,4322,1649,103,154,.983,-4,0,-60,-6
MIL,46,4.52,.672,162,1458,1079,13083.0,5992,4361,1532,99,133,.983,-29,-3,24,0
MIN,47,5.14,.690,162,1458,1171,12948.0,6207,4316,1784,107,188,.983,-21,-2,15,1
NYM,48,4.38,.694,162,1458,1060,12906.0,5905,4302,1502,101,135,.983,-10,-1,-34,-3
NYY,45,4.12,.693,162,1458,1097,13008.0,5882,4336,1471,75,135,.987,-18,-2,-2,0
OAK,50,3.79,.704,162,1458,1174,13230.0,6089,4410,1568,111,135,.982,20,2,5,0
PHI,49,4.20,.686,162,1458,1098,13062.0,6015,4354,1560,101,118,.983,-28,-3,10,1
PIT,49,4.16,.697,162,1458,1072,12900.0,6068,4300,1656,112,126,.982,-24,-2,-42,-4
SDP,53,4.38,.697,162,1458,1079,12912.0,6080,4304,1655,121,97,.980,-38,-4,-28,-3
SEA,37,4.02,.707,162,1458,1201,13110.0,6012,4370,1570,72,155,.988,-4,0,3,0
SFG,45,4.01,.693,162,1458,1054,13059.0,6107,4353,1639,115,134,.981,-10,-1,10,0
STL,45,4.00,.686,162,1458,1045,13164.0,6249,4388,1754,107,149,.983,-8,-1,26,2
TBR,43,3.56,.704,162,1458,1005,13137.0,6134,4379,1641,114,155,.981,-8,-1,43,1
TEX,39,4.36,.694,162,1458,1106,12978.0,5907,4326,1496,85,136,.986,6,1,-11,-1
TOR,54,4.84,.694,162,1458,1156,12993.0,6169,4331,1737,101,167,.984,72,7,61,1
WSN,43,3.67,.702,162,1458,1056,13215.0,6131,4405,1632,94,134,.985,37,3,-14,0
