date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 6",boxscore,STL,@,HOU,L,1,4,None,1-1,3, 1.0,Qualls,Tavarez,Lidge,2:40,D,"28,496",-,None
"Friday, Apr 8",boxscore,STL,None,PHI,W,6,5,None,2-1,3, 1.0,Reyes,Madson,Isringhausen,3:16,D,"50,074",+,None
"Saturday, Apr 9",boxscore,STL,None,PHI,L,4,10,None,2-2,4, 1.0,Floyd,Suppan,None,2:51,D,"39,242",-,None
"Sunday, Apr 10",boxscore,STL,None,PHI,L,4,13,None,2-3,5, 2.0,Lieber,Carpenter,None,2:43,D,"37,971",--,None
"Tuesday, Apr 12",boxscore,STL,None,CIN,W,5,1,None,3-3,3, 1.0,Marquis,Harang,None,2:40,N,"33,617",+,None
"Wednesday, Apr 13",boxscore,STL,None,CIN,L,5,6,None,3-4,4, 1.5,Belisle,Mulder,Graves,3:10,D,"28,772",-,None
"Friday, Apr 15",boxscore,STL,@,MIL,W,3,0,None,4-4,3, 0.5,Suppan,Sheets,Isringhausen,2:13,N,"22,676",+,None
"Saturday, Apr 16",boxscore,STL,@,MIL,W,5,3,None,5-4,1,up 0.5,Carpenter,Davis,Isringhausen,3:07,D,"30,732",++,None
"Sunday, Apr 17",boxscore,STL,@,MIL,W,3,2,None,6-4,1,up 0.5,Marquis,Adams,Isringhausen,2:14,D,"21,144",+++,None
"Monday, Apr 18",boxscore,STL,@,PIT,W,11,1,None,7-4,1,up 0.5,Mulder,Williams,None,2:37,N,"11,220",++++,None
"Tuesday, Apr 19",boxscore,STL,@,PIT,W,7,1,None,8-4,1,up 1.5,Morris,Fogg,None,2:31,N,"12,285",+++++,None
"Wednesday, Apr 20",boxscore,STL,None,CHC,L,1,3,None,8-5,1,up 0.5,Zambrano,Suppan,Hawkins,2:51,N,"44,855",-,None
"Thursday, Apr 21",boxscore,STL,None,CHC,W,4,0,None,9-5,1,up 1.5,Carpenter,Dempster,None,2:23,D,"46,119",+,None
"Friday, Apr 22",boxscore,STL,None,HOU,W,8,7,None,10-5,1,up 2.5,Marquis,Duckworth,Isringhausen,3:03,N,"44,805",++,None
"Saturday, Apr 23",boxscore,STL,None,HOU,W-wo,1,0,10,11-5,1,up 3.5,Mulder,Qualls,None,2:42,D,"40,058",+++,None
"Sunday, Apr 24",boxscore,STL,None,HOU,W,8,5,None,12-5,1,up 3.5,Morris,Backe,Isringhausen,3:08,D,"39,020",++++,None
"Tuesday, Apr 26",boxscore,STL,None,MIL,W,5,3,None,13-5,1,up 4.0,Suppan,Davis,Flores,3:28,N,"28,787",+++++,None
"Wednesday, Apr 27",boxscore,STL,None,MIL,W,6,3,None,14-5,1,up 4.0,Carpenter,Santos,Tavarez,2:42,D,"38,343",++++++,None
"Thursday, Apr 28",boxscore,STL,None,MIL,L,3,4,None,14-6,1,up 3.5,Capuano,Marquis,Turnbow,2:53,D,"26,026",-,2005-04-25 (Rain)
"Friday, Apr 29",boxscore,STL,@,ATL,W,6,5,None,15-6,1,up 3.5,Mulder,Hudson,Reyes,2:52,N,"33,833",+,None
"Saturday, Apr 30",boxscore,STL,@,ATL,L-wo,2,3,None,15-7,1,up 3.5,Kolb,Journell,None,2:55,N,"35,789",-,None
"Sunday, May 1",boxscore,STL,@,ATL,L,1,2,None,15-8,1,up 3.5,Smoltz,Suppan,Kolb,2:39,D,"34,304",--,None
"Monday, May 2",boxscore,STL,@,CIN,W,10,9,None,16-8,1,up 4.0,Flores,Graves,Tavarez,3:18,N,"15,961",+,None
"Tuesday, May 3",boxscore,STL,@,CIN,W,4,2,None,17-8,1,up 5.0,Marquis,Harang,Reyes,2:54,N,"16,512",++,None
"Wednesday, May 4",boxscore,STL,@,CIN,W,7,3,None,18-8,1,up 5.0,Mulder,Claussen,None,2:33,N,"17,241",+++,None
"Thursday, May 5",boxscore,STL,None,SDP,L,3,8,None,18-9,1,up 4.0,Hammond,King,None,2:42,N,"30,507",-,None
"Friday, May 6",boxscore,STL,None,SDP,L,5,6,None,18-10,1,up 4.0,Williams,Flores,Hoffman,3:21,N,"47,160",--,None
"Saturday, May 7",boxscore,STL,None,SDP,L,4,5,None,18-11,1,up 4.0,Eaton,Carpenter,Hoffman,2:31,D,"45,950",---,None
"Sunday, May 8",boxscore,STL,None,SDP,W,15,5,None,19-11,1,up 4.0,Marquis,Redding,Thompson,2:41,D,"46,444",+,None
"Monday, May 9",boxscore,STL,None,LAD,W,4,2,None,20-11,1,up 5.0,Mulder,Perez,Reyes,3:02,N,"37,194",++,None
"Tuesday, May 10",boxscore,STL,None,LAD,L,8,9,None,20-12,1,up 4.0,Alvarez,Jarvis,Brazoban,3:32,N,"38,984",-,None
"Wednesday, May 11",boxscore,STL,None,LAD,W,9,3,None,21-12,1,up 4.0,Suppan,Penny,None,3:09,N,"35,671",+,None
"Thursday, May 12",boxscore,STL,None,LAD,W,10,3,None,22-12,1,up 4.5,Carpenter,Lowe,None,2:50,D,"45,656",++,None
"Friday, May 13",boxscore,STL,@,NYM,L,0,2,None,22-13,1,up 3.5,Glavine,Marquis,Looper,2:10,N,"43,495",-,None
"Saturday, May 14",boxscore,STL,@,NYM,W,7,6,None,23-13,1,up 4.5,Tavarez,Hernandez,Isringhausen,3:09,D,"40,921",+,None
"Sunday, May 15",boxscore,STL,@,NYM,W,4,2,None,24-13,1,up 5.5,Morris,Heilman,Isringhausen,2:29,D,"32,949",++,None
"Tuesday, May 17",boxscore,STL,@,PHI,L,5,7,None,24-14,1,up 5.0,Lidle,Suppan,Wagner,2:42,N,"32,103",-,None
"Wednesday, May 18",boxscore,STL,@,PHI,W,8,4,None,25-14,1,up 6.0,Carpenter,Lieber,None,3:05,N,"29,130",+,None
"Thursday, May 19",boxscore,STL,@,PHI,L,4,7,None,25-15,1,up 6.0,Myers,Marquis,None,2:53,D,"38,229",-,None
"Friday, May 20",boxscore,STL,@,KCR,W,7,6,None,26-15,1,up 7.0,Mulder,Greinke,Isringhausen,2:56,N,"31,513",+,None
"Saturday, May 21",boxscore,STL,@,KCR,W,6,5,None,27-15,1,up 7.0,Morris,Cerda,Isringhausen,2:33,N,"39,781",++,None
"Sunday, May 22",boxscore,STL,@,KCR,L,2,9,None,27-16,1,up 7.0,Jensen,Suppan,None,2:42,D,"29,269",-,None
"Monday, May 23",boxscore,STL,None,PIT,W,4,2,None,28-16,1,up 7.0,Carpenter,Williams,Isringhausen,2:26,N,"33,073",+,None
"Tuesday, May 24",boxscore,STL,None,PIT,W-wo,2,1,12,29-16,1,up 7.0,Reyes,Mesa,None,3:40,N,"36,285",++,None
"Wednesday, May 25",boxscore,STL,None,PIT,W,11,5,None,30-16,1,up 7.0,Mulder,Redman,None,2:51,N,"34,895",+++,None
"Friday, May 27",boxscore,STL,None,WSN,W,6,3,None,31-16,1,up 7.0,Morris,Armas,Isringhausen,2:44,N,"47,383",++++,None
