date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Friday, Apr 14",boxscore,CHW,@,DET,L,0,6,None,0-2,6, 2.0,Willett,Lange,None,1:40,D,"6,100",--,None
"Saturday, Apr 15",boxscore,CHW,@,DET,L,0,2,8,0-3,7, 3.0,Works,Scott,None,1:30,D,None,---,None
"Sunday, Apr 16",boxscore,CHW,@,SLB,W,7,1,None,1-3,7, 3.0,Walsh,Gregory,None,1:50,D,None,+,None
"Monday, Apr 17",boxscore,CHW,@,SLB,W,8,0,None,2-3,4, 2.5,Olmstead,Lake,None,1:55,D,None,++,None
"Wednesday, Apr 19",boxscore,CHW,@,SLB,W,6,3,None,3-3,4, 2.5,Scott,Criss,None,1:55,D,None,+++,None
"Thursday, Apr 20",boxscore,CHW,None,DET,L,3,6,None,3-4,4, 3.5,Lafitte,Walsh,None,1:50,D,None,-,None
"Saturday, Apr 22",boxscore,CHW,None,DET,W,3,2,10,4-4,5, 2.5,White,Willett,None,1:48,D,None,+,None
"Sunday, Apr 23",boxscore,CHW,None,CLE,L,2,5,None,4-5,5, 3.5,Gregg,Olmstead,None,1:55,D,None,-,None
"Monday, Apr 24",boxscore,CHW,None,CLE,L,2,5,None,4-6,6, 4.5,Krapp,Lange,None,2:00,D,None,--,None
"Tuesday, Apr 25",boxscore,CHW,None,CLE,W,5,2,None,5-6,5, 4.5,Young,Falkenberg,None,1:37,D,None,+,None
"Thursday, Apr 27",boxscore,CHW,None,SLB,W,14,4,None,6-6,4, 5.0,Walsh,Powell,Baker,1:55,D,None,++,None
"Saturday, Apr 29",boxscore,CHW,None,SLB,L,0,1,5,6-7,4, 5.5,Hamilton,White,None,0:43,D,None,-,None
"Sunday, Apr 30",boxscore,CHW,None,SLB,W,9,1,None,7-7,3, 5.5,Lange,Criss,Walsh,2:15,D,None,+,None
"Wednesday, May 3",boxscore,CHW,@,CLE,L,7,8,None,7-8,4, 7.5,Gregg,Scott,None,2:16,D,None,-,None
"Thursday, May 4",boxscore,CHW,@,CLE,W,7,1,None,8-8,4, 7.5,Walsh,Krapp,None,2:00,D,None,+,None
"Friday, May 5",boxscore,CHW,@,CLE,W,2,1,None,9-8,3, 7.0,Lange,West,None,1:40,D,None,++,1911-05-02 (Cold)
"Saturday, May 6",boxscore,CHW,@,CLE,T,5,5,8,9-8,2, 7.5,None,None,None,1:47,D,None,++,None
"Sunday, May 7",boxscore,CHW,None,DET,L,4,5,10,9-9,4, 8.5,Lively,White,None,2:18,D,None,-,None
"Monday, May 8",boxscore,CHW,None,DET,L,2,8,None,9-10,5, 9.5,Covington,Lange,None,1:58,D,None,--,1911-04-21 (Wet grounds)
"Wednesday, May 10",boxscore,CHW,None,WSH,W,9,6,None,10-10,4, 9.0,Scott,Sherry,None,2:24,D,None,+,None
"Thursday, May 11",boxscore,CHW,None,WSH,W,20,6,None,11-10,4, 8.0,White,Groom,None,2:10,D,None,++,None
"Friday, May 12",boxscore,CHW,None,WSH,L,5,6,None,11-11,4, 9.0,Gray,Olmstead,None,2:05,D,None,-,None
