date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Wednesday, Apr 18",boxscore,DET,@,SLB,W,11,0,None,1-1,3, 1.0,Trout,Kramer,None,2:18,D,"1,665",+,None
"Thursday, Apr 19",boxscore,DET,@,SLB,W,1,0,None,2-1,3, 1.0,Benton,Potter,None,None,D,None,++,None
"Friday, Apr 20",boxscore,DET,None,CLE,L,1,4,None,2-2,3, 2.0,Gromek,Overmire,None,None,D,None,-,None
"Saturday, Apr 21",boxscore,DET,None,CLE,W,3,2,11,3-2,3, 1.0,Newhouser,Embree,None,2:44,D,"4,374",+,None
"Sunday, Apr 22",boxscore,DET,None,CLE,W,6,3,None,4-2,3, 1.5,Trout,Reynolds,None,2:00,D,"33,063",++,None
"Saturday, Apr 28",boxscore,DET,@,CLE,W,5,1,None,5-2,2, 1.0,Benton,Bagby,None,1:49,D,"2,000",+++,1945-04-27 (Rain)
"Sunday, Apr 29",boxscore,DET,@,CLE,L,0,4,None,5-3,1, Tied,Gromek,Newhouser,None,2:12,D,None,-,None
"Sunday, Apr 29",boxscore,DET,@,CLE,W,4,0,None,6-3,1, Tied,Trout,Embree,None,1:45,D,"8,450",+,None
"Tuesday, May 1",boxscore,DET,None,CHW,L,0,5,None,6-4,3, 1.0,Haynes,Wilson,None,None,D,None,-,None
"Wednesday, May 2",boxscore,DET,None,CHW,W,2,1,None,7-4,2, 0.5,Benton,Grove,None,1:30,D,"3,792",+,None
"Saturday, May 5",boxscore,DET,None,SLB,L,0,5,None,7-5,3, 1.5,Kramer,Trout,None,None,D,"3,354",-,None
"Sunday, May 6",boxscore,DET,None,SLB,W,3,0,None,8-5,3, 1.0,Newhouser,Jakucki,None,3:09,D,"39,482",+,None
"Sunday, May 6",boxscore,DET,None,SLB,W,1,0,None,9-5,3, 1.0,Benton,Shirley,None,1:28,D,"39,482",++,1945-05-04 (Rain)
"Wednesday, May 9",boxscore,DET,None,NYY,W,4,1,None,10-5,2, 0.5,Trout,Gettel,None,1:44,D,"7,574",+++,None
"Friday, May 11",boxscore,DET,None,NYY,L,3,7,None,10-6,3, 0.5,Borowy,Newhouser,None,2:00,D,"7,688",-,None
"Sunday, May 13",boxscore,DET,None,BOS,L,2,8,None,10-7,3, 1.0,Ferriss,Trout,None,1:32,D,"30,989",--,None
"Sunday, May 13",boxscore,DET,None,BOS,W,2,0,None,11-7,3, 1.0,Benton,Wilson,None,1:32,D,"30,989",+,None
