date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Monday, Jun 27",boxscore,TEX,@,SEA,L,3,6,None,35-39,4, 11.5,Bankhead,Kilgus,Schooler,2:29,N,"7,591",---,None
"Tuesday, Jun 28",boxscore,TEX,@,SEA,W,6,0,None,36-39,4, 10.5,Guzman,Trout,None,2:14,N,"8,605",+,None
"Wednesday, Jun 29",boxscore,TEX,@,SEA,W,1,0,12,37-39,4, 10.5,Hough,Schooler,Williams,3:39,N,"8,487",++,None
"Friday, Jul 1",boxscore,TEX,None,BAL,L,1,7,None,37-40,4, 11.5,Boddicker,Russell,None,2:40,N,"20,396",-,None
"Saturday, Jul 2",boxscore,TEX,None,BAL,L,4,7,None,37-41,4, 12.5,Habyan,Kilgus,Niedenfuer,3:07,N,"24,443",--,None
"Sunday, Jul 3",boxscore,TEX,None,BAL,W,13,1,None,38-41,4, 12.5,Guzman,Ballard,None,2:22,N,"17,722",+,None
"Monday, Jul 4",boxscore,TEX,None,NYY,L,2,13,None,38-42,4, 13.5,Hudson,Hough,None,3:11,N,"41,093",-,None
"Tuesday, Jul 5",boxscore,TEX,None,NYY,L,3,5,None,38-43,4, 13.0,John,Hayward,Stoddard,2:47,N,"17,546",--,None
"Wednesday, Jul 6",boxscore,TEX,None,NYY,W,4,2,None,39-43,4, 12.0,Russell,Guidry,Williams,3:19,N,"20,324",+,None
"Thursday, Jul 7",boxscore,TEX,@,BAL,L,0,6,None,39-44,4, 12.0,Peraza,Kilgus,None,2:48,N,"22,255",-,None
"Friday, Jul 8",boxscore,TEX,@,BAL,W,8,5,None,40-44,4, 12.0,Guzman,Ballard,McMurtry,3:10,N,"22,612",+,None
"Saturday, Jul 9",boxscore,TEX,@,BAL,L,1,4,None,40-45,4, 12.0,Tibbs,Hough,Niedenfuer,2:25,N,"21,661",-,None
"Sunday, Jul 10",boxscore,TEX,@,BAL,L,1,2,None,40-46,6, 13.0,Bautista,Witt,Schmidt,2:35,D,"25,023",--,None
"Thursday, Jul 14",boxscore,TEX,None,MIL,L,2,6,None,40-47,6, 13.0,Wegman,Hough,Crim,2:54,N,"26,526",---,None
"Friday, Jul 15",boxscore,TEX,None,MIL,L,2,4,None,40-48,6, 13.0,Higuera,Guzman,Plesac,2:39,N,"17,175",----,None
"Saturday, Jul 16",boxscore,TEX,None,MIL,L,3,4,None,40-49,6, 14.0,Jones,Russell,Plesac,2:47,N,"29,742",-----,None
"Sunday, Jul 17",boxscore,TEX,None,MIL,W,3,0,None,41-49,6, 13.0,Witt,Bosio,None,2:45,D,"12,182",+,None
"Monday, Jul 18",boxscore,TEX,@,NYY,L,2,7,None,41-50,6, 14.0,Dotson,Kilgus,None,2:47,N,"21,449",-,None
"Tuesday, Jul 19",boxscore,TEX,@,NYY,W,7,2,None,42-50,6, 14.5,Hough,Candelaria,None,2:57,N,"27,456",+,None
"Thursday, Jul 21",boxscore,TEX,@,MIL,L,1,6,None,42-51,6, 14.5,August,Guzman,None,2:18,N,"17,649",-,None
"Friday, Jul 22",boxscore,TEX,@,MIL,L-wo,1,2,None,42-52,6, 15.5,Crim,Williams,None,2:46,N,"37,434",--,None
"Saturday, Jul 23",boxscore,TEX,@,MIL,W,7,4,None,43-52,5, 15.5,Witt,Crim,None,2:56,N,"47,779",+,None
"Sunday, Jul 24",boxscore,TEX,@,MIL,W,6,4,None,44-52,5, 15.5,Kilgus,Wegman,Williams,2:46,D,"35,080",++,None
"Monday, Jul 25",boxscore,TEX,None,BOS,L,0,2,None,44-53,5, 15.5,Clemens,Hough,None,3:01,N,"34,175",-,None
"Tuesday, Jul 26",boxscore,TEX,None,BOS,W,9,8,None,45-53,5, 15.5,McMurtry,Bolton,Williams,3:05,N,"20,456",+,None
"Wednesday, Jul 27",boxscore,TEX,None,BOS,L,7,10,None,45-54,6, 15.5,Stanley,Williams,Smith,2:59,N,"17,639",-,None
"Friday, Jul 29",boxscore,TEX,@,DET,L-wo,2,3,None,45-55,5, 15.0,Tanana,McMurtry,None,2:39,N,None,--,None
"Friday, Jul 29",boxscore,TEX,@,DET,W,2,1,None,46-55,5, 15.0,Witt,Hernandez,None,2:42,N,"31,627",+,None
"Saturday, Jul 30",boxscore,TEX,@,DET,L,0,3,None,46-56,5, 16.0,Terrell,Hough,None,2:39,N,"36,972",-,None
"Sunday, Jul 31",boxscore,TEX,@,DET,L,1,5,None,46-57,5, 17.0,Morris,Vande Berg,None,2:51,D,"35,977",--,None
"Tuesday, Aug 2",boxscore,TEX,@,BOS,L,2,7,None,46-58,5, 17.5,Gardner,Russell,None,2:33,N,"35,462",---,None
"Wednesday, Aug 3",boxscore,TEX,@,BOS,L,4,5,None,46-59,5, 18.5,Lamp,Witt,Smith,3:04,N,"34,380",----,None
"Friday, Aug 5",boxscore,TEX,None,CLE,W,8,4,None,47-59,5, 19.0,Kilgus,Nichols,McMurtry,2:29,N,"21,527",+,None
"Saturday, Aug 6",boxscore,TEX,None,CLE,L,3,5,None,47-60,5, 20.0,Farrell,Hough,Jones,2:49,N,"31,003",-,None
"Sunday, Aug 7",boxscore,TEX,None,CLE,W,2,0,None,48-60,5, 19.0,Guzman,Yett,None,2:26,N,"17,089",+,None
"Monday, Aug 8",boxscore,TEX,None,DET,L,2,3,None,48-61,5, 20.0,Tanana,Russell,Henneman,3:18,N,"22,794",-,None
"Tuesday, Aug 9",boxscore,TEX,None,DET,W,6,2,None,49-61,5, 20.0,Witt,Terrell,None,2:33,N,"14,524",+,None
"Wednesday, Aug 10",boxscore,TEX,None,DET,L,1,2,None,49-62,5, 21.0,Morris,Kilgus,Hernandez,2:23,N,"15,550",-,None
"Thursday, Aug 11",boxscore,TEX,@,CLE,W,5,4,None,50-62,5, 21.0,Williams,Jones,Mohorcic,2:53,N,"10,703",+,None
