date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Thursday, Apr 9",boxscore,NYY,None,BOS,W,3,2,None,2-0,2, 0.5,Monteleone,Viola,Howe,2:50,N,"20,430",++,None
"Friday, Apr 10",boxscore,NYY,@,DET,W,7,3,None,3-0,2, 0.5,Perez,King,None,3:29,N,"10,622",+++,None
"Saturday, Apr 11",boxscore,NYY,@,DET,W,8,1,None,4-0,2, 0.5,Leary,Gullickson,None,2:21,D,"15,752",++++,None
"Sunday, Apr 12",boxscore,NYY,@,DET,W,5,1,None,5-0,2, 0.5,Sanderson,Aldred,Habyan,2:58,D,"12,521",+++++,None
"Monday, Apr 13",boxscore,NYY,@,TOR,W,5,2,None,6-0,1,up 0.5,Howe,Stottlemyre,Farr,2:43,N,"44,115",++++++,None
"Tuesday, Apr 14",boxscore,NYY,@,TOR,L,6,12,None,6-1,2, 0.5,Guzman,Johnson,None,3:18,N,"45,579",-,None
"Wednesday, Apr 15",boxscore,NYY,@,TOR,L,0,2,None,6-2,2, 1.5,Key,Perez,Henke,2:48,N,"48,111",--,None
"Thursday, Apr 16",boxscore,NYY,@,TOR,L-wo,6,7,None,6-3,2, 2.5,Ward,Farr,None,2:43,D,"50,376",---,None
"Friday, Apr 17",boxscore,NYY,None,CLE,L,1,11,None,6-4,2, 2.5,Nagy,Sanderson,None,2:40,N,"14,335",----,None
"Saturday, Apr 18",boxscore,NYY,None,CLE,W,14,0,None,7-4,2, 2.5,Cadaret,Otto,None,2:56,D,"18,052",+,None
"Sunday, Apr 19",boxscore,NYY,None,CLE,W,5,3,None,8-4,2, 1.5,Johnson,Armstrong,Howe,2:45,D,"17,175",++,None
"Monday, Apr 20",boxscore,NYY,None,CLE,L,1,3,None,8-5,2, 2.5,Scudder,Perez,Olin,2:44,D,"19,417",-,None
"Tuesday, Apr 21",boxscore,NYY,@,CHW,W,4,3,None,9-5,2, 2.5,Leary,McCaskill,Farr,3:19,N,"23,249",+,None
"Wednesday, Apr 22",boxscore,NYY,@,CHW,W,4,3,None,10-5,2, 1.5,Howe,Radinsky,None,3:15,N,"25,226",++,None
"Friday, Apr 24",boxscore,NYY,None,BAL,W,5,0,None,11-5,2, 2.0,Cadaret,Milacki,None,2:39,N,"16,405",+++,None
"Saturday, Apr 25",boxscore,NYY,None,BAL,L,2,9,None,11-6,2, 3.0,McDonald,Johnson,None,3:15,D,"15,949",-,None
"Sunday, Apr 26",boxscore,NYY,None,BAL,W,3,1,None,12-6,2, 2.0,Howe,Mesa,None,2:58,D,"19,403",+,None
