"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Friday, Jun 14","None","BOS","None","DET","W",16,7,"None","20-17",4,"None","None","None","None","None",NA,"+","None",1901,-5.5,9,234,190,44,20,16,0.555555555555556,NA
"Saturday, Jun 15","None","BOS","None","DET","W",12,4,"None","21-17",3,"None","None","None","None","None",NA,"++","None",1901,-5,8,246,194,52,21,16,0.567567567567568,NA
"Monday, Jun 17","None","BOS","None","CHW","W",11,1,"None","22-17",3,"None","None","None","1:43","None",NA,"+++","None",1901,-3,10,257,195,62,22,16,0.578947368421053,NA
"Monday, Jun 17","None","BOS","None","CHW","W",10,4,"None","23-17",3,"None","None","None","1:47","None",NA,"++++","1901-08-15 (Schedule change)",1901,-3,6,267,199,68,23,16,0.58974358974359,NA
"Tuesday, Jun 18","None","BOS","None","CHW","W",4,3,"None","24-17",3,"None","None","None","None","None",NA,"+++++","None",1901,-2,1,271,202,69,24,16,0.6,NA
"Wednesday, Jun 19","None","BOS","None","CHW","W",5,3,"None","25-17",2,"None","None","None","None","None",NA,"++++++","None",1901,-1,2,276,205,71,25,16,0.609756097560976,NA
"Thursday, Jun 20","None","BOS","None","CHW","W",4,3,"None","26-17",1,"None","None","None","None","None",NA,"+++++++","None",1901,0,1,280,208,72,26,16,0.619047619047619,NA
"Friday, Jun 21","None","BOS","None","CLE","W",4,3,"None","27-17",1,"None","None","None","None","None",NA,"++++++++","None",1901,0,1,284,211,73,27,16,0.627906976744186,NA
"Saturday, Jun 22","None","BOS","None","CLE","W",8,1,"None","28-17",1,"None","None","None","None","None",NA,"+++++++++","None",1901,0,7,292,212,80,28,16,0.636363636363636,NA
"Monday, Jun 24","None","BOS","None","CLE","L",1,7,"None","28-18",2,"None","None","None","None","None",NA,"-","None",1901,-1,-6,293,219,74,28,17,0.622222222222222,NA
"Tuesday, Jun 25","None","BOS","None","CLE","W",4,2,"None","29-18",2,"None","None","None","None","None",NA,"+","None",1901,-1,2,297,221,76,29,17,0.630434782608696,NA
"Thursday, Jun 27","None","BOS","@","WSH","L",0,2,"None","29-19",2,"None","None","None","None","None",NA,"-","None",1901,-2,-2,297,223,74,29,18,0.617021276595745,NA
"Friday, Jun 28","None","BOS","@","WSH","W",6,5,"None","30-19",2,"None","None","None","None","None",NA,"+","None",1901,-2,1,303,228,75,30,18,0.625,NA
"Saturday, Jun 29","None","BOS","@","WSH","W",7,2,"None","31-19",2,"None","None","None","None","None",NA,"++","None",1901,-2,5,310,230,80,31,18,0.63265306122449,NA
"Monday, Jul 1","None","BOS","@","BLA","L",5,7,"None","31-20",2,"None","None","None","None","None",NA,"-","None",1901,-3,-2,315,237,78,31,19,0.62,NA
"Tuesday, Jul 2","None","BOS","@","BLA","W",10,8,"None","32-20",2,"None","None","None","None","None",NA,"+","None",1901,-3,2,325,245,80,32,19,0.627450980392157,NA
"Wednesday, Jul 3","None","BOS","None","BLA","W",9,1,"None","33-20",2,"None","None","None","None","None",NA,"++","None",1901,-3,8,334,246,88,33,19,0.634615384615385,NA
