date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Monday, Jun 12",boxscore,COL,None,CIN,L,6,11,None,25-19,1,up 2.0,Jarvis,Freeman,None,2:57,N,"47,708",-,None
"Tuesday, Jun 13",boxscore,COL,None,CIN,W,6,4,None,26-19,1,up 2.0,Ritz,Pugh,Leskanic,2:29,N,"48,198",+,None
"Wednesday, Jun 14",boxscore,COL,None,CIN,W,10,4,None,27-19,1,up 2.0,Grahe,Schourek,None,2:37,D,"48,255",++,None
"Friday, Jun 16",boxscore,COL,None,ATL,L,0,2,None,27-20,1,up 2.5,Glavine,Swift,None,2:21,N,"48,163",-,None
"Saturday, Jun 17",boxscore,COL,None,ATL,L,1,7,None,27-21,1,up 1.5,Avery,Acevedo,None,2:47,N,"50,035",--,None
"Sunday, Jun 18",boxscore,COL,None,ATL,L,4,9,None,27-22,1,up 0.5,Mercker,Freeman,None,2:42,D,"48,302",---,None
"Monday, Jun 19",boxscore,COL,None,FLA,L,2,7,None,27-23,1,up 0.5,Hammond,Ritz,None,2:47,N,"48,145",----,None
"Tuesday, Jun 20",boxscore,COL,None,FLA,L,2,7,None,27-24,1,up 0.5,Mathews,Grahe,None,2:53,N,"48,143",-----,None
"Wednesday, Jun 21",boxscore,COL,None,FLA,W,6,3,None,28-24,1,up 0.5,Swift,Rapp,Reed,2:51,N,"48,117",+,None
"Thursday, Jun 22",boxscore,COL,@,SDP,W,3,2,None,29-24,1,up 1.5,Reynoso,Dishman,Ruffin,2:28,D,"11,653",++,None
"Friday, Jun 23",boxscore,COL,@,SDP,L,2,3,None,29-25,1,up 1.0,Ashby,Freeman,Hoffman,2:08,N,"15,418",-,None
"Saturday, Jun 24",boxscore,COL,@,SDP,L,0,2,None,29-26,1, Tied,Hamilton,Ritz,None,1:55,N,"36,137",--,None
"Sunday, Jun 25",boxscore,COL,@,SDP,W,11,3,None,30-26,1, Tied,Grahe,Sanders,None,3:13,D,"20,776",+,None
"Tuesday, Jun 27",boxscore,COL,@,SFG,W,5,1,None,31-26,1,up 0.5,Swift,Bautista,None,2:18,D,"14,769",++,None
"Wednesday, Jun 28",boxscore,COL,@,SFG,L-wo,1,2,11,31-27,1,up 0.5,Barton,Munoz,None,3:40,D,"15,136",-,None
"Thursday, Jun 29",boxscore,COL,@,LAD,L,0,3,None,31-28,2, 0.5,Nomo,Freeman,None,2:30,N,"46,295",--,None
"Friday, Jun 30",boxscore,COL,@,LAD,W,2,1,None,32-28,1,up 0.5,Ritz,Candiotti,Munoz,2:38,N,"34,253",+,None
"Saturday, Jul 1",boxscore,COL,@,LAD,L,4,5,None,32-29,2, 0.5,Worrell,Bailey,None,2:48,N,"54,006",-,None
"Sunday, Jul 2",boxscore,COL,@,LAD,W,10,1,None,33-29,1,up 0.5,Swift,Martinez,None,2:20,D,"37,354",+,None
"Monday, Jul 3",boxscore,COL,None,HOU,W,15,10,None,34-29,1,up 1.0,Bailey,Dougherty,Holmes,3:13,N,"50,028",++,None
"Tuesday, Jul 4",boxscore,COL,None,HOU,L,8,16,None,34-30,1,up 1.0,Hampton,Olivares,None,3:18,N,"50,127",-,None
"Wednesday, Jul 5",boxscore,COL,None,HOU,W,4,2,None,35-30,1,up 2.0,Ritz,Kile,Holmes,2:31,N,"48,091",+,None
"Thursday, Jul 6",boxscore,COL,None,MON,W,9,6,None,36-30,1,up 3.0,Grahe,Fassero,Holmes,2:46,N,"48,073",++,None
"Friday, Jul 7",boxscore,COL,None,MON,W,12,7,None,37-30,1,up 4.0,Acevedo,Heredia,None,3:00,N,"50,111",+++,None
"Saturday, Jul 8",boxscore,COL,None,MON,W,8,3,None,38-30,1,up 4.0,Reynoso,Henry,Leskanic,2:59,N,"48,190",++++,None
"Sunday, Jul 9",boxscore,COL,None,MON,W,4,1,None,39-30,1,up 5.0,Freeman,Martinez,None,2:16,D,"48,114",+++++,None
"Thursday, Jul 13",boxscore,COL,@,NYM,L,2,4,None,39-31,1,up 5.0,Jones,Ritz,Franco,2:38,N,"15,276",-,None
"Friday, Jul 14",boxscore,COL,@,NYM,L,4,13,None,39-32,1,up 4.0,Pulsipher,Reynoso,None,2:57,N,"15,377",--,None
"Saturday, Jul 15",boxscore,COL,@,NYM,W,5,4,None,40-32,1,up 4.0,Swift,Saberhagen,Holmes,2:48,N,"17,120",+,None
"Sunday, Jul 16",boxscore,COL,@,NYM,L-wo,1,2,10,40-33,1,up 4.0,Franco,Thompson,None,3:05,D,"25,994",-,None
"Monday, Jul 17",boxscore,COL,None,PHI,W,8,5,None,41-33,1,up 5.0,Munoz,Bottalico,Holmes,3:12,N,"48,070",+,None
"Tuesday, Jul 18",boxscore,COL,None,PHI,L,5,7,None,41-34,1,up 5.0,Schilling,Ritz,Slocumb,2:53,N,"48,011",-,None
"Wednesday, Jul 19",boxscore,COL,None,PHI,W,5,3,None,42-34,1,up 5.0,Rekar,Green,Holmes,2:32,N,"48,087",+,None
"Thursday, Jul 20",boxscore,COL,None,PHI,W,7,3,None,43-34,1,up 5.0,Swift,Quantrill,None,2:16,D,"48,037",++,None
"Friday, Jul 21",boxscore,COL,None,NYM,L,1,12,None,43-35,1,up 4.0,Harnisch,Reynoso,None,2:53,N,"48,059",-,None
"Saturday, Jul 22",boxscore,COL,None,NYM,W,5,4,None,44-35,1,up 5.0,Leskanic,Henry,Holmes,2:42,N,"48,042",+,None
"Sunday, Jul 23",boxscore,COL,None,NYM,W,8,5,None,45-35,1,up 5.0,Ritz,Jones,Holmes,2:32,D,"48,129",++,None
"Monday, Jul 24",boxscore,COL,@,PHI,W,11,3,None,46-35,1,up 5.0,Rekar,Green,None,2:35,N,"25,424",+++,None
"Tuesday, Jul 25",boxscore,COL,@,PHI,L-wo,6,7,10,46-36,1,up 5.0,Slocumb,Munoz,None,3:07,N,"25,837",-,None
"Wednesday, Jul 26",boxscore,COL,@,HOU,L,3,4,None,46-37,1,up 4.0,Kile,Reynoso,Jones,2:43,N,"19,209",--,None
"Thursday, Jul 27",boxscore,COL,@,HOU,L-wo,4,5,12,46-38,1,up 3.0,Jones,Munoz,None,3:53,D,"21,734",---,None
"Friday, Jul 28",boxscore,COL,@,MON,W,8,3,None,47-38,1,up 4.0,Ritz,Urbina,None,2:50,N,"19,221",+,None
"Saturday, Jul 29",boxscore,COL,@,MON,W,5,3,None,48-38,1,up 4.0,Rekar,Fassero,Holmes,2:37,N,"23,595",++,None
"Sunday, Jul 30",boxscore,COL,@,MON,L,4,11,None,48-39,1,up 3.0,Martinez,Freeman,None,2:41,D,"27,172",-,None
"Monday, Jul 31",boxscore,COL,@,MON,W,3,2,None,49-39,1,up 3.5,Reynoso,Henry,Holmes,2:58,D,"14,978",+,None
"Tuesday, Aug 1",boxscore,COL,None,LAD,L,6,9,None,49-40,1,up 2.5,Valdez,Thompson,Worrell,2:58,N,"48,071",-,None
"Wednesday, Aug 2",boxscore,COL,None,LAD,L,7,10,None,49-41,1,up 1.5,Tapani,Ritz,None,2:40,N,"48,063",--,None
"Thursday, Aug 3",boxscore,COL,None,LAD,W,9,4,None,50-41,1,up 2.5,Saberhagen,Martinez,None,2:58,D,"48,024",+,None
"Friday, Aug 4",boxscore,COL,None,SDP,W,14,12,None,51-41,1,up 3.5,Reed,Berumen,Holmes,3:18,N,"48,125",++,None
